Variables;Importance
results_flawfinder_note_buffer-MultiByteToWideChar;-0.0829
results_flawfinder_error_buffer-lstrcatA;-0.0809
results_flawfinder_note_format-vprintf;-0.0800
results_flawfinder_error_format-vprintf;-0.0796
results_flawfinder_note_input-readv;-0.0777
results_flawfinder_error_misc-SetSecurityDescriptorDacl;-0.0777
results_flawfinder_warning_tmpfile-GetTempFileName;-0.0757
results_flawfinder_error_buffer-vsscanf;-0.0748
results_flawfinder_error_buffer-strcat;-0.0734
results_flawfinder_error_shell-execlp;-0.0719
results_flawfinder_error_access-RpcImpersonateClient;-0.0707
results_flawfinder_error_format-vsnprintf;-0.0700
results_flawfinder_error_shell-ShellExecute;-0.0685
results_flawfinder_error_shell-WinExec;-0.0676
results_flawfinder_error_buffer-fscanf;-0.0637
results_flawfinder_error_format-vswprintf;-0.0633
results_flawfinder_note_buffer-_tcsncpy;-0.0621
results_flawfinder_note_format-_sntprintf;-0.0618
results_flawfinder_error_buffer-StrCatA;-0.0618
results_flawfinder_error_buffer-StrCpyA;-0.0618
results_flawfinder_note_format-fwprintf;-0.0618
results_flawfinder_error_buffer-StrCatBuffW;-0.0618
results_flawfinder_note_misc-fopen;-0.0618
results_flawfinder_note_buffer-scanf;-0.0613
results_flawfinder_warning_buffer-getopt;-0.0612
results_flawfinder_note_buffer-_tcscat;-0.0610
results_flawfinder_warning_misc-LoadLibrary;-0.0603
results_flawfinder_note_buffer-wcsncat;-0.0601
results_flawfinder_warning_random-srandom;-0.0581
results_flawfinder_note_format-vfprintf;-0.0573
results_flawfinder_warning_misc-chroot;-0.0571
results_flawfinder_error_race-access;-0.0564
results_flawfinder_note_buffer-wcscat;-0.0557
results_flawfinder_note_tmpfile-tmpfile;-0.0556
results_flawfinder_warning_tmpfile-tmpnam;-0.0556
results_flawfinder_error_buffer-swprintf;-0.0556
results_flawfinder_note_buffer-CopyMemory;-0.0548
results_flawfinder_note_buffer-wcslen;-0.0546
results_flawfinder_note_format-wprintf;-0.0526
results_flawfinder_note_buffer-fscanf;-0.0512
results_flawfinder_error_shell-system;-0.0509
results_flawfinder_note_buffer-swprintf;-0.0503
results_flawfinder_note_buffer-wchar_t;-0.0498
results_flawfinder_note_input-recvfrom;-0.0498
results_flawfinder_note_format-vsnprintf;-0.0492
results_flawfinder_error_format-swprintf;-0.0486
results_flawfinder_error_crypto-crypt;-0.0485
results_flawfinder_error_format-snprintf;-0.0477
results_flawfinder_warning_misc-LoadLibraryEx;-0.0477
results_flawfinder_warning_shell-CreateProcess;-0.0477
results_flawfinder_note_buffer-TCHAR;-0.0468
results_flawfinder_note_format-fprintf;-0.0467
results_flawfinder_error_race-chmod;-0.0466
results_flawfinder_error_format-fprintf;-0.0465
results_flawfinder_warning_buffer-getenv;-0.0464
results_flawfinder_note_format-_snprintf;-0.0463
results_flawfinder_error_buffer-vwscanf;-0.0452
results_flawfinder_warning_buffer-realpath;-0.0450
results_flawfinder_warning_misc-InitializeCriticalSection;-0.0448
results_flawfinder_note_format-swprintf;-0.0447
results_flawfinder_note_input-recv;-0.0438
results_flawfinder_note_buffer-wcscpy;-0.0438
results_flawfinder_error_buffer-strcpyW;-0.0438
results_flawfinder_warning_random-setstate;-0.0437
results_flawfinder_note_buffer-sprintf;-0.0436
results_flawfinder_error_buffer-lstrcpy;-0.0428
results_flawfinder_error_format-vfprintf;-0.0424
results_flawfinder_error_buffer-sprintf;-0.0408
results_flawfinder_warning_random-srand;-0.0407
results_flawfinder_error_format-sprintf;-0.0406
results_flawfinder_error_race-readlink;-0.0398
results_flawfinder_error_shell-execl;-0.0392
results_flawfinder_warning_buffer-getopt_long;-0.0387
results_flawfinder_error_buffer-lstrcatW;-0.0372
results_flawfinder_note_buffer-mismatch;-0.0366
results_flawfinder_note_buffer-getchar;-0.0365
results_flawfinder_error_buffer-_tcscat;-0.0362
results_flawfinder_note_integer-atoi;-0.0358
results_flawfinder_note_buffer-getc;-0.0350
results_flawfinder_error_format-syslog;-0.0349
results_flawfinder_note_tmpfile-mkstemp;-0.0343
results_flawfinder_error_shell-execv;-0.0339
results_flawfinder_note_misc-open;-0.0336
results_flawfinder_note_buffer-wcsncpy;-0.0315
results_flawfinder_error_buffer-gets;-0.0314
results_flawfinder_note_integer-_wtoi;-0.0299
results_flawfinder_note_buffer-fgetc;-0.0296
results_flawfinder_note_buffer-_tcslen;-0.0295
