Variables;Importance
results_flawfinder_note_input-fread;-0.0634
results_flawfinder_note_format-vsprintf;-0.0597
results_flawfinder_note_buffer-wcsncat;-0.0594
results_flawfinder_note_format-fprintf;-0.0586
results_flawfinder_warning_buffer-getopt_long;-0.0581
results_flawfinder_error_shell-execl;-0.0578
results_flawfinder_error_buffer-strcat;-0.0575
results_flawfinder_note_access-umask;-0.0561
results_flawfinder_note_format-vprintf;-0.0551
results_flawfinder_note_buffer-wchar_t;-0.0547
results_flawfinder_note_input-recv;-0.0544
results_flawfinder_note_buffer-_tcscat;-0.0533
results_flawfinder_note_buffer-wcsncpy;-0.0532
results_flawfinder_note_buffer-sscanf;-0.0528
results_flawfinder_error_access-ImpersonateSecurityContext;-0.0515
results_flawfinder_error_buffer-_tcscat;-0.0514
results_flawfinder_error_tmpfile-mktemp;-0.0511
results_flawfinder_error_buffer-StrCatChainW;-0.0508
results_flawfinder_error_format-vfprintf;-0.0508
results_flawfinder_error_buffer-lstrcatW;-0.0504
results_flawfinder_warning_random-random;-0.0500
results_flawfinder_error_buffer-lstrcpynW;-0.0494
results_flawfinder_note_misc-open;-0.0491
results_flawfinder_warning_misc-chroot;-0.0491
results_flawfinder_note_tmpfile-tmpfile;-0.0489
results_flawfinder_error_buffer-_tcscpy;-0.0481
results_flawfinder_error_buffer-wcscat;-0.0478
results_flawfinder_error_buffer-vsscanf;-0.0478
results_flawfinder_note_buffer-MultiByteToWideChar;-0.0476
results_flawfinder_note_buffer-mismatch;-0.0476
results_flawfinder_warning_shell-CreateProcessAsUser;-0.0474
results_flawfinder_warning_misc-AddAccessAllowedAce;-0.0474
results_flawfinder_note_buffer-lstrcpyn;-0.0474
results_flawfinder_error_buffer-lstrcat;-0.0473
results_flawfinder_error_buffer-lstrcpyA;-0.0465
results_flawfinder_error_access-ImpersonateLoggedOnUser;-0.0464
results_flawfinder_note_format-fwprintf;-0.0463
results_flawfinder_note_buffer-strcpy;-0.0462
results_flawfinder_error_format-wprintf;-0.0454
results_flawfinder_note_format-swprintf;-0.0454
results_flawfinder_warning_buffer-getopt;-0.0447
results_flawfinder_note_format-wprintf;-0.0446
results_flawfinder_note_format-syslog;-0.0446
results_flawfinder_error_buffer-vsprintf;-0.0443
results_flawfinder_error_buffer-sprintf;-0.0441
results_flawfinder_error_buffer-vwscanf;-0.0432
results_flawfinder_error_format-fprintf;-0.0424
results_flawfinder_error_race-chown;-0.0423
results_flawfinder_error_buffer-strcpy;-0.0420
results_flawfinder_error_buffer-fscanf;-0.0418
results_flawfinder_error_race-access;-0.0417
results_flawfinder_warning_buffer-getenv;-0.0416
results_flawfinder_error_buffer-StrCatBuffW;-0.0414
results_flawfinder_error_buffer-StrCpyA;-0.0414
results_flawfinder_note_format-_sntprintf;-0.0414
results_flawfinder_error_buffer-StrCatA;-0.0414
results_flawfinder_note_format-sprintf;-0.0412
results_flawfinder_note_obsolete-usleep;-0.0408
results_flawfinder_error_buffer-scanf;-0.0406
results_flawfinder_warning_tmpfile-GetTempFileName;-0.0400
results_flawfinder_error_misc-SetSecurityDescriptorDacl;-0.0399
results_flawfinder_note_buffer-strlen;-0.0398
results_flawfinder_error_access-RpcImpersonateClient;-0.0396
results_flawfinder_error_buffer-lstrcpyW;-0.0396
results_flawfinder_error_format-syslog;-0.0393
results_flawfinder_error_buffer-vfwscanf;-0.0392
results_flawfinder_error_shell-ShellExecute;-0.0388
results_flawfinder_error_shell-execv;-0.0387
results_flawfinder_note_buffer-wcscat;-0.0386
results_flawfinder_error_shell-WinExec;-0.0385
results_flawfinder_error_buffer-sscanf;-0.0378
results_flawfinder_error_format-printf;-0.0378
results_flawfinder_error_shell-popen;-0.0368
results_flawfinder_note_buffer-swprintf;-0.0361
results_flawfinder_note_input-recvfrom;-0.0361
results_flawfinder_error_shell-execlp;-0.0358
results_flawfinder_error_buffer-swprintf;-0.0357
results_flawfinder_note_buffer-wcslen;-0.0355
results_flawfinder_error_buffer-MultiByteToWideChar;-0.0354
results_flawfinder_note_buffer-_tcslen;-0.0353
results_flawfinder_note_buffer-equal;-0.0349
results_flawfinder_warning_buffer-realpath;-0.0349
results_flawfinder_error_format-_snprintf;-0.0346
results_flawfinder_error_format-fwprintf;-0.0346
results_flawfinder_warning_misc-InitializeCriticalSection;-0.0340
results_flawfinder_error_shell-system;-0.0338
results_flawfinder_note_buffer-TCHAR;-0.0338
results_flawfinder_note_buffer-getc;-0.0333
results_flawfinder_note_format-snprintf;-0.0331
results_flawfinder_error_format-snprintf;-0.0329
results_flawfinder_error_buffer-wcscpy;-0.0326
results_flawfinder_note_buffer-strncpy;-0.0313
results_flawfinder_warning_shell-CreateProcess;-0.0307
results_flawfinder_error_buffer-lstrcpynA;-0.0302
results_flawfinder_warning_misc-LoadLibraryEx;-0.0300
results_flawfinder_error_buffer-lstrcpy;-0.0300
results_flawfinder_error_race-chmod;-0.0300
results_flawfinder_error_buffer-lstrcatA;-0.0297
results_flawfinder_note_buffer-CopyMemory;-0.0297
results_flawfinder_warning_random-srand;-0.0282
results_flawfinder_note_buffer-strcat;-0.0282
results_flawfinder_note_buffer-getchar;-0.0280
results_flawfinder_error_crypto-crypt;-0.0279
results_flawfinder_error_buffer-gets;-0.0270
results_flawfinder_error_format-vprintf;-0.0270
results_flawfinder_error_format-sprintf;-0.0268
results_flawfinder_note_input-readv;-0.0253
results_flawfinder_note_format-vfprintf;-0.0229
results_flawfinder_warning_misc-LoadLibrary;-0.0223
results_flawfinder_note_buffer-wcscpy;-0.0221
results_flawfinder_note_buffer-memcpy;-0.0217
results_flawfinder_note_misc-fopen;-0.0198
results_flawfinder_error_buffer-strcpyW;-0.0162
results_flawfinder_warning_random-setstate;-0.0159
results_flawfinder_error_format-vswprintf;-0.0157
results_flawfinder_note_format-_snprintf;-0.0156
results_flawfinder_note_format-vsnprintf;-0.0135
results_flawfinder_note_buffer-fscanf;-0.0112
results_flawfinder_error_format-vsnprintf;-0.0093
results_flawfinder_note_integer-atoi;-0.0087
results_flawfinder_warning_random-srandom;-0.0080
results_flawfinder_warning_tmpfile-tmpnam;-0.0057
results_flawfinder_note_integer-atol;-0.0050
results_flawfinder_error_format-vsprintf;-0.0027
results_flawfinder_note_buffer-_tcsncpy;-0.0015
results_flawfinder_error_race-readlink;-0.0003
results_flawfinder_note_integer-_wtoi;0.0003
results_flawfinder_note_format-printf;0.0108
results_flawfinder_note_buffer-char;0.0116
results_flawfinder_note_buffer-sprintf;0.0163
results_flawfinder_error_format-swprintf;0.0179
results_flawfinder_note_buffer-fgetc;0.0184
results_flawfinder_note_buffer-read;0.0195
results_flawfinder_note_buffer-scanf;0.0260
results_flawfinder_error_buffer-StrCpyNA;0.0272
results_flawfinder_note_tmpfile-mkstemp;0.0334
results_flawfinder_note_buffer-strncat;0.0400
