project_name,project_language,project_created_at,project_number_of_forks,project_number_of_commits,project_number_of_project_members,project_number_of_watchers,submitter_username,submitter_number_of_followers,submitter_is_project_member,id,accepted,time_opened,head_repo,head_commit,base_commit,number_of_commits,number_of_comments,modified,deleted,added,linted_and_modified,linted_and_added,linted_and_deleted,results_flawfinder_note_buffer-strlen,results_flawfinder_note_buffer-char,results_flawfinder_note_buffer-memcpy,results_flawfinder_note_input-fread,results_flawfinder_note_misc-fopen,results_flawfinder_error_race-chmod,results_flawfinder_note_buffer-strncpy,results_flawfinder_note_format-fprintf,results_flawfinder_error_buffer-wcscpy,results_flawfinder_note_buffer-wcslen,results_flawfinder_note_buffer-wchar_t,results_flawfinder_note_buffer-read,results_flawfinder_note_format-printf,results_flawfinder_error_format-printf,results_flawfinder_note_misc-open,results_flawfinder_error_format-snprintf,results_flawfinder_error_race-access,results_flawfinder_note_access-umask,results_flawfinder_note_tmpfile-mkstemp,results_flawfinder_error_format-vsnprintf,results_flawfinder_error_race-readlink,results_flawfinder_note_input-recv,results_flawfinder_error_tmpfile-mktemp,results_flawfinder_error_buffer-wcscat,results_flawfinder_warning_buffer-getenv,results_flawfinder_warning_misc-InitializeCriticalSection,results_flawfinder_note_buffer-mismatch,results_flawfinder_error_buffer-gets,results_flawfinder_note_format-snprintf,results_flawfinder_error_buffer-strcpy,results_flawfinder_note_buffer-sprintf,results_flawfinder_error_buffer-strcat,results_flawfinder_error_shell-system,results_flawfinder_note_buffer-sscanf,results_flawfinder_note_buffer-strcpy,results_flawfinder_warning_misc-LoadLibrary,results_flawfinder_error_buffer-sprintf,results_flawfinder_error_format-fprintf,results_flawfinder_warning_buffer-realpath,results_flawfinder_warning_random-srand,results_flawfinder_warning_tmpfile-GetTempFileName,results_flawfinder_note_integer-atol,results_flawfinder_note_buffer-MultiByteToWideChar,results_flawfinder_note_buffer-strcat,results_flawfinder_error_shell-execv,results_flawfinder_note_buffer-getchar,results_flawfinder_note_buffer-strncat,results_flawfinder_note_obsolete-usleep,results_flawfinder_error_format-vfprintf,results_flawfinder_note_buffer-equal,results_flawfinder_note_buffer-wcsncpy,results_flawfinder_error_buffer-scanf,results_flawfinder_error_buffer-lstrcpyW,results_flawfinder_error_buffer-lstrcpynW,results_flawfinder_error_buffer-strcpyW,results_flawfinder_note_tmpfile-tmpfile,results_flawfinder_error_format-wprintf,results_flawfinder_note_buffer-fgetc,results_flawfinder_error_buffer-lstrcpynA,results_flawfinder_note_integer-atoi,results_flawfinder_note_buffer-wcsncat,results_flawfinder_warning_tmpfile-tmpnam,results_flawfinder_note_format-vsprintf,results_flawfinder_error_buffer-vwscanf,results_flawfinder_error_buffer-lstrcpyA,results_flawfinder_error_format-fwprintf,results_flawfinder_error_format-_snprintf,results_flawfinder_error_buffer-vfwscanf,results_flawfinder_error_format-swprintf,results_flawfinder_note_integer-_wtoi,results_flawfinder_error_format-vswprintf,results_flawfinder_note_format-sprintf,results_flawfinder_error_buffer-lstrcatA,results_flawfinder_error_buffer-lstrcatW,results_flawfinder_error_buffer-fscanf,results_flawfinder_note_format-swprintf,results_flawfinder_note_buffer-wcscat,results_flawfinder_error_access-ImpersonateLoggedOnUser,results_flawfinder_warning_shell-CreateProcessAsUser,results_flawfinder_note_buffer-lstrcpyn,results_flawfinder_warning_misc-AddAccessAllowedAce,results_flawfinder_error_buffer-lstrcat,results_flawfinder_note_buffer-CopyMemory,results_flawfinder_warning_shell-CreateProcess,results_flawfinder_warning_misc-LoadLibraryEx,results_flawfinder_error_buffer-lstrcpy,results_flawfinder_error_buffer-swprintf,results_flawfinder_note_buffer-wcscpy,results_flawfinder_note_buffer-swprintf,results_flawfinder_error_format-sprintf,results_flawfinder_note_buffer-TCHAR,results_flawfinder_note_buffer-_tcscat,results_flawfinder_error_shell-WinExec,results_flawfinder_error_access-RpcImpersonateClient,results_flawfinder_error_buffer-_tcscat,results_flawfinder_error_buffer-StrCpyNA,results_flawfinder_warning_random-random,results_flawfinder_error_format-vsprintf,results_flawfinder_note_buffer-getc,results_flawfinder_note_buffer-_tcsncpy,results_flawfinder_error_shell-ShellExecute,results_flawfinder_note_format-wprintf,results_flawfinder_note_buffer-_tcslen,results_flawfinder_note_format-_sntprintf,results_flawfinder_error_buffer-StrCatA,results_flawfinder_error_buffer-StrCpyA,results_flawfinder_error_buffer-StrCatBuffW,results_flawfinder_note_format-fwprintf,results_flawfinder_error_crypto-crypt,results_flawfinder_error_shell-popen,results_flawfinder_note_format-_snprintf,results_flawfinder_error_buffer-sscanf,results_flawfinder_error_buffer-_tcscpy,results_flawfinder_error_buffer-StrCatChainW,results_flawfinder_error_access-ImpersonateSecurityContext,results_flawfinder_note_input-recvfrom,results_flawfinder_error_shell-execl,results_flawfinder_warning_buffer-getopt_long,results_flawfinder_note_format-syslog,results_flawfinder_warning_buffer-getopt,results_flawfinder_note_format-vprintf,results_flawfinder_error_format-vprintf,results_flawfinder_warning_random-srandom,results_flawfinder_note_format-vfprintf,results_flawfinder_warning_random-setstate,results_flawfinder_error_format-syslog,results_flawfinder_note_buffer-scanf,results_flawfinder_note_buffer-fscanf,results_flawfinder_error_race-chown,results_flawfinder_note_format-vsnprintf,results_flawfinder_error_buffer-vsscanf,results_flawfinder_error_shell-execlp,results_flawfinder_error_misc-SetSecurityDescriptorDacl,results_flawfinder_note_input-readv,results_flawfinder_warning_misc-chroot,results_flawfinder_error_buffer-vsprintf,results_flawfinder_error_buffer-MultiByteToWideChar
libgit2/libgit2,C/C++,1284128268.0,2215,,,8356,ethomson,,True,6262,True,1286.0,libgit2/libgit2,e7fce1b5e5a2854a3464df9626f0383b08c70ca0,4e85b4fccc75696f2ecdd5b07429b574fc6e4650,,,4,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
libgit2/libgit2,C/C++,1284128268.0,2215,,,8356,lhchavez,,False,6260,True,408303.0,lhchavez/libgit2,33b1d3fd62c3702ff6cc85c95dc01f372253851e,d8015d28a75223e8645012e344c1d5bfa25e4e50,,,1,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
libgit2/libgit2,C/C++,1284128268.0,2215,,,8356,ethomson,,True,6259,True,119366.0,libgit2/libgit2,42093d6a8e2f2bf03645e9c33ef4add70bada02a,d8015d28a75223e8645012e344c1d5bfa25e4e50,,,4,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
libgit2/libgit2,C/C++,1284128268.0,2215,,,8356,ethomson,,True,6258,True,119360.0,libgit2/libgit2,3bd9bb8d77521f3fb0181366463e1c93d48aaa2e,d8015d28a75223e8645012e344c1d5bfa25e4e50,,,8,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
libgit2/libgit2,C/C++,1284128268.0,2215,,,8356,ethomson,,True,6252,True,2545.0,libgit2/libgit2,a1020a7f1531218d244773749ce4bd22855fd483,0e530061e0eb034ab5716d97026e602c4d6e2863,,,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
libgit2/libgit2,C/C++,1284128268.0,2215,,,8356,ethomson,,True,6251,True,1087906.0,libgit2/libgit2,a9a7967ac0657fea84ab0aaa97a1cb8f75c29e0e,8420ac4b8a778d82ce87d05f6484ffc772178a63,,,3,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
libgit2/libgit2,C/C++,1284128268.0,2215,,,8356,bierbaum,,False,6246,True,545666.0,bierbaum/libgit2,ecc722c3bd3eaa4113201e015f776bb0f734adbd,2a0d0bd19b5d13e2ab7f3780e094404828cbb9a7,,,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
libgit2/libgit2,C/C++,1284128268.0,2215,,,8356,jorio,,False,6244,True,2402189.0,jorio/libgit2,71bb92b565c2e55265c65c02be38909e829cef65,2a0d0bd19b5d13e2ab7f3780e094404828cbb9a7,,,3,0,0,3,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
libgit2/libgit2,C/C++,1284128268.0,2215,,,8356,ethomson,,True,6238,True,294251.0,libgit2/libgit2,073e63d0a4fcce09cf6a2dc7d7f974f1bbbef792,1327dbcf2a4273a8ba6fd978db5f0882530af94d,,,7,0,0,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
libgit2/libgit2,C/C++,1284128268.0,2215,,,8356,ethomson,,True,6234,True,1370.0,libgit2/libgit2,f2c5d1b105d07c3643d1af388715321bdcbd83db,fdd15bcfca6b2ec4b7ecad1aa11a396cb15bd064,,,5,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
