Issue,Importance
results_flawfinder_note_buffer-strlen,0.01174261
results_flawfinder_note_buffer-char,0.00042885
results_flawfinder_note_buffer-memcpy,0.00566496
results_flawfinder_note_input-fread,0.00018840
results_flawfinder_note_misc-fopen,-0.00010381
results_flawfinder_error_race-chmod,0.00000281
results_flawfinder_note_buffer-strncpy,-0.00001394
results_flawfinder_note_format-fprintf,0.00062457
results_flawfinder_error_buffer-wcscpy,-0.00000979
results_flawfinder_note_buffer-wcslen,0.00020667
results_flawfinder_note_buffer-wchar_t,0.00006129
results_flawfinder_note_buffer-read,-0.00526715
results_flawfinder_note_format-printf,-0.00031276
results_flawfinder_error_format-printf,0.00006419
results_flawfinder_note_misc-open,-0.00001118
results_flawfinder_error_format-snprintf,-0.00008127
results_flawfinder_error_race-access,-0.00352590
results_flawfinder_note_access-umask,-0.00000100
results_flawfinder_note_tmpfile-mkstemp,0.00005446
results_flawfinder_error_format-vsnprintf,-0.00006391
results_flawfinder_error_race-readlink,0.00000053
results_flawfinder_note_input-recv,0.00051826
results_flawfinder_error_tmpfile-mktemp,0.00000000
results_flawfinder_error_buffer-wcscat,0.00000735
results_flawfinder_warning_buffer-getenv,-0.00113874
results_flawfinder_warning_misc-InitializeCriticalSection,-0.00000240
results_flawfinder_note_buffer-mismatch,-0.00000017
results_flawfinder_error_buffer-gets,0.00000000
results_flawfinder_note_format-snprintf,-0.00050979
results_flawfinder_error_buffer-strcpy,0.00003519
results_flawfinder_note_buffer-sprintf,0.00073436
results_flawfinder_error_buffer-strcat,0.00068202
results_flawfinder_error_shell-system,0.00000484
results_flawfinder_note_buffer-sscanf,0.00107032
results_flawfinder_note_buffer-strcpy,0.02264766
results_flawfinder_warning_misc-LoadLibrary,-0.00000081
results_flawfinder_error_buffer-sprintf,-0.00231499
results_flawfinder_error_format-fprintf,-0.00001275
results_flawfinder_warning_buffer-realpath,0.00001806
results_flawfinder_warning_random-srand,-0.00061576
results_flawfinder_warning_tmpfile-GetTempFileName,0.00000055
results_flawfinder_note_integer-atol,-0.00002686
results_flawfinder_note_buffer-MultiByteToWideChar,0.00014975
results_flawfinder_note_buffer-strcat,0.00149477
results_flawfinder_error_shell-execv,0.00004618
results_flawfinder_note_buffer-getchar,-0.00000332
results_flawfinder_note_buffer-strncat,-0.00008823
results_flawfinder_note_obsolete-usleep,0.00080697
results_flawfinder_error_format-vfprintf,0.00003317
results_flawfinder_note_buffer-equal,0.00504304
results_flawfinder_note_buffer-wcsncpy,0.00000021
results_flawfinder_error_buffer-scanf,-0.00001687
results_flawfinder_error_buffer-lstrcpyW,0.00015308
results_flawfinder_error_buffer-lstrcpynW,0.00000000
results_flawfinder_error_buffer-strcpyW,0.00001871
results_flawfinder_note_tmpfile-tmpfile,-0.00003228
results_flawfinder_error_format-wprintf,0.00000000
results_flawfinder_note_buffer-fgetc,-0.00000001
results_flawfinder_error_buffer-lstrcpynA,0.00000000
results_flawfinder_note_integer-atoi,0.00000195
results_flawfinder_note_buffer-wcsncat,0.00000000
results_flawfinder_warning_tmpfile-tmpnam,0.00000000
results_flawfinder_note_format-vsprintf,-0.00000250
results_flawfinder_error_buffer-vwscanf,0.00000000
results_flawfinder_error_buffer-lstrcpyA,-0.00638080
results_flawfinder_error_format-fwprintf,0.00000000
results_flawfinder_error_format-_snprintf,0.00000000
results_flawfinder_error_buffer-vfwscanf,0.00000000
results_flawfinder_error_format-swprintf,0.00000757
results_flawfinder_note_integer-_wtoi,0.00000000
results_flawfinder_error_format-vswprintf,0.00000000
results_flawfinder_note_format-sprintf,0.00002886
results_flawfinder_error_buffer-lstrcatA,-0.00105404
results_flawfinder_error_buffer-lstrcatW,0.00003627
results_flawfinder_error_buffer-fscanf,-0.00000010
results_flawfinder_note_format-swprintf,0.00000000
results_flawfinder_note_buffer-wcscat,-0.00000007
results_flawfinder_error_access-ImpersonateLoggedOnUser,0.00000000
results_flawfinder_warning_shell-CreateProcessAsUser,0.00000000
results_flawfinder_note_buffer-lstrcpyn,0.00000000
results_flawfinder_warning_misc-AddAccessAllowedAce,0.00000000
