Predicted,Actual
3701862.0580,13378123.0000
3270405.2921,75615.0000
3270405.2921,269361.0000
3270405.2921,60285.0000
3232338.0296,2196.0000
3270405.2921,682.0000
3270405.2921,852.0000
3270405.2921,174097.0000
3270405.2921,96795.0000
3270405.2921,3806.0000
2861040.0401,464917.0000
3270405.2921,54821.0000
3021499.0648,63925160.0000
2905479.6878,88199.0000
3270405.2921,161867.0000
3270405.2921,276905.0000
3270405.2921,227084.0000
3270405.2921,571.0000
3270405.2921,1136.0000
3270405.2921,40033.0000
3196953.5650,34177.0000
3270405.2921,528905.0000
3270405.2921,2191145.0000
3270405.2921,402006.0000
3270405.2921,17840.0000
3270405.2921,4607640.0000
2711823.5117,439360.0000
3270405.2921,12517.0000
3270405.2921,143964.0000
3270405.2921,18802523.0000
3270405.2921,1958744.0000
3270405.2921,100094.0000
3270405.2921,530.0000
3270405.2921,8398.0000
5007178.6335,10537.0000
3270405.2921,238890.0000
3569031.5725,5395332.0000
3302855.1825,18001548.0000
3270405.2921,426140.0000
4176289.4060,13563.0000
3270405.2921,72496.0000
3270405.2921,1121.0000
3270405.2921,24165.0000
3270405.2921,5521.0000
3270405.2921,913.0000
3433828.8295,30617765.0000
3270405.2921,44248.0000
3270405.2921,4391.0000
4612550.5396,34632991.0000
4677884.1215,252540.0000
3270405.2921,948748.0000
3270405.2921,1029514.0000
3270405.2921,2113.0000
3270405.2921,14274865.0000
3270405.2921,3552.0000
3270405.2921,127020.0000
3270405.2921,6737.0000
3270405.2921,1339.0000
1833587.8737,34828756.0000
3270405.2921,14587888.0000
3270405.2921,38591.0000
3270405.2921,171.0000
3270405.2921,11451.0000
3270405.2921,8136251.0000
3270405.2921,8875.0000
3270405.2921,67360.0000
3270405.2921,3088.0000
3270405.2921,76383.0000
3270405.2921,80112.0000
3270405.2921,510633.0000
3270405.2921,1207.0000
4230120.1179,612714.0000
3270405.2921,1196658.0000
3270405.2921,85650.0000
3270405.2921,10454.0000
3270405.2921,30803.0000
3270405.2921,11437.0000
3270405.2921,7204272.0000
3270405.2921,30529.0000
3791793.6535,4563.0000
3270405.2921,163836.0000
3270405.2921,670109.0000
3106981.7547,247.0000
4016970.9931,14157.0000
