Issue,Importance
results_flawfinder_note_buffer-strlen,0.01179071
results_flawfinder_note_buffer-char,-0.01111024
results_flawfinder_note_buffer-memcpy,0.02156024
results_flawfinder_note_input-fread,0.00010056
results_flawfinder_note_misc-fopen,0.00051369
results_flawfinder_error_race-chmod,0.00000000
results_flawfinder_note_buffer-strncpy,0.00138695
results_flawfinder_note_format-fprintf,0.00232810
results_flawfinder_error_buffer-wcscpy,0.00000000
results_flawfinder_note_buffer-wcslen,-0.00056440
results_flawfinder_note_buffer-wchar_t,0.00414106
results_flawfinder_note_buffer-read,-0.08620482
results_flawfinder_note_format-printf,0.00115710
results_flawfinder_error_format-printf,0.00031729
results_flawfinder_note_misc-open,0.00016725
results_flawfinder_error_format-snprintf,0.00010836
results_flawfinder_error_race-access,0.00161249
results_flawfinder_note_access-umask,-0.00039524
results_flawfinder_note_tmpfile-mkstemp,0.00059532
results_flawfinder_error_format-vsnprintf,0.00010228
results_flawfinder_error_race-readlink,0.00000000
results_flawfinder_note_input-recv,-0.08159968
results_flawfinder_error_tmpfile-mktemp,0.00000000
results_flawfinder_error_buffer-wcscat,-0.00097438
results_flawfinder_warning_buffer-getenv,0.00000106
results_flawfinder_warning_misc-InitializeCriticalSection,0.00000893
results_flawfinder_note_buffer-mismatch,0.00000000
results_flawfinder_error_buffer-gets,0.00000000
results_flawfinder_note_format-snprintf,0.00010301
results_flawfinder_error_buffer-strcpy,-0.00014784
results_flawfinder_note_buffer-sprintf,0.00194462
results_flawfinder_error_buffer-strcat,-0.00007580
results_flawfinder_error_shell-system,-0.00054483
results_flawfinder_note_buffer-sscanf,-0.00185871
results_flawfinder_note_buffer-strcpy,0.00034425
results_flawfinder_warning_misc-LoadLibrary,0.00000000
results_flawfinder_error_buffer-sprintf,0.00004774
results_flawfinder_error_format-fprintf,0.00000000
results_flawfinder_warning_buffer-realpath,0.00000000
results_flawfinder_warning_random-srand,-0.05441332
results_flawfinder_warning_tmpfile-GetTempFileName,0.00000000
results_flawfinder_note_integer-atol,0.00000000
results_flawfinder_note_buffer-MultiByteToWideChar,0.01269111
results_flawfinder_note_buffer-strcat,0.00034017
results_flawfinder_error_shell-execv,0.00607091
results_flawfinder_note_buffer-getchar,0.00000000
results_flawfinder_note_buffer-strncat,0.00000000
results_flawfinder_note_obsolete-usleep,0.00409037
results_flawfinder_error_format-vfprintf,0.00013054
results_flawfinder_note_buffer-equal,0.04036546
results_flawfinder_note_buffer-wcsncpy,0.00000000
results_flawfinder_error_buffer-scanf,0.00000000
results_flawfinder_error_buffer-lstrcpyW,0.00000000
results_flawfinder_error_buffer-lstrcpynW,0.00000000
results_flawfinder_error_buffer-strcpyW,0.00000000
results_flawfinder_note_tmpfile-tmpfile,0.00000000
results_flawfinder_error_format-wprintf,0.00000000
results_flawfinder_note_buffer-fgetc,0.00000000
results_flawfinder_error_buffer-lstrcpynA,0.00000000
results_flawfinder_note_integer-atoi,-0.00017153
results_flawfinder_note_buffer-wcsncat,0.00000000
results_flawfinder_warning_tmpfile-tmpnam,0.00000000
results_flawfinder_note_format-vsprintf,0.00000000
results_flawfinder_error_buffer-vwscanf,0.00000000
results_flawfinder_error_buffer-lstrcpyA,0.00000000
results_flawfinder_error_format-fwprintf,0.00000000
results_flawfinder_error_format-_snprintf,0.00000000
results_flawfinder_error_buffer-vfwscanf,0.00000000
results_flawfinder_error_format-swprintf,0.00355175
results_flawfinder_note_integer-_wtoi,0.00000000
results_flawfinder_error_format-vswprintf,0.00000000
results_flawfinder_note_format-sprintf,0.00000000
results_flawfinder_error_buffer-lstrcatA,0.00000000
results_flawfinder_error_buffer-lstrcatW,0.00000000
results_flawfinder_error_buffer-fscanf,0.00000000
results_flawfinder_note_format-swprintf,0.00000000
results_flawfinder_note_buffer-wcscat,0.00000000
results_flawfinder_error_access-ImpersonateLoggedOnUser,0.00000000
results_flawfinder_warning_shell-CreateProcessAsUser,0.00000000
results_flawfinder_note_buffer-lstrcpyn,0.00000000
