Predicted,Actual
31458300.1179,13378123.0000
2244349.6318,75615.0000
2244349.6318,269361.0000
2244349.6318,60285.0000
3569409.9563,2196.0000
2244349.6318,682.0000
2244349.6318,852.0000
2244349.6318,174097.0000
2244349.6318,96795.0000
2244349.6318,3806.0000
4665727.6033,464917.0000
2244349.6318,54821.0000
40558411.1115,63925160.0000
6595012.8441,88199.0000
2244349.6318,161867.0000
2244349.6318,276905.0000
2244349.6318,227084.0000
2244349.6318,571.0000
2244349.6318,1136.0000
2244349.6318,40033.0000
419331.2570,34177.0000
2244349.6318,528905.0000
2244349.6318,2191145.0000
2244349.6318,402006.0000
2244349.6318,17840.0000
2244349.6318,4607640.0000
177878.5849,439360.0000
2244349.6318,12517.0000
2244349.6318,143964.0000
2244349.6318,18802523.0000
2244349.6318,1958744.0000
2244349.6318,100094.0000
2244349.6318,530.0000
2244349.6318,8398.0000
6180325.8400,10537.0000
2244349.6318,238890.0000
5850080.0393,5395332.0000
1486919.9302,18001548.0000
2244349.6318,426140.0000
51577179.0403,13563.0000
2244349.6318,72496.0000
2244349.6318,1121.0000
2244349.6318,24165.0000
2244349.6318,5521.0000
2244349.6318,913.0000
395491.1165,30617765.0000
2244349.6318,44248.0000
2244349.6318,4391.0000
29828786.1506,34632991.0000
2331659.4200,252540.0000
2244349.6318,948748.0000
2244349.6318,1029514.0000
2244349.6318,2113.0000
2244349.6318,14274865.0000
2244349.6318,3552.0000
2244349.6318,127020.0000
2244349.6318,6737.0000
2244349.6318,1339.0000
25291555.6920,34828756.0000
2244349.6318,14587888.0000
2244349.6318,38591.0000
2244349.6318,171.0000
2244349.6318,11451.0000
2244349.6318,8136251.0000
2244349.6318,8875.0000
2244349.6318,67360.0000
2244349.6318,3088.0000
2244349.6318,76383.0000
2244349.6318,80112.0000
2244349.6318,510633.0000
2244349.6318,1207.0000
3010479.1750,612714.0000
2244349.6318,1196658.0000
2244349.6318,85650.0000
2244349.6318,10454.0000
2244349.6318,30803.0000
2244349.6318,11437.0000
2244349.6318,7204272.0000
2244349.6318,30529.0000
710616.1802,4563.0000
2244349.6318,163836.0000
2244349.6318,670109.0000
2154170.2529,247.0000
1447869.0513,14157.0000
2244349.6318,131850.0000
2244349.6318,6006.0000
1758912.3704,10217153.0000
5769095.4713,212.0000
2244349.6318,70444.0000
2244349.6318,5929463.0000
2244349.6318,293037.0000
2244349.6318,799.0000
2244349.6318,647605.0000
2244349.6318,333970.0000
2244349.6318,4058.0000
2244349.6318,4942.0000
2244349.6318,1198845.0000
2244349.6318,4199490.0000
2244349.6318,379.0000
2244349.6318,173176.0000
2244349.6318,10967674.0000
5128230.3843,14961.0000
2244349.6318,6282.0000
2244349.6318,131.0000
2244349.6318,109262.0000
2244349.6318,78502.0000
2244349.6318,5556.0000
2244349.6318,8601.0000
2244349.6318,1370.0000
2244349.6318,4924380.0000
18891276.3455,370912.0000
2244349.6318,385186.0000
2244349.6318,233372.0000
2244349.6318,1198758.0000
4673925.2778,261143.0000
2244349.6318,4220.0000
2244349.6318,56739.0000
892135.7796,14845850.0000
2244349.6318,75169.0000
2244349.6318,42514960.0000
1886015.7554,422274.0000
2244349.6318,32445.0000
25817294.2388,28974.0000
2244349.6318,412339.0000
2244349.6318,316589.0000
2244349.6318,127985839.0000
2244349.6318,4671.0000
2244349.6318,28479.0000
2244349.6318,2943.0000
2244349.6318,55657381.0000
2244349.6318,866767.0000
2244349.6318,375025.0000
2244349.6318,46939.0000
2244349.6318,38611.0000
2244349.6318,695867.0000
2244349.6318,247449.0000
5263636.3326,932580.0000
2244349.6318,83128.0000
2244349.6318,29188.0000
2244349.6318,3606.0000
2244349.6318,10530.0000
2775675.9318,258.0000
4673925.2778,6373121.0000
2244349.6318,210.0000
54126165.9130,92215264.0000
2244349.6318,782.0000
2244349.6318,6864.0000
4520479.9783,2244557.0000
2244349.6318,76070.0000
2244349.6318,66386.0000
2244349.6318,8247826.0000
381928.4981,11164.0000
2244349.6318,16789.0000
2244349.6318,573389.0000
2244349.6318,813.0000
2244349.6318,2377.0000
2244349.6318,4877.0000
2244349.6318,163400.0000
2244349.6318,3810.0000
2244349.6318,1413499.0000
2244349.6318,6067801.0000
2244349.6318,435851.0000
2263257.3969,12925.0000
2244349.6318,166308.0000
2244349.6318,4998.0000
2244349.6318,53500215.0000
2244349.6318,1482.0000
2244349.6318,69360.0000
2244349.6318,100814.0000
1384755.8926,10303.0000
7533105.7152,375244.0000
2244349.6318,675888.0000
2244349.6318,59662.0000
2244349.6318,1967.0000
2244349.6318,5809082.0000
2244349.6318,4547.0000
2244349.6318,9093751.0000
2244349.6318,609136.0000
2244349.6318,11885379.0000
2244349.6318,30967.0000
2244349.6318,59619.0000
31458300.1179,30597015.0000
2244349.6318,79272.0000
2244349.6318,327675.0000
2244349.6318,844272.0000
2244349.6318,3345.0000
2244349.6318,2050.0000
2244349.6318,14694.0000
2154170.2529,56179.0000
2244349.6318,10829603.0000
2244349.6318,36.0000
2244349.6318,34302.0000
2244349.6318,530285.0000
2244349.6318,164678.0000
2244349.6318,3185437.0000
2244349.6318,575425.0000
2244349.6318,17.0000
1582998.7590,56458.0000
2244349.6318,50161.0000
51118499.5740,52929791.0000
2244349.6318,29339082.0000
7291037.0153,4732845.0000
2244349.6318,25152.0000
2244349.6318,3125719.0000
52083284.6941,13306.0000
2244349.6318,10749.0000
2244349.6318,6475062.0000
2244349.6318,64751.0000
2244349.6318,8438768.0000
2244349.6318,7693560.0000
2244349.6318,91918.0000
2462373.8636,8423468.0000
2244349.6318,31729.0000
12388932.8319,7676.0000
2244349.6318,6783566.0000
2244349.6318,45690532.0000
2244349.6318,9071399.0000
11138698.1361,2679031.0000
2244349.6318,72535.0000
2244349.6318,6.0000
58479.0718,1364639.0000
2244349.6318,1004.0000
116590.8140,4474897.0000
2244349.6318,3993158.0000
2244349.6318,31046283.0000
2244349.6318,691221.0000
2244349.6318,67224.0000
2244349.6318,684291.0000
2244349.6318,13360.0000
3370500.2748,67375.0000
2244349.6318,2358.0000
2244349.6318,42563.0000
2244349.6318,437985.0000
2244349.6318,12905273.0000
10449867.2406,11395683.0000
2244349.6318,4584.0000
2244349.6318,21979.0000
2244349.6318,17119.0000
2244349.6318,11686305.0000
2244349.6318,346844.0000
2244349.6318,4399.0000
2244349.6318,869257.0000
2244349.6318,32966.0000
2244349.6318,36381187.0000
2244349.6318,1009021.0000
2263257.3969,10619869.0000
