Issue,Importance
results_flawfinder_note_buffer-strlen,0.05583535
results_flawfinder_note_buffer-char,-0.00125934
results_flawfinder_note_buffer-memcpy,0.11823344
results_flawfinder_note_input-fread,-0.00008613
results_flawfinder_note_misc-fopen,0.00327699
results_flawfinder_error_race-chmod,0.00000000
results_flawfinder_note_buffer-strncpy,0.04280428
results_flawfinder_note_format-fprintf,0.00199588
results_flawfinder_error_buffer-wcscpy,0.00000000
results_flawfinder_note_buffer-wcslen,0.01278234
results_flawfinder_note_buffer-wchar_t,0.00003770
results_flawfinder_note_buffer-read,0.02870245
results_flawfinder_note_format-printf,0.01398901
results_flawfinder_error_format-printf,0.00057793
results_flawfinder_note_misc-open,0.00360750
results_flawfinder_error_format-snprintf,0.00229605
results_flawfinder_error_race-access,0.00441761
results_flawfinder_note_access-umask,0.00000000
results_flawfinder_note_tmpfile-mkstemp,0.00029281
results_flawfinder_error_format-vsnprintf,-0.00008027
results_flawfinder_error_race-readlink,-0.00000000
results_flawfinder_note_input-recv,-0.03987573
results_flawfinder_error_tmpfile-mktemp,0.00000000
results_flawfinder_error_buffer-wcscat,0.00000000
results_flawfinder_warning_buffer-getenv,0.00621055
results_flawfinder_warning_misc-InitializeCriticalSection,0.00409497
results_flawfinder_note_buffer-mismatch,-0.00000150
results_flawfinder_error_buffer-gets,0.00000000
results_flawfinder_note_format-snprintf,0.00424351
results_flawfinder_error_buffer-strcpy,0.00027212
results_flawfinder_note_buffer-sprintf,-0.00007274
results_flawfinder_error_buffer-strcat,0.00056416
results_flawfinder_error_shell-system,-0.00009973
results_flawfinder_note_buffer-sscanf,0.00004429
results_flawfinder_note_buffer-strcpy,0.00007340
results_flawfinder_warning_misc-LoadLibrary,0.00003722
results_flawfinder_error_buffer-sprintf,0.00009640
results_flawfinder_error_format-fprintf,0.00008112
results_flawfinder_warning_buffer-realpath,0.00000000
results_flawfinder_warning_random-srand,-0.00931186
results_flawfinder_warning_tmpfile-GetTempFileName,0.00000000
results_flawfinder_note_integer-atol,-0.00000379
results_flawfinder_note_buffer-MultiByteToWideChar,-0.00073137
results_flawfinder_note_buffer-strcat,-0.00009579
results_flawfinder_error_shell-execv,0.00000000
results_flawfinder_note_buffer-getchar,0.00066718
results_flawfinder_note_buffer-strncat,0.00000000
results_flawfinder_note_obsolete-usleep,0.00345903
results_flawfinder_error_format-vfprintf,0.00000168
results_flawfinder_note_buffer-equal,-0.02809876
results_flawfinder_note_buffer-wcsncpy,0.00032191
results_flawfinder_error_buffer-scanf,-0.00012112
results_flawfinder_error_buffer-lstrcpyW,0.00000000
results_flawfinder_error_buffer-lstrcpynW,0.00000000
results_flawfinder_error_buffer-strcpyW,-0.00000385
results_flawfinder_note_tmpfile-tmpfile,0.00019186
results_flawfinder_error_format-wprintf,0.00000000
results_flawfinder_note_buffer-fgetc,0.00000000
results_flawfinder_error_buffer-lstrcpynA,0.00000000
results_flawfinder_note_integer-atoi,-0.00598991
results_flawfinder_note_buffer-wcsncat,0.00000000
results_flawfinder_warning_tmpfile-tmpnam,0.00000000
results_flawfinder_note_format-vsprintf,0.00000000
results_flawfinder_error_buffer-vwscanf,0.00000000
results_flawfinder_error_buffer-lstrcpyA,0.00000538
results_flawfinder_error_format-fwprintf,0.00000000
results_flawfinder_error_format-_snprintf,0.00000000
results_flawfinder_error_buffer-vfwscanf,0.00000000
results_flawfinder_error_format-swprintf,0.00000000
results_flawfinder_note_integer-_wtoi,0.00000000
results_flawfinder_error_format-vswprintf,0.00000000
results_flawfinder_note_format-sprintf,-0.00005009
results_flawfinder_error_buffer-lstrcatA,-0.00001778
results_flawfinder_error_buffer-lstrcatW,0.00000000
results_flawfinder_error_buffer-fscanf,0.00000000
results_flawfinder_note_format-swprintf,0.00000000
results_flawfinder_note_buffer-wcscat,0.00009189
results_flawfinder_error_access-ImpersonateLoggedOnUser,0.00000000
results_flawfinder_warning_shell-CreateProcessAsUser,0.00000000
results_flawfinder_note_buffer-lstrcpyn,0.00000000
results_flawfinder_warning_misc-AddAccessAllowedAce,0.00000000
results_flawfinder_error_buffer-lstrcat,0.00000000
results_flawfinder_note_buffer-CopyMemory,-0.00000049
results_flawfinder_warning_shell-CreateProcess,0.00000000
results_flawfinder_warning_misc-LoadLibraryEx,0.00000000
results_flawfinder_error_buffer-lstrcpy,0.00000000
results_flawfinder_error_buffer-swprintf,0.00000000
results_flawfinder_note_buffer-wcscpy,0.00000000
results_flawfinder_note_buffer-swprintf,0.00000000
results_flawfinder_error_format-sprintf,0.00002844
results_flawfinder_note_buffer-TCHAR,0.00003244
results_flawfinder_note_buffer-_tcscat,0.00000000
results_flawfinder_error_shell-WinExec,0.00000000
results_flawfinder_error_access-RpcImpersonateClient,-0.00000057
results_flawfinder_error_buffer-_tcscat,0.00000000
results_flawfinder_error_buffer-StrCpyNA,0.00000000
results_flawfinder_warning_random-random,0.00000000
results_flawfinder_error_format-vsprintf,-0.00028285
results_flawfinder_note_buffer-getc,-0.00006198
results_flawfinder_note_buffer-_tcsncpy,0.00000000
results_flawfinder_error_shell-ShellExecute,0.00000000
results_flawfinder_note_format-wprintf,0.00000000
