Predicted,Actual
3253714.2123,13378123.0000
3253714.2123,75615.0000
3253714.2123,269361.0000
3253714.2123,60285.0000
3276050.2956,2196.0000
3253714.2123,682.0000
3253714.2123,852.0000
3253714.2123,174097.0000
3253714.2123,96795.0000
3253714.2123,3806.0000
5309795.4121,464917.0000
3253714.2123,54821.0000
3819884.2024,63925160.0000
3782564.4415,88199.0000
3253714.2123,161867.0000
3253714.2123,276905.0000
3253714.2123,227084.0000
3253714.2123,571.0000
3253714.2123,1136.0000
3253714.2123,40033.0000
2526513.9532,34177.0000
3253714.2123,528905.0000
3253714.2123,2191145.0000
3253714.2123,402006.0000
3253714.2123,17840.0000
3253714.2123,4607640.0000
3270506.7153,439360.0000
3253714.2123,12517.0000
3253714.2123,143964.0000
3253714.2123,18802523.0000
3253714.2123,1958744.0000
3253714.2123,100094.0000
3253714.2123,530.0000
3253714.2123,8398.0000
5918869.3106,10537.0000
3253714.2123,238890.0000
3598694.3277,5395332.0000
3341397.6388,18001548.0000
3253714.2123,426140.0000
3253714.2123,13563.0000
3253714.2123,72496.0000
3253714.2123,1121.0000
3253714.2123,24165.0000
3253714.2123,5521.0000
3253714.2123,913.0000
3253714.2123,30617765.0000
3253714.2123,44248.0000
3253714.2123,4391.0000
3253714.2123,34632991.0000
3253714.2123,252540.0000
3253714.2123,948748.0000
3253714.2123,1029514.0000
3253714.2123,2113.0000
3253714.2123,14274865.0000
3253714.2123,3552.0000
3253714.2123,127020.0000
3253714.2123,6737.0000
3253714.2123,1339.0000
4836799.8313,34828756.0000
3253714.2123,14587888.0000
3253714.2123,38591.0000
3253714.2123,171.0000
3253714.2123,11451.0000
3253714.2123,8136251.0000
3253714.2123,8875.0000
3253714.2123,67360.0000
3253714.2123,3088.0000
3253714.2123,76383.0000
3253714.2123,80112.0000
3253714.2123,510633.0000
3253714.2123,1207.0000
6740872.0514,612714.0000
3253714.2123,1196658.0000
3253714.2123,85650.0000
3253714.2123,10454.0000
3253714.2123,30803.0000
3253714.2123,11437.0000
3253714.2123,7204272.0000
3253714.2123,30529.0000
3939050.5178,4563.0000
3253714.2123,163836.0000
3253714.2123,670109.0000
2976316.3478,247.0000
4116164.5009,14157.0000
3253714.2123,131850.0000
3253714.2123,6006.0000
3253714.2123,10217153.0000
3341397.6388,212.0000
3253714.2123,70444.0000
3253714.2123,5929463.0000
3253714.2123,293037.0000
3253714.2123,799.0000
3253714.2123,647605.0000
3253714.2123,333970.0000
3253714.2123,4058.0000
3253714.2123,4942.0000
