Predicted,Actual
2613010.4384,13378123.0000
2613010.4384,75615.0000
2613010.4384,269361.0000
2613010.4384,60285.0000
2613010.4384,2196.0000
2613010.4384,682.0000
2613010.4384,852.0000
2613010.4384,174097.0000
2613010.4384,96795.0000
2613010.4384,3806.0000
2778618.5275,464917.0000
2613010.4384,54821.0000
23922827.6943,63925160.0000
3190607.8099,88199.0000
2613010.4384,161867.0000
2613010.4384,276905.0000
2613010.4384,227084.0000
2613010.4384,571.0000
2613010.4384,1136.0000
2613010.4384,40033.0000
2613010.4384,34177.0000
2613010.4384,528905.0000
2613010.4384,2191145.0000
2613010.4384,402006.0000
2613010.4384,17840.0000
2613010.4384,4607640.0000
2613010.4384,439360.0000
2613010.4384,12517.0000
2613010.4384,143964.0000
2613010.4384,18802523.0000
2613010.4384,1958744.0000
2613010.4384,100094.0000
2613010.4384,530.0000
2613010.4384,8398.0000
2901661.0659,10537.0000
2613010.4384,238890.0000
2901661.0659,5395332.0000
2613010.4384,18001548.0000
2613010.4384,426140.0000
2613010.4384,13563.0000
2613010.4384,72496.0000
2613010.4384,1121.0000
2613010.4384,24165.0000
2613010.4384,5521.0000
2613010.4384,913.0000
2613010.4384,30617765.0000
2613010.4384,44248.0000
2613010.4384,4391.0000
2613010.4384,34632991.0000
2613010.4384,252540.0000
2613010.4384,948748.0000
2613010.4384,1029514.0000
2613010.4384,2113.0000
2613010.4384,14274865.0000
2613010.4384,3552.0000
2613010.4384,127020.0000
2613010.4384,6737.0000
2613010.4384,1339.0000
20109271.8912,34828756.0000
2613010.4384,14587888.0000
2613010.4384,38591.0000
2613010.4384,171.0000
2613010.4384,11451.0000
2613010.4384,8136251.0000
2613010.4384,8875.0000
2613010.4384,67360.0000
2613010.4384,3088.0000
2613010.4384,76383.0000
2613010.4384,80112.0000
2613010.4384,510633.0000
2613010.4384,1207.0000
5015765.7672,612714.0000
2613010.4384,1196658.0000
2613010.4384,85650.0000
2613010.4384,10454.0000
2613010.4384,30803.0000
2613010.4384,11437.0000
2613010.4384,7204272.0000
2613010.4384,30529.0000
2613010.4384,4563.0000
2613010.4384,163836.0000
2613010.4384,670109.0000
2613010.4384,247.0000
2901661.0659,14157.0000
2613010.4384,131850.0000
2613010.4384,6006.0000
2613010.4384,10217153.0000
2613010.4384,212.0000
2613010.4384,70444.0000
2613010.4384,5929463.0000
2613010.4384,293037.0000
2613010.4384,799.0000
2613010.4384,647605.0000
2613010.4384,333970.0000
2613010.4384,4058.0000
2613010.4384,4942.0000
2613010.4384,1198845.0000
2613010.4384,4199490.0000
2613010.4384,379.0000
2613010.4384,173176.0000
2613010.4384,10967674.0000
2613010.4384,14961.0000
2613010.4384,6282.0000
2613010.4384,131.0000
2613010.4384,109262.0000
2613010.4384,78502.0000
2613010.4384,5556.0000
2613010.4384,8601.0000
2613010.4384,1370.0000
2613010.4384,4924380.0000
5033377.2674,370912.0000
2613010.4384,385186.0000
2613010.4384,233372.0000
2613010.4384,1198758.0000
2613010.4384,261143.0000
2613010.4384,4220.0000
2613010.4384,56739.0000
2901661.0659,14845850.0000
2613010.4384,75169.0000
2613010.4384,42514960.0000
6994875.3668,422274.0000
2613010.4384,32445.0000
4712214.9720,28974.0000
2613010.4384,412339.0000
2613010.4384,316589.0000
2613010.4384,127985839.0000
2613010.4384,4671.0000
2613010.4384,28479.0000
2613010.4384,2943.0000
2613010.4384,55657381.0000
2613010.4384,866767.0000
2613010.4384,375025.0000
2613010.4384,46939.0000
2613010.4384,38611.0000
2613010.4384,695867.0000
2613010.4384,247449.0000
3844930.8103,932580.0000
2613010.4384,83128.0000
2613010.4384,29188.0000
2613010.4384,3606.0000
2613010.4384,10530.0000
3844930.8103,258.0000
2613010.4384,6373121.0000
2613010.4384,210.0000
2613010.4384,92215264.0000
2613010.4384,782.0000
2613010.4384,6864.0000
2901661.0659,2244557.0000
2613010.4384,76070.0000
2613010.4384,66386.0000
2613010.4384,8247826.0000
4744726.6399,11164.0000
2613010.4384,16789.0000
2613010.4384,573389.0000
2613010.4384,813.0000
2613010.4384,2377.0000
2613010.4384,4877.0000
2613010.4384,163400.0000
2613010.4384,3810.0000
2613010.4384,1413499.0000
2613010.4384,6067801.0000
2613010.4384,435851.0000
2901661.0659,12925.0000
2613010.4384,166308.0000
2613010.4384,4998.0000
2613010.4384,53500215.0000
2613010.4384,1482.0000
2613010.4384,69360.0000
2613010.4384,100814.0000
3844930.8103,10303.0000
16111785.6597,375244.0000
2613010.4384,675888.0000
2613010.4384,59662.0000
2613010.4384,1967.0000
2613010.4384,5809082.0000
2613010.4384,4547.0000
2613010.4384,9093751.0000
2613010.4384,609136.0000
2613010.4384,11885379.0000
2613010.4384,30967.0000
2613010.4384,59619.0000
2613010.4384,30597015.0000
2613010.4384,79272.0000
2613010.4384,327675.0000
2613010.4384,844272.0000
2613010.4384,3345.0000
2613010.4384,2050.0000
