Predicted,Actual
2964898.8054,13378123.0000
2964898.8054,75615.0000
2964898.8054,269361.0000
2964898.8054,60285.0000
3411421.8152,2196.0000
2964898.8054,682.0000
2964898.8054,852.0000
2964898.8054,174097.0000
2964898.8054,96795.0000
2964898.8054,3806.0000
16365135.3354,464917.0000
2964898.8054,54821.0000
22018382.9442,63925160.0000
3661464.8379,88199.0000
2964898.8054,161867.0000
2964898.8054,276905.0000
2964898.8054,227084.0000
2964898.8054,571.0000
2964898.8054,1136.0000
2964898.8054,40033.0000
2044332.3934,34177.0000
2964898.8054,528905.0000
2964898.8054,2191145.0000
2964898.8054,402006.0000
2964898.8054,17840.0000
2964898.8054,4607640.0000
2564328.8738,439360.0000
2964898.8054,12517.0000
2964898.8054,143964.0000
2964898.8054,18802523.0000
2964898.8054,1958744.0000
2964898.8054,100094.0000
2964898.8054,530.0000
2964898.8054,8398.0000
3952349.3589,10537.0000
2964898.8054,238890.0000
3045770.1592,5395332.0000
3111068.1059,18001548.0000
2964898.8054,426140.0000
2964898.8054,13563.0000
2964898.8054,72496.0000
2964898.8054,1121.0000
2964898.8054,24165.0000
2964898.8054,5521.0000
2964898.8054,913.0000
2964898.8054,30617765.0000
2964898.8054,44248.0000
2964898.8054,4391.0000
2964898.8054,34632991.0000
2964898.8054,252540.0000
2964898.8054,948748.0000
2964898.8054,1029514.0000
2964898.8054,2113.0000
2964898.8054,14274865.0000
2964898.8054,3552.0000
2964898.8054,127020.0000
2964898.8054,6737.0000
2964898.8054,1339.0000
30629631.5111,34828756.0000
2964898.8054,14587888.0000
2964898.8054,38591.0000
2964898.8054,171.0000
2964898.8054,11451.0000
2964898.8054,8136251.0000
2964898.8054,8875.0000
2964898.8054,67360.0000
2964898.8054,3088.0000
2964898.8054,76383.0000
2964898.8054,80112.0000
2964898.8054,510633.0000
2964898.8054,1207.0000
5002742.0318,612714.0000
2964898.8054,1196658.0000
2964898.8054,85650.0000
2964898.8054,10454.0000
