Predicted,Actual
2470647.2024,50562.0000
2470647.2024,279701.0000
2470647.2024,73077.0000
2470647.2024,9957.0000
2470647.2024,71.0000
2470647.2024,4350.0000
2470647.2024,471482.0000
2470647.2024,26646325.0000
2470647.2024,29507119.0000
2470647.2024,40944.0000
2470647.2024,3355761.0000
2470647.2024,18885.0000
2470647.2024,675483.0000
2470647.2024,743947.0000
2470647.2024,7260734.0000
2470647.2024,30097.0000
2470647.2024,64426.0000
2470647.2024,12525.0000
2470647.2024,62824.0000
2470647.2024,1880.0000
2470647.2024,11645.0000
2470647.2024,1524091.0000
2470647.2024,791902.0000
2470647.2024,94578.0000
2470647.2024,54991.0000
2470647.2024,3927276.0000
2470647.2024,275.0000
2470647.2024,173237.0000
2470647.2024,84992.0000
2470647.2024,327902.0000
2470647.2024,493.0000
2470647.2024,105745268.0000
2470647.2024,39287.0000
2470647.2024,43517.0000
2470647.2024,849521.0000
2470647.2024,481448.0000
2470647.2024,2449.0000
2470647.2024,438681.0000
2470647.2024,7717.0000
2470647.2024,8252713.0000
2470647.2024,21831.0000
2470647.2024,836.0000
2470647.2024,7720.0000
2470647.2024,20914.0000
2470647.2024,1112.0000
2470647.2024,770519.0000
2470647.2024,4042.0000
2470647.2024,2342.0000
2470647.2024,417790.0000
2470647.2024,73258154.0000
2470647.2024,15354.0000
2470647.2024,11431.0000
2470647.2024,76.0000
2470647.2024,29929.0000
2470647.2024,103071.0000
2470647.2024,138665.0000
2470647.2024,150725.0000
2470647.2024,62439.0000
2470647.2024,10614351.0000
2470647.2024,7804105.0000
2470647.2024,1169965.0000
2470647.2024,63.0000
2470647.2024,7809.0000
2470647.2024,15674.0000
2470647.2024,2042.0000
2470647.2024,1024251.0000
2470647.2024,2581358.0000
2470647.2024,381890.0000
2470647.2024,86553.0000
2470647.2024,777561.0000
2470647.2024,174724.0000
2470647.2024,63549.0000
2470647.2024,4222597.0000
2470647.2024,44.0000
2470647.2024,93980.0000
2470647.2024,100582.0000
2470647.2024,13528.0000
2470647.2024,68619.0000
2470647.2024,9257.0000
2470647.2024,87853.0000
2470647.2024,267468.0000
2470647.2024,19853.0000
2470647.2024,22839.0000
2470647.2024,16282.0000
2470647.2024,24968.0000
2470647.2024,12788.0000
3607636.4286,389549.0000
2470647.2024,327438.0000
2470647.2024,19564.0000
2470647.2024,1475.0000
2470647.2024,933884.0000
2470647.2024,97983.0000
2470647.2024,1838466.0000
2470647.2024,189362.0000
2470647.2024,164282.0000
2470647.2024,48760.0000
2470647.2024,5494.0000
2470647.2024,11455.0000
2470647.2024,503667.0000
2470647.2024,164345.0000
2470647.2024,3383.0000
2470647.2024,13787.0000
2470647.2024,1754612.0000
2470647.2024,14269.0000
2470647.2024,148355.0000
2470647.2024,260517.0000
2470647.2024,33146.0000
2470647.2024,171202.0000
2470647.2024,14779.0000
2470647.2024,1164.0000
2470647.2024,414576.0000
2470647.2024,101262.0000
2470647.2024,925031.0000
2470647.2024,81159.0000
2470647.2024,49467.0000
2470647.2024,972354.0000
2470647.2024,3646.0000
2470647.2024,129461.0000
2470647.2024,20240.0000
2470647.2024,82340.0000
2470647.2024,62802.0000
2470647.2024,3012.0000
2470647.2024,63297.0000
2470647.2024,248755.0000
2470647.2024,119323.0000
2470647.2024,45564.0000
2470647.2024,72162.0000
2470647.2024,13662933.0000
2470647.2024,9629.0000
2470647.2024,18849.0000
2470647.2024,4421.0000
2470647.2024,47583.0000
2470647.2024,201180.0000
2470647.2024,343441.0000
2470647.2024,473882.0000
2470647.2024,8828.0000
2470647.2024,9099.0000
2470647.2024,88268.0000
2470647.2024,107110.0000
2470647.2024,84294.0000
2470647.2024,473475.0000
2470647.2024,38764.0000
2470647.2024,59810.0000
2470647.2024,4255.0000
2470647.2024,907061.0000
2470647.2024,32029.0000
2470647.2024,671924.0000
2470647.2024,200152.0000
2470647.2024,10615.0000
2470647.2024,132428.0000
2470647.2024,5513366.0000
2470647.2024,85728.0000
2470647.2024,387095.0000
2470647.2024,634690.0000
2470647.2024,146715.0000
2470647.2024,3413.0000
2470647.2024,1076.0000
2470647.2024,47872.0000
2470647.2024,1400.0000
2470647.2024,457148.0000
2470647.2024,4770.0000
2470647.2024,42003.0000
2470647.2024,919.0000
2470647.2024,151196.0000
2470647.2024,932.0000
2470647.2024,1399823.0000
