Issue,Importance
results_HLint_Warning_Unused-LANGUAGE-pragma,0.00058523
results_HLint_Suggestion_Use-foldl,0.00000000
results_HLint_Suggestion_Use-null,0.00002268
results_HLint_Suggestion_Redundant-$,0.00301131
results_HLint_Suggestion_Use-lambda-case,0.00017232
results_HLint_Suggestion_Use-const,0.01930181
results_HLint_Warning_Use-fmap,0.01252924
results_HLint_Warning_Eta-reduce,0.02607601
results_HLint_Suggestion_Use-tuple-section,0.00536843
results_HLint_Suggestion_Use-bimap,-0.00003284
results_HLint_Warning_Use-?~,-0.00000890
results_HLint_Suggestion_Use-newtype-instead-of-data,0.00166878
results_HLint_Suggestion_Redundant-where,0.00001265
results_HLint_Warning_Use-mapMaybe,-0.00036111
results_HLint_Warning_Redundant-return,-0.00005750
results_HLint_Suggestion_Use-intercalate,-0.00000577
results_HLint_Suggestion_Redundant-bracket,-0.03467182
results_HLint_Suggestion_Use-typeRep,0.00000000
results_HLint_Suggestion_Avoid-lambda-using-`infix`,0.00037015
results_HLint_Suggestion_Use->=>,0.00000000
results_HLint_Suggestion_Avoid-lambda,0.00047218
results_HLint_Suggestion_Use-list-comprehension,-0.00013213
results_HLint_Warning_Redundant-bracket,-0.00017422
results_HLint_Suggestion_Use-camelCase,0.00019965
results_HLint_Warning_Use-concatMap,-0.00024135
results_HLint_Suggestion_Use-fmap,0.00000628
results_HLint_Warning_Redundant-lambda,0.00002731
results_HLint_Warning_Use-fewer-imports,0.02596249
results_HLint_Suggestion_Use-<$>,-0.00238780
results_HLint_Warning_Use-isNothing,-0.00001477
results_HLint_Warning_Use-tuple-section,0.02717992
results_HLint_Warning_Use-<&>,0.00000000
results_HLint_Suggestion_Move-brackets-to-avoid-$,-0.00388205
results_HLint_Warning_Use-foldM_,0.00000000
results_HLint_Warning_Use-<$>,-0.00376819
results_HLint_Suggestion_Use-section,-0.00752169
results_HLint_Warning_Use-all,0.00000000
results_HLint_Suggestion_Use-<&>,-0.00156859
