Predicted,Actual
1385347.4345,50562.0000
1385347.4345,279701.0000
1385347.4345,73077.0000
1385347.4345,9957.0000
1385347.4345,71.0000
1385347.4345,4350.0000
1385347.4345,471482.0000
1385347.4345,26646325.0000
1385347.4345,29507119.0000
1385347.4345,40944.0000
1385347.4345,3355761.0000
1385347.4345,18885.0000
1385347.4345,675483.0000
1385347.4345,743947.0000
1385347.4345,7260734.0000
1385347.4345,30097.0000
1385347.4345,64426.0000
1385347.4345,12525.0000
1385347.4345,62824.0000
1385347.4345,1880.0000
1385347.4345,11645.0000
1385347.4345,1524091.0000
1385347.4345,791902.0000
1385347.4345,94578.0000
1385347.4345,54991.0000
1385347.4345,3927276.0000
1385347.4345,275.0000
1385347.4345,173237.0000
1385347.4345,84992.0000
1385347.4345,327902.0000
1385347.4345,493.0000
1385347.4345,105745268.0000
1385347.4345,39287.0000
1385347.4345,43517.0000
1385347.4345,849521.0000
1385347.4345,481448.0000
1385347.4345,2449.0000
1385347.4345,438681.0000
1385347.4345,7717.0000
1385347.4345,8252713.0000
1385347.4345,21831.0000
1385347.4345,836.0000
1385347.4345,7720.0000
1385347.4345,20914.0000
1385347.4345,1112.0000
1385347.4345,770519.0000
1385347.4345,4042.0000
1385347.4345,2342.0000
1385347.4345,417790.0000
1385347.4345,73258154.0000
1385347.4345,15354.0000
1385347.4345,11431.0000
1385347.4345,76.0000
1385347.4345,29929.0000
1385347.4345,103071.0000
1385347.4345,138665.0000
1385347.4345,150725.0000
1385347.4345,62439.0000
1385347.4345,10614351.0000
1385347.4345,7804105.0000
1385347.4345,1169965.0000
1385347.4345,63.0000
1385347.4345,7809.0000
1385347.4345,15674.0000
1385347.4345,2042.0000
1385347.4345,1024251.0000
1385347.4345,2581358.0000
1385347.4345,381890.0000
1385347.4345,86553.0000
1385347.4345,777561.0000
1385347.4345,174724.0000
1385347.4345,63549.0000
1385347.4345,4222597.0000
1385347.4345,44.0000
1385347.4345,93980.0000
1385347.4345,100582.0000
1385347.4345,13528.0000
1385347.4345,68619.0000
1385347.4345,9257.0000
1385347.4345,87853.0000
1385347.4345,267468.0000
1385347.4345,19853.0000
1385347.4345,22839.0000
1385347.4345,16282.0000
