Predicted,Actual
1285252.4257,50562.0000
1285252.4257,279701.0000
1285252.4257,73077.0000
1285252.4257,9957.0000
1285252.4257,71.0000
4624308.5714,4350.0000
1285252.4257,471482.0000
1285252.4257,26646325.0000
2759497.4062,29507119.0000
1285252.4257,40944.0000
1285252.4257,3355761.0000
1285252.4257,18885.0000
1285252.4257,675483.0000
4624308.5714,743947.0000
1285252.4257,7260734.0000
1285252.4257,30097.0000
1285252.4257,64426.0000
1285252.4257,12525.0000
1311828.3333,62824.0000
1285252.4257,1880.0000
1285252.4257,11645.0000
1285252.4257,1524091.0000
1285252.4257,791902.0000
1285252.4257,94578.0000
1285252.4257,54991.0000
110508.8333,3927276.0000
1285252.4257,275.0000
1285252.4257,173237.0000
1966029.1154,84992.0000
1285252.4257,327902.0000
278512.1667,493.0000
31018193.0000,105745268.0000
11166.0000,39287.0000
1285252.4257,43517.0000
1285252.4257,849521.0000
1285252.4257,481448.0000
1285252.4257,2449.0000
1285252.4257,438681.0000
1285252.4257,7717.0000
1285252.4257,8252713.0000
1285252.4257,21831.0000
1285252.4257,836.0000
1285252.4257,7720.0000
1285252.4257,20914.0000
1285252.4257,1112.0000
1285252.4257,770519.0000
1285252.4257,4042.0000
1285252.4257,2342.0000
1285252.4257,417790.0000
80824.0000,73258154.0000
1285252.4257,15354.0000
1285252.4257,11431.0000
1285252.4257,76.0000
1285252.4257,29929.0000
3735.5000,103071.0000
1285252.4257,138665.0000
1285252.4257,150725.0000
1285252.4257,62439.0000
57509.0000,10614351.0000
1285252.4257,7804105.0000
830985.0000,1169965.0000
1285252.4257,63.0000
15239.5000,7809.0000
1285252.4257,15674.0000
1285252.4257,2042.0000
1285252.4257,1024251.0000
1032.0000,2581358.0000
110508.8333,381890.0000
1285252.4257,86553.0000
148067.0000,777561.0000
1285252.4257,174724.0000
1285252.4257,63549.0000
1285252.4257,4222597.0000
1285252.4257,44.0000
1285252.4257,93980.0000
1285252.4257,100582.0000
1285252.4257,13528.0000
1285252.4257,68619.0000
1285252.4257,9257.0000
1285252.4257,87853.0000
1285252.4257,267468.0000
1803249.5833,19853.0000
33038.2000,22839.0000
1285252.4257,16282.0000
1285252.4257,24968.0000
2842251.0000,12788.0000
1286363.8431,389549.0000
1285252.4257,327438.0000
1285252.4257,19564.0000
1285252.4257,1475.0000
1285252.4257,933884.0000
1285252.4257,97983.0000
2842251.0000,1838466.0000
1285252.4257,189362.0000
1285252.4257,164282.0000
1285252.4257,48760.0000
1152131.8000,5494.0000
1285252.4257,11455.0000
1285252.4257,503667.0000
1285252.4257,164345.0000
