Issue,Importance
results_HLint_Warning_Unused-LANGUAGE-pragma,0.00017926
results_HLint_Suggestion_Use-foldl,0.00000000
results_HLint_Suggestion_Use-null,0.00000212
results_HLint_Suggestion_Redundant-$,0.00171529
results_HLint_Suggestion_Use-lambda-case,0.00000422
results_HLint_Suggestion_Use-const,-0.00001514
results_HLint_Warning_Use-fmap,-0.00042056
results_HLint_Warning_Eta-reduce,-0.00001522
results_HLint_Suggestion_Use-tuple-section,0.00000019
results_HLint_Suggestion_Use-bimap,0.00000001
results_HLint_Warning_Use-?~,0.00000296
results_HLint_Suggestion_Use-newtype-instead-of-data,0.00010833
results_HLint_Suggestion_Redundant-where,-0.00000003
results_HLint_Warning_Use-mapMaybe,0.00000108
results_HLint_Warning_Redundant-return,0.00000055
results_HLint_Suggestion_Use-intercalate,-0.00000005
results_HLint_Suggestion_Redundant-bracket,0.00009729
results_HLint_Suggestion_Use-typeRep,0.00000000
results_HLint_Suggestion_Avoid-lambda-using-`infix`,0.00027987
results_HLint_Suggestion_Use->=>,0.00000000
results_HLint_Suggestion_Avoid-lambda,0.00003239
results_HLint_Suggestion_Use-list-comprehension,0.00001961
results_HLint_Warning_Redundant-bracket,0.00024913
results_HLint_Suggestion_Use-camelCase,-0.00129304
results_HLint_Warning_Use-concatMap,-0.00000108
results_HLint_Suggestion_Use-fmap,0.00000055
results_HLint_Warning_Redundant-lambda,0.00008806
results_HLint_Warning_Use-fewer-imports,0.00019608
results_HLint_Suggestion_Use-<$>,-0.00005494
results_HLint_Warning_Use-isNothing,0.00000028
results_HLint_Warning_Use-tuple-section,0.00229201
results_HLint_Warning_Use-<&>,0.00000000
results_HLint_Suggestion_Move-brackets-to-avoid-$,0.00014802
results_HLint_Warning_Use-foldM_,0.00000000
results_HLint_Warning_Use-<$>,-0.00000870
results_HLint_Suggestion_Use-section,-0.00000755
results_HLint_Warning_Use-all,0.00000000
results_HLint_Suggestion_Use-<&>,0.00043202
results_HLint_Warning_Avoid-lambda,-0.00000048
results_HLint_Warning_Use-const,0.00000000
results_HLint_Suggestion_Use-record-patterns,0.00001580
results_HLint_Suggestion_Redundant-section,0.00000000
results_HLint_Warning_Use-void,0.00000003
results_HLint_Warning_Functor-law,0.00000130
results_HLint_Warning_Redundant-id,0.00000004
results_HLint_Warning_Use-map,0.00000002
results_HLint_Suggestion_Use-foldr,0.00000000
results_HLint_Suggestion_Use-==,0.00000003
results_HLint_Warning_Use-notElem,0.00000094
results_HLint_Suggestion_Use-map-once,0.00000069
results_HLint_Warning_Redundant-<$>,-0.00000002
results_HLint_Warning_Use-gets,0.00001938
results_HLint_Suggestion_Use-infix,0.00000024
results_HLint_Warning_Use-maybe,-0.00000596
results_HLint_Warning_Use-fewer-LANGUAGE-pragmas,0.00000000
"results_HLint_Warning_Monad-law,-left-identity",0.00000000
results_HLint_Suggestion_Use-<=<,0.00000004
results_HLint_Suggestion_Use-uncurry,0.00000002
results_HLint_Suggestion_Use-if,0.00005079
results_HLint_Warning_Use-elem,0.00000046
results_HLint_Suggestion_Fuse-concatMap/map,0.00000000
results_HLint_Warning_Use-elemIndex,0.00000000
