Predicted,Actual
1311932.7762,50562.0000
1311932.7762,279701.0000
1311932.7762,73077.0000
1311932.7762,9957.0000
1311932.7762,71.0000
1237605.9551,4350.0000
1311932.7762,471482.0000
1311932.7762,26646325.0000
1248146.4792,29507119.0000
1311932.7762,40944.0000
1311932.7762,3355761.0000
1311932.7762,18885.0000
1311932.7762,675483.0000
1237605.9551,743947.0000
1311932.7762,7260734.0000
1311932.7762,30097.0000
1311932.7762,64426.0000
1311932.7762,12525.0000
1825918.0163,62824.0000
1311932.7762,1880.0000
1311932.7762,11645.0000
1311932.7762,1524091.0000
1311932.7762,791902.0000
1311932.7762,94578.0000
1308736.4064,54991.0000
976372.9388,3927276.0000
1311932.7762,275.0000
1311932.7762,173237.0000
1369108.1489,84992.0000
1311932.7762,327902.0000
1544698.8527,493.0000
1550151.1233,105745268.0000
1313085.6713,39287.0000
1311932.7762,43517.0000
1311932.7762,849521.0000
1311932.7762,481448.0000
1311932.7762,2449.0000
1311932.7762,438681.0000
1311932.7762,7717.0000
1311932.7762,8252713.0000
1311932.7762,21831.0000
1311932.7762,836.0000
1311932.7762,7720.0000
1311932.7762,20914.0000
1311932.7762,1112.0000
1311932.7762,770519.0000
1311932.7762,4042.0000
1311932.7762,2342.0000
1311932.7762,417790.0000
1284587.2900,73258154.0000
1311932.7762,15354.0000
1311932.7762,11431.0000
1311932.7762,76.0000
1311932.7762,29929.0000
1361843.8840,103071.0000
1311932.7762,138665.0000
1311932.7762,150725.0000
1311932.7762,62439.0000
1275448.3646,10614351.0000
1311932.7762,7804105.0000
1420479.4067,1169965.0000
1311932.7762,63.0000
1296618.0321,7809.0000
1311932.7762,15674.0000
1311932.7762,2042.0000
1311932.7762,1024251.0000
24366775.5425,2581358.0000
1865147.9058,381890.0000
1311932.7762,86553.0000
1946950.6786,777561.0000
1311932.7762,174724.0000
1311932.7762,63549.0000
1311932.7762,4222597.0000
1311932.7762,44.0000
1311932.7762,93980.0000
1311932.7762,100582.0000
1311932.7762,13528.0000
1311932.7762,68619.0000
1311932.7762,9257.0000
1311932.7762,87853.0000
1311932.7762,267468.0000
1304279.9226,19853.0000
1256345.5062,22839.0000
1311932.7762,16282.0000
1311932.7762,24968.0000
1531797.8879,12788.0000
1428315.8145,389549.0000
1311932.7762,327438.0000
1311932.7762,19564.0000
1311932.7762,1475.0000
1311932.7762,933884.0000
1311932.7762,97983.0000
1531797.8879,1838466.0000
1311932.7762,189362.0000
1311932.7762,164282.0000
1311932.7762,48760.0000
1311923.7393,5494.0000
1311932.7762,11455.0000
1311932.7762,503667.0000
1311932.7762,164345.0000
1311932.7762,3383.0000
1311932.7762,13787.0000
1311932.7762,1754612.0000
1311932.7762,14269.0000
1311932.7762,148355.0000
1311932.7762,260517.0000
1311932.7762,33146.0000
1840806.0558,171202.0000
1311932.7762,14779.0000
1311932.7762,1164.0000
1311932.7762,414576.0000
1311932.7762,101262.0000
1311932.7762,925031.0000
1311932.7762,81159.0000
1311932.7762,49467.0000
1311932.7762,972354.0000
1311932.7762,3646.0000
1311932.7762,129461.0000
1311932.7762,20240.0000
1311742.0783,82340.0000
1311932.7762,62802.0000
1311932.7762,3012.0000
1311932.7762,63297.0000
1311932.7762,248755.0000
1311932.7762,119323.0000
1311932.7762,45564.0000
1311932.7762,72162.0000
1311932.7762,13662933.0000
1311932.7762,9629.0000
1311932.7762,18849.0000
1311932.7762,4421.0000
1311932.7762,47583.0000
1304956.4961,201180.0000
1311932.7762,343441.0000
1311932.7762,473882.0000
1311932.7762,8828.0000
1311932.7762,9099.0000
1311932.7762,88268.0000
1311932.7762,107110.0000
1447220.4531,84294.0000
1310930.1366,473475.0000
1443541.9983,38764.0000
1311932.7762,59810.0000
1311932.7762,4255.0000
1311932.7762,907061.0000
1311932.7762,32029.0000
1311932.7762,671924.0000
2338370.7441,200152.0000
1311932.7762,10615.0000
1311932.7762,132428.0000
1207742.5205,5513366.0000
1311932.7762,85728.0000
1311932.7762,387095.0000
1311932.7762,634690.0000
1053364.7702,146715.0000
1308106.3494,3413.0000
1311932.7762,1076.0000
1311932.7762,47872.0000
1311932.7762,1400.0000
1311932.7762,457148.0000
1311932.7762,4770.0000
1182648.7732,42003.0000
1311932.7762,919.0000
1311932.7762,151196.0000
1311932.7762,932.0000
1311932.7762,1399823.0000
1311932.7762,9370.0000
1311932.7762,97013.0000
1866985.2406,4728.0000
1311932.7762,1011550.0000
1311932.7762,207412.0000
1311932.7762,34675.0000
1428315.8145,72840.0000
1304279.9226,347596.0000
1311932.7762,2703.0000
1311932.7762,250769.0000
1248146.4792,139505.0000
1311932.7762,1680.0000
1311932.7762,214525.0000
1311932.7762,53506.0000
1311932.7762,2857.0000
1311932.7762,16579.0000
1026952.6282,2415.0000
1311932.7762,1500.0000
1311932.7762,243580.0000
1311932.7762,75989.0000
1311932.7762,40449.0000
1311932.7762,26142.0000
1311932.7762,9502349.0000
1248146.4792,1008750.0000
1311932.7762,5797767.0000
1311932.7762,16686.0000
1311932.7762,251705.0000
1169779.1280,41584.0000
1248146.4792,1201062.0000
1296294.4089,283243.0000
1311932.7762,151568.0000
1311932.7762,387918.0000
1369108.1489,82366.0000
1311932.7762,23054.0000
1311932.7762,176015.0000
1311932.7762,9824.0000
1311932.7762,14255.0000
1311932.7762,898176.0000
1311932.7762,451.0000
1311932.7762,23875.0000
1311932.7762,270316.0000
1311932.7762,4089.0000
1311932.7762,151142.0000
1311932.7762,39181.0000
1311932.7762,1391336.0000
1311932.7762,681620.0000
1311932.7762,6520.0000
1311932.7762,159640.0000
1311932.7762,94128.0000
1371771.0293,216038.0000
929214.9939,68586.0000
1311932.7762,8227.0000
1311932.7762,200171.0000
1309156.8425,19804.0000
1406510.9250,3948521.0000
1311932.7762,95178.0000
1213431.0575,15830.0000
1311932.7762,679807.0000
1311932.7762,19534.0000
1237605.9551,1453.0000
1311932.7762,8385.0000
1311932.7762,3539.0000
1311932.7762,2875.0000
1308106.3494,55200.0000
1308538.8286,62050.0000
1292535.8732,36944.0000
1311932.7762,156885.0000
1311932.7762,235375.0000
1311932.7762,10.0000
1311932.7762,141014.0000
1368140.8361,341508.0000
1311932.7762,72385.0000
1311932.7762,14112.0000
1311932.7762,5623.0000
1311932.7762,2406.0000
1311932.7762,815375.0000
1246998.1682,45467.0000
1311932.7762,4274.0000
1311932.7762,223569.0000
1311932.7762,171430.0000
1311932.7762,7344.0000
1311932.7762,1532358.0000
1311932.7762,16192610.0000
1311932.7762,52.0000
1311932.7762,19193.0000
1311932.7762,50255.0000
1311932.7762,5005873.0000
1151978.8152,13932.0000
1410679.2166,36444.0000
1311932.7762,8757.0000
1311932.7762,1182423.0000
1311932.7762,66978.0000
1248146.4792,60989.0000
1311932.7762,91242.0000
1311932.7762,7855.0000
1311932.7762,9103.0000
1311932.7762,58477.0000
1311932.7762,19.0000
1311923.7393,54379.0000
1311932.7762,187891.0000
1311932.7762,1688.0000
1311932.7762,17879952.0000
1311932.7762,18052956.0000
1311932.7762,2453793.0000
1311932.7762,32.0000
1311932.7762,115302.0000
1311932.7762,35373.0000
1300743.2204,274938.0000
1311932.7762,616882.0000
1471606.1564,396493.0000
1311932.7762,4262.0000
1311932.7762,2485.0000
1311932.7762,12908.0000
1369108.1489,4648099.0000
1311932.7762,56768.0000
1311932.7762,10375.0000
1311932.7762,11689.0000
1369108.1489,19532297.0000
1356275.3624,158065.0000
1311932.7762,2345.0000
1311932.7762,171158.0000
1311932.7762,3404.0000
1311932.7762,2506015.0000
1311932.7762,5850.0000
1311932.7762,12255.0000
1311932.7762,84601.0000
1311932.7762,9.0000
1311932.7762,18989795.0000
1311932.7762,8093.0000
1311932.7762,37366.0000
1311932.7762,2643.0000
1289544.0554,3547.0000
1311932.7762,4649.0000
1311932.7762,27898.0000
1372525.9552,598224.0000
1311932.7762,37127.0000
1311932.7762,747863.0000
1311932.7762,10516.0000
1311932.7762,49517.0000
1311932.7762,113342.0000
1311932.7762,430500.0000
1311932.7762,17414.0000
1311932.7762,74701.0000
1311932.7762,653.0000
1311932.7762,5357667.0000
1311932.7762,4317.0000
1311932.7762,1363.0000
1311932.7762,19802.0000
1311932.7762,13396.0000
1311932.7762,2954982.0000
1311932.7762,2996.0000
1311932.7762,14333457.0000
1311932.7762,86495.0000
1403303.8891,797978.0000
1311932.7762,26845.0000
1308106.3494,1224.0000
1311932.7762,47209.0000
1311932.7762,8331.0000
14739340.2425,32665511.0000
1308106.3494,58947.0000
1311932.7762,2613.0000
1560410.2260,1804048.0000
1311932.7762,74414.0000
1311932.7762,9017981.0000
1311932.7762,87831.0000
1311932.7762,79947.0000
1311932.7762,12860.0000
1311932.7762,78014.0000
1311932.7762,165653.0000
1311932.7762,90128.0000
1311932.7762,4263.0000
1311932.7762,9839.0000
1311932.7762,89347.0000
1311932.7762,3040.0000
1311932.7762,9919.0000
1311932.7762,194740.0000
1311932.7762,20697.0000
1311932.7762,24835.0000
1311932.7762,136873.0000
1311932.7762,3155592.0000
1311932.7762,1858.0000
1311932.7762,1026625.0000
1311932.7762,48056.0000
1311932.7762,84996.0000
1311932.7762,2328.0000
1311932.7762,16289.0000
1276702.6380,1765.0000
1311932.7762,146011.0000
1428315.8145,333725.0000
1311932.7762,6493680.0000
1325235.8719,11066.0000
1311932.7762,12676.0000
1311932.7762,8383.0000
1311932.7762,6388.0000
1308106.3494,18911.0000
1182648.7732,84389.0000
1311932.7762,849764.0000
1311932.7762,19489327.0000
1306882.9963,91113.0000
1311932.7762,48837.0000
1311932.7762,64.0000
1311932.7762,10213.0000
1311932.7762,57674.0000
1311932.7762,47461.0000
1311932.7762,34327.0000
1311932.7762,629.0000
1311932.7762,525240.0000
1311932.7762,73039.0000
1311932.7762,6984.0000
1311932.7762,302604.0000
1311932.7762,52103.0000
1311932.7762,54583.0000
1311932.7762,30628.0000
1311932.7762,55619.0000
1322484.8951,43831.0000
1311932.7762,18588.0000
1311932.7762,43539.0000
1311932.7762,8512.0000
1311932.7762,30865.0000
1311932.7762,431877.0000
1311932.7762,2447960.0000
1311932.7762,8499.0000
1311932.7762,152912.0000
1311932.7762,1091.0000
1311932.7762,669852.0000
1311932.7762,28169.0000
1311932.7762,1379.0000
1311932.7762,109387.0000
1311932.7762,22570.0000
1143707.9167,683184.0000
1311932.7762,22665.0000
1311932.7762,886.0000
1311932.7762,31569078.0000
1342769.0243,623349.0000
1311932.7762,198358.0000
1311932.7762,655293.0000
1311932.7762,14583.0000
1311932.7762,27917.0000
1311932.7762,2385.0000
1187940.8130,51010.0000
1311932.7762,61198.0000
1311932.7762,71413.0000
1311932.7762,18694.0000
1311932.7762,835723.0000
1311932.7762,163837.0000
1311932.7762,77259.0000
1311932.7762,276879.0000
1222300.2478,4889.0000
1308106.3494,83921.0000
1232400.0585,7745.0000
1304279.9226,1236.0000
1311932.7762,399.0000
1332877.7235,1890992.0000
1311660.5305,30181.0000
1311932.7762,211846.0000
1311932.7762,2771836.0000
1311932.7762,80298.0000
1311932.7762,24123858.0000
1311932.7762,1005419.0000
1311932.7762,13344.0000
1311932.7762,860.0000
1311932.7762,2234.0000
1424489.3877,20807.0000
1311932.7762,95970.0000
1311932.7762,74170.0000
1311932.7762,39346.0000
1311932.7762,208334.0000
1311932.7762,2588.0000
1311932.7762,16621.0000
1311932.7762,258337.0000
1311932.7762,1397243.0000
1311932.7762,89068.0000
1311932.7762,688339.0000
794796.7641,14945.0000
1311932.7762,3738.0000
1311932.7762,1148.0000
1311932.7762,15637.0000
1311932.7762,38187.0000
1311932.7762,355.0000
1311932.7762,11610.0000
1311932.7762,9029.0000
1311932.7762,63900.0000
1311932.7762,422168.0000
1311932.7762,19815.0000
1531797.8879,94802.0000
1311932.7762,11.0000
1311932.7762,101880.0000
1311932.7762,1155.0000
1311932.7762,805516.0000
1311932.7762,23716.0000
1311932.7762,8356.0000
1311932.7762,125195.0000
1311932.7762,776167.0000
1182648.7732,42205.0000
1311932.7762,83796.0000
1311932.7762,32649.0000
