Predicted,Actual
1234690.4392,50562.0000
1234690.4392,279701.0000
1234690.4392,73077.0000
1234690.4392,9957.0000
1234690.4392,71.0000
1423501.4411,4350.0000
1234690.4392,471482.0000
1234690.4392,26646325.0000
1601607.1892,29507119.0000
1234690.4392,40944.0000
1234690.4392,3355761.0000
1234690.4392,18885.0000
1234690.4392,675483.0000
1423501.4411,743947.0000
1234690.4392,7260734.0000
1234690.4392,30097.0000
1234690.4392,64426.0000
1234690.4392,12525.0000
1451491.7719,62824.0000
1234690.4392,1880.0000
1234690.4392,11645.0000
1234690.4392,1524091.0000
1234690.4392,791902.0000
1234690.4392,94578.0000
1234690.4392,54991.0000
1375441.8292,3927276.0000
1234690.4392,275.0000
1234690.4392,173237.0000
1453309.9678,84992.0000
1234690.4392,327902.0000
1120077.7512,493.0000
2618168.5780,105745268.0000
1234690.4392,39287.0000
1234690.4392,43517.0000
1234690.4392,849521.0000
1234690.4392,481448.0000
1234690.4392,2449.0000
1234690.4392,438681.0000
1234690.4392,7717.0000
1234690.4392,8252713.0000
1234690.4392,21831.0000
1234690.4392,836.0000
1234690.4392,7720.0000
1234690.4392,20914.0000
1234690.4392,1112.0000
1234690.4392,770519.0000
1234690.4392,4042.0000
1234690.4392,2342.0000
1234690.4392,417790.0000
945073.9925,73258154.0000
1234690.4392,15354.0000
1234690.4392,11431.0000
1234690.4392,76.0000
1234690.4392,29929.0000
1234690.4392,103071.0000
1234690.4392,138665.0000
1234690.4392,150725.0000
1234690.4392,62439.0000
772594.8187,10614351.0000
1234690.4392,7804105.0000
1135320.1968,1169965.0000
1234690.4392,63.0000
1266402.5062,7809.0000
1234690.4392,15674.0000
1234690.4392,2042.0000
1234690.4392,1024251.0000
2355343.0899,2581358.0000
848789.5515,381890.0000
1234690.4392,86553.0000
1079210.8368,777561.0000
1234690.4392,174724.0000
1234690.4392,63549.0000
1234690.4392,4222597.0000
1234690.4392,44.0000
1234690.4392,93980.0000
1234690.4392,100582.0000
1234690.4392,13528.0000
1234690.4392,68619.0000
1234690.4392,9257.0000
1234690.4392,87853.0000
1234690.4392,267468.0000
1266402.5062,19853.0000
772594.8187,22839.0000
1234690.4392,16282.0000
1234690.4392,24968.0000
696078.2057,12788.0000
1120077.7512,389549.0000
1234690.4392,327438.0000
1234690.4392,19564.0000
1234690.4392,1475.0000
1234690.4392,933884.0000
1234690.4392,97983.0000
696078.2057,1838466.0000
1234690.4392,189362.0000
1234690.4392,164282.0000
1234690.4392,48760.0000
1234690.4392,5494.0000
1234690.4392,11455.0000
1234690.4392,503667.0000
1234690.4392,164345.0000
1234690.4392,3383.0000
1234690.4392,13787.0000
1234690.4392,1754612.0000
1234690.4392,14269.0000
1234690.4392,148355.0000
1234690.4392,260517.0000
1234690.4392,33146.0000
1049080.8331,171202.0000
1234690.4392,14779.0000
1234690.4392,1164.0000
1234690.4392,414576.0000
1234690.4392,101262.0000
1234690.4392,925031.0000
1234690.4392,81159.0000
1234690.4392,49467.0000
1234690.4392,972354.0000
1234690.4392,3646.0000
1234690.4392,129461.0000
1234690.4392,20240.0000
1234690.4392,82340.0000
1234690.4392,62802.0000
1234690.4392,3012.0000
1234690.4392,63297.0000
1234690.4392,248755.0000
1234690.4392,119323.0000
1234690.4392,45564.0000
1234690.4392,72162.0000
1234690.4392,13662933.0000
1234690.4392,9629.0000
1234690.4392,18849.0000
1234690.4392,4421.0000
1234690.4392,47583.0000
1135600.3538,201180.0000
1234690.4392,343441.0000
1234690.4392,473882.0000
1234690.4392,8828.0000
1234690.4392,9099.0000
1234690.4392,88268.0000
1234690.4392,107110.0000
1036508.3127,84294.0000
1234690.4392,473475.0000
943074.4272,38764.0000
1234690.4392,59810.0000
1234690.4392,4255.0000
1234690.4392,907061.0000
1234690.4392,32029.0000
1234690.4392,671924.0000
5896774.3224,200152.0000
1234690.4392,10615.0000
1234690.4392,132428.0000
1253904.0940,5513366.0000
1234690.4392,85728.0000
1234690.4392,387095.0000
1234690.4392,634690.0000
810690.8937,146715.0000
1234690.4392,3413.0000
1234690.4392,1076.0000
1234690.4392,47872.0000
1234690.4392,1400.0000
1234690.4392,457148.0000
1234690.4392,4770.0000
810690.8937,42003.0000
1234690.4392,919.0000
1234690.4392,151196.0000
1234690.4392,932.0000
1234690.4392,1399823.0000
1234690.4392,9370.0000
1234690.4392,97013.0000
1571108.1084,4728.0000
1234690.4392,1011550.0000
1234690.4392,207412.0000
1234690.4392,34675.0000
1120077.7512,72840.0000
1266402.5062,347596.0000
1234690.4392,2703.0000
1234690.4392,250769.0000
1601607.1892,139505.0000
1234690.4392,1680.0000
1234690.4392,214525.0000
1234690.4392,53506.0000
1234690.4392,2857.0000
1234690.4392,16579.0000
488375.8762,2415.0000
1234690.4392,1500.0000
1234690.4392,243580.0000
1234690.4392,75989.0000
1234690.4392,40449.0000
1234690.4392,26142.0000
1234690.4392,9502349.0000
1601607.1892,1008750.0000
1234690.4392,5797767.0000
1234690.4392,16686.0000
1234690.4392,251705.0000
1090047.9629,41584.0000
1601607.1892,1201062.0000
1423501.4411,283243.0000
1234690.4392,151568.0000
1234690.4392,387918.0000
1453309.9678,82366.0000
1234690.4392,23054.0000
1234690.4392,176015.0000
1234690.4392,9824.0000
1234690.4392,14255.0000
1234690.4392,898176.0000
1234690.4392,451.0000
1234690.4392,23875.0000
1234690.4392,270316.0000
1234690.4392,4089.0000
1234690.4392,151142.0000
1234690.4392,39181.0000
1234690.4392,1391336.0000
1234690.4392,681620.0000
1234690.4392,6520.0000
1234690.4392,159640.0000
1234690.4392,94128.0000
713014.2703,216038.0000
1154714.9198,68586.0000
1234690.4392,8227.0000
1234690.4392,200171.0000
1234690.4392,19804.0000
1266402.5062,3948521.0000
1234690.4392,95178.0000
810690.8937,15830.0000
1234690.4392,679807.0000
1234690.4392,19534.0000
1423501.4411,1453.0000
1234690.4392,8385.0000
1234690.4392,3539.0000
1234690.4392,2875.0000
1234690.4392,55200.0000
806155.0292,62050.0000
1068220.3797,36944.0000
1234690.4392,156885.0000
1234690.4392,235375.0000
1234690.4392,10.0000
1234690.4392,141014.0000
1453309.9678,341508.0000
1234690.4392,72385.0000
1234690.4392,14112.0000
1234690.4392,5623.0000
1234690.4392,2406.0000
1234690.4392,815375.0000
1061145.1507,45467.0000
1234690.4392,4274.0000
1234690.4392,223569.0000
1234690.4392,171430.0000
1234690.4392,7344.0000
1234690.4392,1532358.0000
1234690.4392,16192610.0000
1234690.4392,52.0000
1234690.4392,19193.0000
1234690.4392,50255.0000
1234690.4392,5005873.0000
1050984.3735,13932.0000
1232119.2158,36444.0000
1234690.4392,8757.0000
1234690.4392,1182423.0000
1234690.4392,66978.0000
1601607.1892,60989.0000
1234690.4392,91242.0000
1234690.4392,7855.0000
1234690.4392,9103.0000
1234690.4392,58477.0000
1234690.4392,19.0000
1234690.4392,54379.0000
1234690.4392,187891.0000
1234690.4392,1688.0000
1234690.4392,17879952.0000
1234690.4392,18052956.0000
1234690.4392,2453793.0000
1234690.4392,32.0000
1234690.4392,115302.0000
1234690.4392,35373.0000
1040102.2319,274938.0000
1234690.4392,616882.0000
1266402.5062,396493.0000
1234690.4392,4262.0000
1234690.4392,2485.0000
1234690.4392,12908.0000
1453309.9678,4648099.0000
1234690.4392,56768.0000
1234690.4392,10375.0000
1234690.4392,11689.0000
1453309.9678,19532297.0000
1036508.3127,158065.0000
1234690.4392,2345.0000
1234690.4392,171158.0000
1234690.4392,3404.0000
1234690.4392,2506015.0000
1234690.4392,5850.0000
1234690.4392,12255.0000
1234690.4392,84601.0000
1234690.4392,9.0000
1234690.4392,18989795.0000
1234690.4392,8093.0000
1234690.4392,37366.0000
1234690.4392,2643.0000
945073.9925,3547.0000
1234690.4392,4649.0000
1234690.4392,27898.0000
1234690.4392,598224.0000
1234690.4392,37127.0000
1234690.4392,747863.0000
1234690.4392,10516.0000
1234690.4392,49517.0000
1234690.4392,113342.0000
1234690.4392,430500.0000
1234690.4392,17414.0000
1234690.4392,74701.0000
1234690.4392,653.0000
1234690.4392,5357667.0000
1234690.4392,4317.0000
1234690.4392,1363.0000
1234690.4392,19802.0000
1234690.4392,13396.0000
1234690.4392,2954982.0000
1234690.4392,2996.0000
1234690.4392,14333457.0000
1234690.4392,86495.0000
1571506.0398,797978.0000
1234690.4392,26845.0000
1234690.4392,1224.0000
1234690.4392,47209.0000
1234690.4392,8331.0000
29697060.2666,32665511.0000
1234690.4392,58947.0000
1234690.4392,2613.0000
1311990.7425,1804048.0000
1234690.4392,74414.0000
1234690.4392,9017981.0000
1234690.4392,87831.0000
1234690.4392,79947.0000
1234690.4392,12860.0000
1234690.4392,78014.0000
1234690.4392,165653.0000
1234690.4392,90128.0000
1234690.4392,4263.0000
1234690.4392,9839.0000
1234690.4392,89347.0000
1234690.4392,3040.0000
1234690.4392,9919.0000
1234690.4392,194740.0000
1234690.4392,20697.0000
1234690.4392,24835.0000
1234690.4392,136873.0000
1234690.4392,3155592.0000
