Predicted,Actual
980108.5927,50562.0000
980108.5927,279701.0000
980108.5927,73077.0000
980108.5927,9957.0000
980108.5927,71.0000
18774.0000,4350.0000
980108.5927,471482.0000
980108.5927,26646325.0000
234530.7143,29507119.0000
980108.5927,40944.0000
3599.0000,3355761.0000
980108.5927,18885.0000
980108.5927,675483.0000
3532828.2574,743947.0000
980108.5927,7260734.0000
980108.5927,30097.0000
466882.6667,64426.0000
90.0000,12525.0000
10867253.2857,62824.0000
980108.5927,1880.0000
980108.5927,11645.0000
980108.5927,1524091.0000
980108.5927,791902.0000
980108.5927,94578.0000
980108.5927,54991.0000
4891.0000,3927276.0000
980108.5927,275.0000
980108.5927,173237.0000
980108.5927,84992.0000
466882.6667,327902.0000
980108.5927,493.0000
270422.0000,105745268.0000
980108.5927,39287.0000
980108.5927,43517.0000
980108.5927,849521.0000
97643.0000,481448.0000
980108.5927,2449.0000
980108.5927,438681.0000
980108.5927,7717.0000
980108.5927,8252713.0000
980108.5927,21831.0000
980108.5927,836.0000
980108.5927,7720.0000
980108.5927,20914.0000
980108.5927,1112.0000
980108.5927,770519.0000
980108.5927,4042.0000
1711251.0000,2342.0000
3404.0000,417790.0000
980108.5927,73258154.0000
5426619.0000,15354.0000
980108.5927,11431.0000
980108.5927,76.0000
980108.5927,29929.0000
980108.5927,103071.0000
1769487.8070,138665.0000
980108.5927,150725.0000
980108.5927,62439.0000
25061161.0000,10614351.0000
980108.5927,7804105.0000
1769487.8070,1169965.0000
980108.5927,63.0000
1310911.5714,7809.0000
980108.5927,15674.0000
3155138.9600,2042.0000
1310911.5714,1024251.0000
806964.5000,2581358.0000
6758.0000,381890.0000
3155138.9600,86553.0000
980108.5927,777561.0000
980108.5927,174724.0000
980108.5927,63549.0000
37208262.0000,4222597.0000
10867253.2857,44.0000
980108.5927,93980.0000
980108.5927,100582.0000
980108.5927,13528.0000
980108.5927,68619.0000
980108.5927,9257.0000
26159.0000,87853.0000
980108.5927,267468.0000
980108.5927,19853.0000
980108.5927,22839.0000
980108.5927,16282.0000
980108.5927,24968.0000
254938.0000,12788.0000
259692.0000,389549.0000
2368695.0294,327438.0000
3532828.2574,19564.0000
980108.5927,1475.0000
1769487.8070,933884.0000
980108.5927,97983.0000
3998.5000,1838466.0000
984046.2222,189362.0000
980108.5927,164282.0000
980108.5927,48760.0000
980108.5927,5494.0000
980108.5927,11455.0000
980108.5927,503667.0000
980108.5927,164345.0000
980108.5927,3383.0000
980108.5927,13787.0000
980108.5927,1754612.0000
980108.5927,14269.0000
910742.4286,148355.0000
980108.5927,260517.0000
980108.5927,33146.0000
833400.2857,171202.0000
980108.5927,14779.0000
980108.5927,1164.0000
980108.5927,414576.0000
14889.0000,101262.0000
980108.5927,925031.0000
980108.5927,81159.0000
980108.5927,49467.0000
53129.6667,972354.0000
980108.5927,3646.0000
980108.5927,129461.0000
509068.0000,20240.0000
980108.5927,82340.0000
137874.0000,62802.0000
