Predicted,Actual
1264919.6470,50562.0000
1264919.6470,279701.0000
1264919.6470,73077.0000
1264919.6470,9957.0000
1264919.6470,71.0000
1267310.8492,4350.0000
1264919.6470,471482.0000
1264397.9851,26646325.0000
1121672.2673,29507119.0000
1264919.6470,40944.0000
1327815.2529,3355761.0000
1264919.6470,18885.0000
1264919.6470,675483.0000
1393580.7437,743947.0000
1264919.6470,7260734.0000
1264919.6470,30097.0000
1169421.3939,64426.0000
2345323.3909,12525.0000
1384707.9593,62824.0000
1264919.6470,1880.0000
1264919.6470,11645.0000
1264919.6470,1524091.0000
1264919.6470,791902.0000
1264919.6470,94578.0000
1264919.6470,54991.0000
2361291.9363,3927276.0000
1264919.6470,275.0000
1264919.6470,173237.0000
1264919.6470,84992.0000
1248481.1823,327902.0000
1264919.6470,493.0000
7922600.7953,105745268.0000
1264919.6470,39287.0000
1264919.6470,43517.0000
1264919.6470,849521.0000
3218924.9721,481448.0000
1264919.6470,2449.0000
1264919.6470,438681.0000
1264919.6470,7717.0000
1263724.2916,8252713.0000
1264919.6470,21831.0000
1264919.6470,836.0000
1264919.6470,7720.0000
1264919.6470,20914.0000
1264919.6470,1112.0000
1264919.6470,770519.0000
1264919.6470,4042.0000
1799335.6826,2342.0000
1864980.0727,417790.0000
1264919.6470,73258154.0000
1279265.6416,15354.0000
1264919.6470,11431.0000
1264919.6470,76.0000
1264919.6470,29929.0000
1264919.6470,103071.0000
1217170.5205,138665.0000
1264919.6470,150725.0000
1264919.6470,62439.0000
2416378.1266,10614351.0000
1264919.6470,7804105.0000
1217170.5205,1169965.0000
1264919.6470,63.0000
1159650.8354,7809.0000
1264919.6470,15674.0000
1587599.3471,2042.0000
1159650.8354,1024251.0000
1486209.1120,2581358.0000
1493223.7162,381890.0000
1587599.3471,86553.0000
1264919.6470,777561.0000
1264919.6470,174724.0000
1264919.6470,63549.0000
2129127.9094,4222597.0000
1384707.9593,44.0000
1264919.6470,93980.0000
1264919.6470,100582.0000
1264919.6470,13528.0000
1264919.6470,68619.0000
1264919.6470,9257.0000
1255974.0456,87853.0000
1264919.6470,267468.0000
1264919.6470,19853.0000
1264919.6470,22839.0000
1264919.6470,16282.0000
1264919.6470,24968.0000
1054382.0238,12788.0000
1657324.2175,389549.0000
1331730.0987,327438.0000
1393580.7437,19564.0000
1264919.6470,1475.0000
1217170.5205,933884.0000
1264919.6470,97983.0000
1502164.2520,1838466.0000
1779564.0337,189362.0000
1264919.6470,164282.0000
1264919.6470,48760.0000
1264919.6470,5494.0000
1264919.6470,11455.0000
1264919.6470,503667.0000
1264919.6470,164345.0000
1264919.6470,3383.0000
1264919.6470,13787.0000
1264919.6470,1754612.0000
1264919.6470,14269.0000
1343979.4355,148355.0000
1264919.6470,260517.0000
1264919.6470,33146.0000
1581289.2801,171202.0000
1264919.6470,14779.0000
1264919.6470,1164.0000
1264919.6470,414576.0000
2478911.1235,101262.0000
1264919.6470,925031.0000
1264919.6470,81159.0000
1264919.6470,49467.0000
1140733.5924,972354.0000
1264919.6470,3646.0000
1264919.6470,129461.0000
1862529.9206,20240.0000
1261628.6417,82340.0000
1004416.2801,62802.0000
1264919.6470,3012.0000
1264919.6470,63297.0000
1264919.6470,248755.0000
1264919.6470,119323.0000
1264919.6470,45564.0000
1740583.8715,72162.0000
1264919.6470,13662933.0000
1264919.6470,9629.0000
1264919.6470,18849.0000
1037463.6471,4421.0000
1264919.6470,47583.0000
1264919.6470,201180.0000
1405156.7145,343441.0000
1523843.5439,473882.0000
1264919.6470,8828.0000
1264919.6470,9099.0000
1264919.6470,88268.0000
1264919.6470,107110.0000
1162387.3296,84294.0000
1262245.0872,473475.0000
1264919.6470,38764.0000
1211541.7767,59810.0000
1264919.6470,4255.0000
2842015.6506,907061.0000
1264919.6470,32029.0000
1264919.6470,671924.0000
1292166.1901,200152.0000
1264919.6470,10615.0000
1264919.6470,132428.0000
1449565.9828,5513366.0000
1264919.6470,85728.0000
1264919.6470,387095.0000
1264919.6470,634690.0000
1264919.6470,146715.0000
1264919.6470,3413.0000
1264919.6470,1076.0000
1745784.1637,47872.0000
1264919.6470,1400.0000
1264919.6470,457148.0000
1264919.6470,4770.0000
1257885.5828,42003.0000
1264919.6470,919.0000
1522241.8404,151196.0000
1280173.3487,932.0000
1264919.6470,1399823.0000
1264919.6470,9370.0000
1264919.6470,97013.0000
1264919.6470,4728.0000
1264919.6470,1011550.0000
1264919.6470,207412.0000
1264919.6470,34675.0000
1264919.6470,72840.0000
1375564.3795,347596.0000
1264919.6470,2703.0000
1423104.4636,250769.0000
1264919.6470,139505.0000
1393580.7437,1680.0000
1264919.6470,214525.0000
1384964.5075,53506.0000
1264919.6470,2857.0000
1264919.6470,16579.0000
1264919.6470,2415.0000
1264919.6470,1500.0000
1331730.0987,243580.0000
1264919.6470,75989.0000
1334109.7322,40449.0000
1264919.6470,26142.0000
1264919.6470,9502349.0000
1393580.7437,1008750.0000
1375355.3370,5797767.0000
1264919.6470,16686.0000
1264919.6470,251705.0000
1264919.6470,41584.0000
1214495.9606,1201062.0000
1581289.2801,283243.0000
1264919.6470,151568.0000
1264919.6470,387918.0000
1264919.6470,82366.0000
1264919.6470,23054.0000
1393580.7437,176015.0000
1264919.6470,9824.0000
1264919.6470,14255.0000
1264919.6470,898176.0000
1393580.7437,451.0000
1264919.6470,23875.0000
1264919.6470,270316.0000
1264919.6470,4089.0000
1264919.6470,151142.0000
1264919.6470,39181.0000
1264919.6470,1391336.0000
1826012.1405,681620.0000
1264919.6470,6520.0000
1264919.6470,159640.0000
1262245.0872,94128.0000
1237588.7195,216038.0000
1331278.1616,68586.0000
1264919.6470,8227.0000
1345831.6171,200171.0000
1553457.0105,19804.0000
1327606.2104,3948521.0000
1264919.6470,95178.0000
1264919.6470,15830.0000
1264321.9693,679807.0000
2177787.6261,19534.0000
1479780.5959,1453.0000
1264919.6470,8385.0000
1264919.6470,3539.0000
1264919.6470,2875.0000
