Predicted,Actual
1076757.6698,50562.0000
1076757.6698,279701.0000
1076757.6698,73077.0000
1076757.6698,9957.0000
1076757.6698,71.0000
-1042410.3302,4350.0000
1076757.6698,471482.0000
361845.6698,26646325.0000
744458.8294,29507119.0000
1076757.6698,40944.0000
618658.5713,3355761.0000
1076757.6698,18885.0000
1076757.6698,675483.0000
1166037.9564,743947.0000
1076757.6698,7260734.0000
1076757.6698,30097.0000
855225.1095,64426.0000
-349418.3302,12525.0000
1014973.9068,62824.0000
1076757.6698,1880.0000
1076757.6698,11645.0000
1076757.6698,1524091.0000
1076757.6698,791902.0000
1076757.6698,94578.0000
1076757.6698,54991.0000
1980624.1118,3927276.0000
1076757.6698,275.0000
1076757.6698,173237.0000
1076757.6698,84992.0000
469552.7882,327902.0000
1076757.6698,493.0000
38011169.1804,105745268.0000
1076757.6698,39287.0000
1076757.6698,43517.0000
1076757.6698,849521.0000
5025704.6618,481448.0000
1076757.6698,2449.0000
1076757.6698,438681.0000
1076757.6698,7717.0000
3857731.1457,8252713.0000
1076757.6698,21831.0000
1076757.6698,836.0000
1076757.6698,7720.0000
1076757.6698,20914.0000
1076757.6698,1112.0000
1076757.6698,770519.0000
1076757.6698,4042.0000
-563598.5061,2342.0000
-4856961.3423,417790.0000
1076757.6698,73258154.0000
1036329.6698,15354.0000
1076757.6698,11431.0000
1076757.6698,76.0000
1076757.6698,29929.0000
1076757.6698,103071.0000
965991.3897,138665.0000
1076757.6698,150725.0000
1076757.6698,62439.0000
1005780.0153,10614351.0000
1076757.6698,7804105.0000
965991.3897,1169965.0000
1076757.6698,63.0000
942192.3942,7809.0000
1076757.6698,15674.0000
1691590.1938,2042.0000
942192.3942,1024251.0000
382092.0331,2581358.0000
2719297.6102,381890.0000
1691590.1938,86553.0000
1076757.6698,777561.0000
1076757.6698,174724.0000
1076757.6698,63549.0000
13984767.0471,4222597.0000
1014973.9068,44.0000
1076757.6698,93980.0000
1076757.6698,100582.0000
1076757.6698,13528.0000
1076757.6698,68619.0000
1076757.6698,9257.0000
613141.6698,87853.0000
1076757.6698,267468.0000
1076757.6698,19853.0000
1076757.6698,22839.0000
1076757.6698,16282.0000
1076757.6698,24968.0000
807627.1186,12788.0000
13289005.8450,389549.0000
1593677.9293,327438.0000
1166037.9564,19564.0000
1076757.6698,1475.0000
965991.3897,933884.0000
1076757.6698,97983.0000
778753.0587,1838466.0000
1433878.8159,189362.0000
1076757.6698,164282.0000
1076757.6698,48760.0000
1076757.6698,5494.0000
1076757.6698,11455.0000
1076757.6698,503667.0000
1076757.6698,164345.0000
1076757.6698,3383.0000
1076757.6698,13787.0000
1076757.6698,1754612.0000
1076757.6698,14269.0000
691085.3485,148355.0000
1076757.6698,260517.0000
1076757.6698,33146.0000
1252093.0902,171202.0000
1076757.6698,14779.0000
1076757.6698,1164.0000
1076757.6698,414576.0000
-3433946.1200,101262.0000
1076757.6698,925031.0000
1076757.6698,81159.0000
1076757.6698,49467.0000
1150612.8086,972354.0000
1076757.6698,3646.0000
1076757.6698,129461.0000
2195656.4376,20240.0000
-10379818.3302,82340.0000
1181892.2602,62802.0000
1076757.6698,3012.0000
1076757.6698,63297.0000
1076757.6698,248755.0000
1076757.6698,119323.0000
1076757.6698,45564.0000
1531725.3485,72162.0000
1076757.6698,13662933.0000
1076757.6698,9629.0000
1076757.6698,18849.0000
54035.8339,4421.0000
1076757.6698,47583.0000
1076757.6698,201180.0000
6133708.1555,343441.0000
1686236.8341,473882.0000
1076757.6698,8828.0000
1076757.6698,9099.0000
1076757.6698,88268.0000
1076757.6698,107110.0000
-2613062.8905,84294.0000
2198407.8730,473475.0000
1076757.6698,38764.0000
-256490.3302,59810.0000
1076757.6698,4255.0000
2015868.8343,907061.0000
1076757.6698,32029.0000
1076757.6698,671924.0000
2896533.6698,200152.0000
1076757.6698,10615.0000
1076757.6698,132428.0000
-596596.5931,5513366.0000
1076757.6698,85728.0000
1076757.6698,387095.0000
1076757.6698,634690.0000
1076757.6698,146715.0000
1076757.6698,3413.0000
1076757.6698,1076.0000
1779257.9040,47872.0000
1076757.6698,1400.0000
1076757.6698,457148.0000
1076757.6698,4770.0000
-2391530.3302,42003.0000
1076757.6698,919.0000
1255318.2429,151196.0000
1638931.4562,932.0000
1076757.6698,1399823.0000
1076757.6698,9370.0000
1076757.6698,97013.0000
1076757.6698,4728.0000
1076757.6698,1011550.0000
1076757.6698,207412.0000
1076757.6698,34675.0000
1076757.6698,72840.0000
729424.8515,347596.0000
1076757.6698,2703.0000
1164425.3800,250769.0000
1076757.6698,139505.0000
1166037.9564,1680.0000
1076757.6698,214525.0000
918293.6698,53506.0000
1076757.6698,2857.0000
1076757.6698,16579.0000
1076757.6698,2415.0000
1076757.6698,1500.0000
1593677.9293,243580.0000
1076757.6698,75989.0000
2054372.1044,40449.0000
1076757.6698,26142.0000
1076757.6698,9502349.0000
1166037.9564,1008750.0000
1053659.0999,5797767.0000
1076757.6698,16686.0000
1076757.6698,251705.0000
1076757.6698,41584.0000
2087641.5928,1201062.0000
1252093.0902,283243.0000
1076757.6698,151568.0000
1076757.6698,387918.0000
1076757.6698,82366.0000
1076757.6698,23054.0000
1166037.9564,176015.0000
1076757.6698,9824.0000
1076757.6698,14255.0000
1076757.6698,898176.0000
1166037.9564,451.0000
1076757.6698,23875.0000
1076757.6698,270316.0000
1076757.6698,4089.0000
1076757.6698,151142.0000
1076757.6698,39181.0000
1076757.6698,1391336.0000
2699710.5569,681620.0000
1076757.6698,6520.0000
1076757.6698,159640.0000
2198407.8730,94128.0000
276962.0894,216038.0000
11769645.6698,68586.0000
1076757.6698,8227.0000
1055271.6762,200171.0000
49545472.6807,19804.0000
942892.8197,3948521.0000
1076757.6698,95178.0000
1076757.6698,15830.0000
2467244.4078,679807.0000
3130262.8159,19534.0000
12951519.4327,1453.0000
1076757.6698,8385.0000
1076757.6698,3539.0000
1076757.6698,2875.0000
1076757.6698,55200.0000
1164425.3800,62050.0000
2198407.8730,36944.0000
1076757.6698,156885.0000
1076757.6698,235375.0000
1076757.6698,10.0000
-2558666.3302,141014.0000
3056112.3942,341508.0000
1076757.6698,72385.0000
1076757.6698,14112.0000
1076757.6698,5623.0000
1076757.6698,2406.0000
1076757.6698,815375.0000
1076757.6698,45467.0000
1076757.6698,4274.0000
1076757.6698,223569.0000
1076757.6698,171430.0000
1076757.6698,7344.0000
1849238.2429,1532358.0000
1076757.6698,16192610.0000
1076757.6698,52.0000
1076757.6698,19193.0000
1076757.6698,50255.0000
1076757.6698,5005873.0000
1076757.6698,13932.0000
1076757.6698,36444.0000
1076757.6698,8757.0000
4540635.0447,1182423.0000
1076757.6698,66978.0000
1076757.6698,60989.0000
1076757.6698,91242.0000
1166037.9564,7855.0000
1076757.6698,9103.0000
1076757.6698,58477.0000
1076757.6698,19.0000
5931157.6665,54379.0000
1076757.6698,187891.0000
1076757.6698,1688.0000
1076757.6698,17879952.0000
4042905.4449,18052956.0000
-4831013.9896,2453793.0000
1076757.6698,32.0000
1076757.6698,115302.0000
1076757.6698,35373.0000
2400479.1263,274938.0000
1076757.6698,616882.0000
-385158.8905,396493.0000
1076757.6698,4262.0000
744458.8294,2485.0000
1076757.6698,12908.0000
1344598.5294,4648099.0000
1076757.6698,56768.0000
-2897999.3193,10375.0000
1076757.6698,11689.0000
1772238.5023,19532297.0000
1691590.1938,158065.0000
1076757.6698,2345.0000
1076757.6698,171158.0000
1076757.6698,3404.0000
1076757.6698,2506015.0000
1076757.6698,5850.0000
1686236.8341,12255.0000
2694658.5262,84601.0000
1487508.7899,9.0000
1076757.6698,18989795.0000
807627.1186,8093.0000
1076757.6698,37366.0000
1076757.6698,2643.0000
1070869.6698,3547.0000
1076757.6698,4649.0000
1076757.6698,27898.0000
1076757.6698,598224.0000
-32732739.9495,37127.0000
1686236.8341,747863.0000
1076757.6698,10516.0000
1076757.6698,49517.0000
1076757.6698,113342.0000
-1154846.6880,430500.0000
1076757.6698,17414.0000
1076757.6698,74701.0000
1076757.6698,653.0000
1076757.6698,5357667.0000
1076757.6698,4317.0000
1076757.6698,1363.0000
1076757.6698,19802.0000
5081365.6698,13396.0000
1344598.5294,2954982.0000
1076757.6698,2996.0000
1120752.9673,14333457.0000
1076757.6698,86495.0000
-2672234.3302,797978.0000
1076757.6698,26845.0000
1076757.6698,1224.0000
855225.1095,47209.0000
1593677.9293,8331.0000
31612792.9404,32665511.0000
2181870.9776,58947.0000
1076757.6698,2613.0000
1076757.6698,1804048.0000
2286075.5832,74414.0000
965991.3897,9017981.0000
1076757.6698,87831.0000
1076757.6698,79947.0000
1076757.6698,12860.0000
403731.8339,78014.0000
1076757.6698,165653.0000
1076757.6698,90128.0000
530320.4460,4263.0000
1076757.6698,9839.0000
1076757.6698,89347.0000
1076757.6698,3040.0000
1076757.6698,9919.0000
530320.4460,194740.0000
1076757.6698,20697.0000
1076757.6698,24835.0000
1076757.6698,136873.0000
2792327.8730,3155592.0000
1076757.6698,1858.0000
1076757.6698,1026625.0000
1076757.6698,48056.0000
1076757.6698,84996.0000
