Predicted,Actual
987705.5300,50562.0000
987705.5300,279701.0000
987705.5300,73077.0000
987705.5300,9957.0000
987705.5300,71.0000
162424.5626,4350.0000
987705.5300,471482.0000
929855.0422,26646325.0000
241498.2246,29507119.0000
987705.5300,40944.0000
1509434.8881,3355761.0000
987705.5300,18885.0000
987705.5300,675483.0000
3693462.6252,743947.0000
987705.5300,7260734.0000
987705.5300,30097.0000
504882.5688,64426.0000
586399.0352,12525.0000
10473662.0347,62824.0000
987705.5300,1880.0000
987705.5300,11645.0000
987705.5300,1524091.0000
987705.5300,791902.0000
987705.5300,94578.0000
987705.5300,54991.0000
6196063.3467,3927276.0000
987705.5300,275.0000
987705.5300,173237.0000
987705.5300,84992.0000
465488.8978,327902.0000
987705.5300,493.0000
6512230.5988,105745268.0000
987705.5300,39287.0000
987705.5300,43517.0000
987705.5300,849521.0000
290433.8400,481448.0000
987705.5300,2449.0000
987705.5300,438681.0000
987705.5300,7717.0000
1658732.1206,8252713.0000
987705.5300,21831.0000
987705.5300,836.0000
987705.5300,7720.0000
987705.5300,20914.0000
987705.5300,1112.0000
987705.5300,770519.0000
987705.5300,4042.0000
2356241.9968,2342.0000
5084222.0733,417790.0000
987705.5300,73258154.0000
4930910.8130,15354.0000
987705.5300,11431.0000
987705.5300,76.0000
987705.5300,29929.0000
987705.5300,103071.0000
1758739.7382,138665.0000
987705.5300,150725.0000
987705.5300,62439.0000
10522483.4912,10614351.0000
987705.5300,7804105.0000
1758739.7382,1169965.0000
987705.5300,63.0000
1309527.9156,7809.0000
987705.5300,15674.0000
3173842.3577,2042.0000
1309527.9156,1024251.0000
674208.5643,2581358.0000
852141.1736,381890.0000
3173842.3577,86553.0000
987705.5300,777561.0000
987705.5300,174724.0000
987705.5300,63549.0000
16995473.1240,4222597.0000
10473662.0347,44.0000
987705.5300,93980.0000
987705.5300,100582.0000
987705.5300,13528.0000
987705.5300,68619.0000
987705.5300,9257.0000
360698.8487,87853.0000
987705.5300,267468.0000
987705.5300,19853.0000
987705.5300,22839.0000
987705.5300,16282.0000
987705.5300,24968.0000
260489.4763,12788.0000
5213023.6882,389549.0000
2436202.2344,327438.0000
3693462.6252,19564.0000
987705.5300,1475.0000
1758739.7382,933884.0000
