Variables;Importance
results_PMD_Error Prone_CompareObjectsWithEquals;-0.1523
results_PMD_Best Practices_UnusedFormalParameter;-0.0978
results_PMD_Performance_OptimizableToArrayCall;-0.0760
results_PMD_Best Practices_JUnit4TestShouldUseTestAnnotation;-0.0751
results_PMD_Error Prone_AvoidAccessibilityAlteration;-0.0717
results_PMD_Code Style_IdenticalCatchBranches;-0.0703
results_PMD_Error Prone_MissingSerialVersionUID;-0.0692
results_PMD_Design_AvoidUncheckedExceptionsInSignatures;-0.0687
results_PMD_Code Style_LocalVariableNamingConventions;-0.0687
results_PMD_Performance_AvoidInstantiatingObjectsInLoops;-0.0660
results_PMD_Code Style_TooManyStaticImports;-0.0655
results_PMD_Design_LogicInversion;-0.0652
results_PMD_Error Prone_DetachedTestCase;-0.0616
results_PMD_Error Prone_DoNotTerminateVM;-0.0616
results_PMD_Documentation_CommentContent;-0.0613
results_PMD_Performance_ConsecutiveLiteralAppends;-0.0612
results_PMD_Error Prone_DontImportSun;-0.0610
results_PMD_Best Practices_AvoidReassigningLoopVariables;-0.0594
results_PMD_Design_ExceptionAsFlowControl;-0.0588
results_PMD_Code Style_ShortMethodName;-0.0577
results_PMD_Error Prone_AvoidLosingExceptionInformation;-0.0559
results_PMD_Error Prone_EmptyIfStmt;-0.0556
results_PMD_Documentation_CommentSize;-0.0556
results_PMD_Best Practices_SwitchStmtsShouldHaveDefault;-0.0553
results_PMD_Code Style_PrematureDeclaration;-0.0548
results_PMD_Code Style_UnnecessaryAnnotationValueElement;-0.0544
results_PMD_Best Practices_JUnit4TestShouldUseBeforeAnnotation;-0.0510
results_PMD_Design_NPathComplexity;-0.0510
results_PMD_Error Prone_UnnecessaryConversionTemporary;-0.0508
results_PMD_Performance_UseStringBufferLength;-0.0508
results_PMD_Error Prone_EmptyStatementNotInLoop;-0.0506
results_PMD_Performance_UseArraysAsList;-0.0505
results_PMD_Best Practices_UnusedAssignment;-0.0504
results_PMD_Error Prone_CloneMethodReturnTypeMustMatchClassName;-0.0502
results_PMD_Error Prone_UnconditionalIfStatement;-0.0495
results_PMD_Multithreading_NonThreadSafeSingleton;-0.0494
results_PMD_Error Prone_MethodWithSameNameAsEnclosingClass;-0.0492
results_PMD_Design_ExcessivePublicCount;-0.0492
results_PMD_Design_TooManyMethods;-0.0487
results_PMD_Error Prone_IdempotentOperations;-0.0487
results_PMD_Best Practices_UnusedLocalVariable;-0.0486
results_PMD_Best Practices_ForLoopCanBeForeach;-0.0485
results_PMD_Design_ClassWithOnlyPrivateConstructorsShouldBeFinal;-0.0485
results_PMD_Design_UselessOverridingMethod;-0.0483
results_PMD_Error Prone_CloneMethodMustImplementCloneable;-0.0481
results_PMD_Error Prone_UseProperClassLoader;-0.0478
results_PMD_Code Style_FormalParameterNamingConventions;-0.0473
results_PMD_Code Style_UnnecessaryModifier;-0.0473
results_PMD_Design_DataClass;-0.0473
results_PMD_Error Prone_ConstructorCallsOverridableMethod;-0.0472
results_PMD_Code Style_AvoidProtectedFieldInFinalClass;-0.0472
results_PMD_Performance_BigIntegerInstantiation;-0.0470
results_PMD_Design_GodClass;-0.0467
results_PMD_Error Prone_EmptyTryBlock;-0.0461
results_PMD_Best Practices_PreserveStackTrace;-0.0453
results_PMD_Best Practices_JUnit5TestShouldBePackagePrivate;-0.0453
results_PMD_Multithreading_UseNotifyAllInsteadOfNotify;-0.0452
results_PMD_Best Practices_AvoidUsingHardCodedIP;-0.0449
results_PMD_Performance_UseIndexOfChar;-0.0447
results_PMD_Code Style_UnnecessaryFullyQualifiedName;-0.0447
results_PMD_Design_MutableStaticState;-0.0446
results_PMD_Multithreading_UnsynchronizedStaticFormatter;-0.0445
results_PMD_Design_AvoidThrowingNullPointerException;-0.0444
results_PMD_Best Practices_UseVarargs;-0.0444
results_PMD_Code Style_BooleanGetMethodName;-0.0443
results_PMD_Design_ExcessiveParameterList;-0.0441
results_PMD_Error Prone_ReturnFromFinallyBlock;-0.0438
results_PMD_Best Practices_PrimitiveWrapperInstantiation;-0.0435
results_PMD_Error Prone_AssignmentToNonFinalStatic;-0.0432
results_PMD_Design_FinalFieldCouldBeStatic;-0.0429
results_PMD_Error Prone_JumbledIncrementer;-0.0429
results_PMD_Multithreading_DontCallThreadRun;-0.0428
results_PMD_Best Practices_JUnitUseExpected;-0.0423
results_PMD_Design_DoNotExtendJavaLangError;-0.0422
results_PMD_Code Style_PackageCase;-0.0421
results_PMD_Error Prone_EqualsNull;-0.0418
results_PMD_Best Practices_ReplaceEnumerationWithIterator;-0.0418
results_PMD_Error Prone_UseCorrectExceptionLogging;-0.0413
results_PMD_Best Practices_AbstractClassWithoutAbstractMethod;-0.0413
results_PMD_Error Prone_SuspiciousEqualsMethodName;-0.0413
results_PMD_Code Style_UselessParentheses;-0.0413
results_PMD_Error Prone_ProperCloneImplementation;-0.0411
results_PMD_Performance_RedundantFieldInitializer;-0.0407
results_PMD_Best Practices_ReplaceHashtableWithMap;-0.0407
results_PMD_Code Style_ForLoopShouldBeWhileLoop;-0.0405
results_PMD_Best Practices_GuardLogStatement;-0.0404
results_PMD_Error Prone_UselessOperationOnImmutable;-0.0399
results_PMD_Performance_UseArrayListInsteadOfVector;-0.0398
results_PMD_Design_TooManyFields;-0.0397
results_PMD_Error Prone_CloneMethodMustBePublic;-0.0396
results_PMD_Code Style_FinalParameterInAbstractMethod;-0.0394
results_PMD_Best Practices_JUnit4TestShouldUseAfterAnnotation;-0.0393
results_PMD_Design_UseUtilityClass;-0.0389
results_PMD_Error Prone_AssignmentInOperand;-0.0387
results_PMD_Best Practices_ArrayIsStoredDirectly;-0.0387
results_PMD_Best Practices_CheckResultSet;-0.0386
results_PMD_Design_SimplifyConditional;-0.0383
results_PMD_Error Prone_NonStaticInitializer;-0.0379
results_PMD_Error Prone_MissingStaticMethodInNonInstantiatableClass;-0.0378
results_PMD_Code Style_FieldDeclarationsShouldBeAtStartOfClass;-0.0378
results_PMD_Design_CouplingBetweenObjects;-0.0377
results_PMD_Performance_UselessStringValueOf;-0.0376
results_PMD_Code Style_AvoidDollarSigns;-0.0374
results_PMD_Design_ExcessiveMethodLength;-0.0367
results_PMD_Error Prone_ReturnEmptyCollectionRatherThanNull;-0.0363
results_PMD_Best Practices_UnusedPrivateField;-0.0360
results_PMD_Best Practices_AvoidMessageDigestField;-0.0358
results_PMD_Error Prone_OverrideBothEqualsAndHashcode;-0.0357
results_PMD_Error Prone_FinalizeShouldBeProtected;-0.0356
results_PMD_Design_AvoidRethrowingException;-0.0354
results_PMD_Error Prone_CloseResource;-0.0352
results_PMD_Best Practices_JUnitAssertionsShouldIncludeMessage;-0.0352
results_PMD_Best Practices_JUnit4SuitesShouldUseSuiteAnnotation;-0.0352
results_PMD_Best Practices_DefaultLabelNotLastInSwitchStmt;-0.0350
results_PMD_Design_SimplifyBooleanExpressions;-0.0346
results_PMD_Best Practices_AvoidPrintStackTrace;-0.0342
results_PMD_Performance_InefficientEmptyStringCheck;-0.0342
results_PMD_Performance_UseStringBufferForStringAppends;-0.0340
results_PMD_Best Practices_UseTryWithResources;-0.0337
results_PMD_Error Prone_AvoidFieldNameMatchingMethodName;-0.0334
results_PMD_Code Style_AvoidProtectedMethodInFinalClassNotExtending;-0.0334
results_PMD_Best Practices_UnusedPrivateMethod;-0.0333
results_PMD_Code Style_ConfusingTernary;-0.0331
results_PMD_Error Prone_SimpleDateFormatNeedsLocale;-0.0330
results_PMD_Error Prone_EmptyInitializer;-0.0329
results_PMD_Error Prone_UseLocaleWithCaseConversions;-0.0323
results_PMD_Error Prone_UnnecessaryBooleanAssertion;-0.0321
results_PMD_Code Style_AvoidUsingNativeCode;-0.0313
results_PMD_Design_NcssCount;-0.0311
results_PMD_Performance_AvoidArrayLoops;-0.0311
results_PMD_Design_CognitiveComplexity;-0.0310
results_PMD_Design_ExcessiveImports;-0.0309
results_PMD_Best Practices_JUnitTestContainsTooManyAsserts;-0.0306
results_PMD_Error Prone_EmptyStatementBlock;-0.0306
results_PMD_Performance_InefficientStringBuffering;-0.0306
results_PMD_Best Practices_ForLoopVariableCount;-0.0298
results_PMD_Error Prone_AvoidInstanceofChecksInCatchClause;-0.0298
results_PMD_Code Style_LocalVariableCouldBeFinal;-0.0296
results_PMD_Error Prone_AvoidCatchingThrowable;-0.0293
results_PMD_Error Prone_CallSuperFirst;-0.0292
results_PMD_Error Prone_DoNotExtendJavaLangThrowable;-0.0288
results_PMD_Error Prone_UnusedNullCheckInEquals;-0.0283
results_PMD_Error Prone_AvoidUsingOctalValues;-0.0283
results_PMD_Design_ExcessiveClassLength;-0.0280
results_PMD_Code Style_LinguisticNaming;-0.0279
results_PMD_Best Practices_MethodReturnsInternalArray;-0.0278
results_PMD_Design_SimplifyBooleanReturns;-0.0277
results_PMD_Code Style_UnnecessaryReturn;-0.0276
results_PMD_Error Prone_CheckSkipResult;-0.0273
results_PMD_Code Style_UselessQualifiedThis;-0.0269
results_PMD_Code Style_CommentDefaultAccessModifier;-0.0263
results_PMD_Design_SingularField;-0.0263
results_PMD_Error Prone_AvoidLiteralsInIfCondition;-0.0262
results_PMD_Best Practices_AvoidStringBufferField;-0.0258
results_PMD_Error Prone_ImplicitSwitchFallThrough;-0.0257
results_PMD_Error Prone_SingletonClassReturningNewInstance;-0.0256
results_PMD_Design_SwitchDensity;-0.0255
results_PMD_Code Style_UnnecessaryLocalBeforeReturn;-0.0252
results_PMD_Error Prone_SingleMethodSingleton;-0.0250
results_PMD_Best Practices_LiteralsFirstInComparisons;-0.0246
results_PMD_Code Style_UnnecessaryCast;-0.0246
results_PMD_Error Prone_AvoidDuplicateLiterals;-0.0245
results_PMD_Error Prone_FinalizeDoesNotCallSuperFinalize;-0.0245
results_PMD_Design_UseObjectForClearerAPI;-0.0242
results_PMD_Design_AvoidDeeplyNestedIfStmts;-0.0240
results_PMD_Code Style_UnnecessaryConstructor;-0.0236
results_PMD_Design_LawOfDemeter;-0.0235
results_PMD_Code Style_UnnecessaryImport;-0.0235
results_PMD_Design_ImmutableField;-0.0233
results_PMD_Error Prone_BrokenNullCheck;-0.0233
results_PMD_Error Prone_AvoidFieldNameMatchingTypeName;-0.0232
results_PMD_Error Prone_TestClassWithoutTestCases;-0.0230
results_PMD_Error Prone_EmptyFinallyBlock;-0.0228
results_PMD_Error Prone_EmptyWhileStmt;-0.0226
results_PMD_Error Prone_SuspiciousOctalEscape;-0.0223
results_PMD_Error Prone_AvoidMultipleUnaryOperators;-0.0222
results_PMD_Error Prone_InstantiationToGetClass;-0.0222
results_PMD_Performance_InsufficientStringBufferDeclaration;-0.0221
results_PMD_Error Prone_UnnecessaryCaseChange;-0.0218
results_PMD_Code Style_LongVariable;-0.0217
results_PMD_Error Prone_DoNotThrowExceptionInFinally;-0.0216
results_PMD_Performance_AvoidCalendarDateCreation;-0.0214
results_PMD_Error Prone_DoNotCallGarbageCollectionExplicitly;-0.0214
results_PMD_Error Prone_DontUseFloatTypeForLoopIndices;-0.0207
results_PMD_Design_SignatureDeclareThrowsException;-0.0204
results_PMD_Best Practices_WhileLoopWithLiteralBoolean;-0.0204
results_PMD_Documentation_CommentRequired;-0.0202
results_PMD_Performance_StringInstantiation;-0.0201
results_PMD_Performance_StringToString;-0.0200
results_PMD_Code Style_UseUnderscoresInNumericLiterals;-0.0200
results_PMD_Best Practices_UseCollectionIsEmpty;-0.0200
results_PMD_Performance_AddEmptyString;-0.0199
results_PMD_Performance_ConsecutiveAppendsShouldReuse;-0.0196
results_PMD_Error Prone_ClassCastExceptionWithToArray;-0.0194
results_PMD_Error Prone_CallSuperLast;-0.0194
results_PMD_Best Practices_ReplaceVectorWithList;-0.0191
results_PMD_Code Style_UseShortArrayInitializer;-0.0188
results_PMD_Error Prone_MoreThanOneLogger;-0.0185
results_PMD_Design_SimplifiedTernary;-0.0184
results_PMD_Best Practices_JUnitTestsShouldIncludeAssert;-0.0182
results_PMD_Best Practices_LooseCoupling;-0.0180
results_PMD_Best Practices_SystemPrintln;-0.0178
results_PMD_Error Prone_AvoidCatchingNPE;-0.0170
results_PMD_Design_AvoidThrowingNewInstanceOfSameException;-0.0170
results_PMD_Multithreading_DoubleCheckedLocking;-0.0169
results_PMD_Code Style_FieldNamingConventions;-0.0164
results_PMD_Error Prone_NullAssignment;-0.0162
results_PMD_Design_AvoidCatchingGenericException;-0.0161
results_PMD_Code Style_MethodNamingConventions;-0.0160
results_PMD_Error Prone_ProperLogger;-0.0160
results_PMD_Multithreading_AvoidThreadGroup;-0.0155
results_PMD_Code Style_ControlStatementBraces;-0.0151
results_PMD_Code Style_ClassNamingConventions;-0.0148
results_PMD_Error Prone_UseEqualsToCompareStrings;-0.0135
results_PMD_Best Practices_AvoidReassigningParameters;-0.0131
results_PMD_Multithreading_AvoidSynchronizedAtMethodLevel;-0.0130
results_PMD_Code Style_CallSuperInConstructor;-0.0130
results_PMD_Performance_AvoidFileStream;-0.0119
results_PMD_Best Practices_SimplifiableTestAssertion;-0.0118
results_PMD_Best Practices_DoubleBraceInitialization;-0.0110
results_PMD_Best Practices_OneDeclarationPerLine;-0.0105
results_PMD_Code Style_OnlyOneReturn;-0.0105
results_PMD_Design_AbstractClassWithoutAnyMethod;-0.0095
results_PMD_Code Style_GenericsNaming;-0.0088
results_PMD_Best Practices_AvoidReassigningCatchVariables;-0.0088
results_PMD_Performance_TooFewBranchesForASwitchStatement;-0.0081
results_PMD_Code Style_ShortClassName;-0.0066
results_PMD_Error Prone_NonCaseLabelInSwitchStatement;-0.0058
results_PMD_Code Style_EmptyMethodInAbstractClassShouldBeAbstract;-0.0041
results_PMD_Multithreading_AvoidUsingVolatile;-0.0035
results_PMD_Design_CollapsibleIfStatements;-0.0032
results_PMD_Code Style_AtLeastOneConstructor;-0.0029
results_PMD_Error Prone_EmptySynchronizedBlock;-0.0027
results_PMD_Code Style_ShortVariable;-0.0018
results_PMD_Design_CyclomaticComplexity;-0.0016
results_PMD_Error Prone_BeanMembersShouldSerialize;-0.0004
results_PMD_Documentation_UncommentedEmptyMethodBody;0.0004
results_PMD_Best Practices_MissingOverride;0.0012
results_PMD_Multithreading_DoNotUseThreads;0.0013
results_PMD_Multithreading_UseConcurrentHashMap;0.0025
results_PMD_Performance_AppendCharacterWithChar;0.0026
results_PMD_Code Style_MethodArgumentCouldBeFinal;0.0033
results_PMD_Best Practices_UseStandardCharsets;0.0035
results_PMD_Error Prone_AvoidBranchingStatementAsLastInLoop;0.0036
results_PMD_Error Prone_EmptyCatchBlock;0.0037
results_PMD_Design_AvoidThrowingRawExceptionTypes;0.0071
results_PMD_Error Prone_AvoidDecimalLiteralsInBigDecimalConstructor;0.0075
results_PMD_Error Prone_InvalidLogMessageFormat;0.0079
results_PMD_Error Prone_ComparisonWithNaN;0.0108
results_PMD_Code Style_NoPackage;0.0199
results_PMD_Best Practices_ConstantsInInterface;0.0202
results_PMD_Documentation_UncommentedEmptyConstructor;0.0268
results_PMD_Code Style_UseDiamondOperator;0.0289
