Predicted,Actual
182741.9200,246011.0000
1104862.2050,2005115.0000
34374.1512,21208.0000
1803254.3898,13478.0000
14112629.1550,518412.0000
4320429.2400,21.0000
541389.9115,513924.0000
13084626.4557,94105.0000
365952.1169,7.0000
1194848.3859,19947359.0000
753866.8650,265606.0000
169389.0223,621.0000
448401.5207,425301.0000
396028.0600,172085.0000
1894850.9600,4356722.0000
328960.4300,427.0000
1194848.3859,206653.0000
375070.3089,27.0000
2695855.6900,520.0000
157729.5225,8481.0000
1194848.3859,58952.0000
843446.4901,30077.0000
1154848.7550,306066.0000
1194848.3859,51617.0000
400003.1700,623353.0000
523830.6515,9308.0000
9205998.0400,142504.0000
738221.5199,4320.0000
172464.1654,754.0000
18800815.0600,6660.0000
1544734.3680,55038.0000
453527.3033,8.0000
619300.1200,673430.0000
1194848.3859,63497.0000
8023602.6753,349391.0000
315137.4801,14083.0000
1194848.3859,41437.0000
398831.8000,206437.0000
571704.8275,1190.0000
11243408.9600,231155.0000
1681165.7000,2397.0000
14385345.9200,15524814.0000
1194848.3859,89.0000
469198.5625,810.0000
272827.2867,29704.0000
287875.8900,1384271.0000
5579119.0000,875865.0000
1089046.2111,2284834.0000
142816.2217,37180.0000
3283661.6308,38913.0000
1194848.3859,718.0000
11484706.0700,65295.0000
365975.1317,777.0000
3034023.2049,725571.0000
1194848.3859,78.0000
204177.5650,3713354.0000
1194848.3859,82960.0000
224570.7238,48.0000
2246545.3833,237088.0000
815207.3989,63286.0000
1194848.3859,2803.0000
1194848.3859,31.0000
731378.1143,92923.0000
1194848.3859,80665.0000
686154.3583,588172.0000
5289193.4167,413078.0000
887243.5945,506.0000
611396.3095,601995.0000
3586090.9460,772070.0000
258746.8136,634.0000
1194848.3859,452541.0000
2300678.5967,794.0000
1855522.4167,4905.0000
3808243.3667,418343.0000
1194848.3859,199078.0000
1194848.3859,512690.0000
360496.8848,18519.0000
3386507.6967,1850759.0000
922112.2031,78.0000
1194848.3859,390895.0000
1194848.3859,16256.0000
2191448.6000,137001.0000
7728109.0840,168528.0000
397660.2492,6334.0000
4749381.6983,2898574.0000
237861.7710,8.0000
263604.5033,55216.0000
341713.2402,559855.0000
14116.6838,33261703.0000
2450200.4920,43965.0000
518082.2967,873084.0000
1594547.1120,101370.0000
712620.1800,88.0000
571704.8275,131597.0000
1285700.2800,2490079.0000
952171.4000,19698612.0000
872828.1028,34146.0000
757390.7650,1209595.0000
2112406.1307,10653981.0000
13084626.4557,32106.0000
1194848.3859,8345.0000
494684.9515,237238.0000
9174070.9350,2042271.0000
639428.4658,439220.0000
392242.1950,280.0000
828224.8115,5.0000
4708398.9775,3513.0000
540543.6954,235.0000
1194848.3859,59.0000
3083914.5280,336193.0000
5431825.6350,833175.0000
1108565.2600,998.0000
3504233.9100,637100.0000
666753.4333,48867.0000
1850412.4267,4828.0000
1137623.1250,475.0000
2420468.7400,8251856.0000
979224.3307,314.0000
944459.4817,179260.0000
482805.2800,245888.0000
1525066.8167,2744562.0000
508544.2646,8355.0000
1188866.0500,892.0000
1922916.7280,5.0000
1194848.3859,39.0000
766555.8146,64525.0000
1188920.1200,576.0000
3380881.1669,38995.0000
1194848.3859,3701.0000
756274.6680,604958.0000
15056714.0033,277932.0000
455655.0730,3885770.0000
828224.8115,1740344.0000
1585208.3517,5056.0000
215697.7200,360497.0000
386124.8652,4120433.0000
1194848.3859,11890.0000
193172.4788,585.0000
