Predicted,Actual
2214887.3368,246011.0000
1512322.5986,2005115.0000
1876280.1197,21208.0000
1876986.8935,13478.0000
-5414053.0832,518412.0000
-1335532.6416,21.0000
2982176.4946,513924.0000
1883404.5714,94105.0000
1957202.3464,7.0000
1904693.5011,19947359.0000
1895621.4085,265606.0000
1943946.1277,621.0000
2014233.0813,425301.0000
2796582.4834,172085.0000
-126135.8525,4356722.0000
1668758.8010,427.0000
1904693.5011,206653.0000
1907594.4286,27.0000
14718717.7336,520.0000
1211207.4022,8481.0000
1904693.5011,58952.0000
1717721.6466,30077.0000
1886781.6962,306066.0000
1904693.5011,51617.0000
2115333.0205,623353.0000
1956168.5155,9308.0000
782901.7247,142504.0000
1965299.0944,4320.0000
1844087.9078,754.0000
761792.6652,6660.0000
-1148366.4124,55038.0000
2387700.2240,8.0000
2110122.1477,673430.0000
1904693.5011,63497.0000
2211280.8444,349391.0000
1992625.2551,14083.0000
1904693.5011,41437.0000
2180874.0095,206437.0000
1896226.7281,1190.0000
21429411.6151,231155.0000
2141824.9198,2397.0000
9544038.2832,15524814.0000
1904693.5011,89.0000
1910013.2054,810.0000
1873738.2254,29704.0000
1985246.4753,1384271.0000
2092390.7171,875865.0000
2238575.5893,2284834.0000
1882384.8364,37180.0000
1456386.4462,38913.0000
1904693.5011,718.0000
1568622.8634,65295.0000
1925982.4308,777.0000
1982422.2768,725571.0000
1904693.5011,78.0000
2000874.9999,3713354.0000
1904693.5011,82960.0000
2058578.1183,48.0000
1560880.2404,237088.0000
2014910.4544,63286.0000
1904693.5011,2803.0000
1904693.5011,31.0000
1941511.9607,92923.0000
1904693.5011,80665.0000
1728552.0508,588172.0000
2309175.3539,413078.0000
2534125.6899,506.0000
1180081.2365,601995.0000
1059511.1267,772070.0000
2196819.3433,634.0000
1904693.5011,452541.0000
3520489.4064,794.0000
1695897.2230,4905.0000
1279238.6300,418343.0000
1904693.5011,199078.0000
1904693.5011,512690.0000
1901792.5735,18519.0000
4292340.2965,1850759.0000
1592367.0441,78.0000
1975339.6448,390895.0000
1904693.5011,16256.0000
6314285.7104,137001.0000
3877355.7023,168528.0000
1730012.0051,6334.0000
1416286.5820,2898574.0000
2239142.2675,8.0000
2042848.5400,55216.0000
2328032.1483,559855.0000
1992014.0529,33261703.0000
1124663.4946,43965.0000
1555148.9088,873084.0000
2747529.6407,101370.0000
1484866.2436,88.0000
1896226.7281,131597.0000
312187.5666,2490079.0000
1892152.6763,19698612.0000
1847516.4174,34146.0000
1851568.1570,1209595.0000
1929741.5837,10653981.0000
1883404.5714,32106.0000
1904693.5011,8345.0000
2067629.6175,237238.0000
1065253.2655,2042271.0000
1984917.7430,439220.0000
1597522.5360,280.0000
1922605.3059,5.0000
1753728.8461,3513.0000
1908550.9613,235.0000
1904693.5011,59.0000
1920689.5028,336193.0000
