Predicted,Actual
1902148.3311,246011.0000
1560967.3263,2005115.0000
2068858.2175,21208.0000
1785625.5235,13478.0000
167889.0242,518412.0000
1617594.9243,21.0000
5646104.3253,513924.0000
1820054.6709,94105.0000
1771455.6875,7.0000
1822739.7794,19947359.0000
-7065275.2767,265606.0000
1893031.0239,621.0000
1900843.7238,425301.0000
3114018.1733,172085.0000
-6665716.6969,4356722.0000
1312033.8491,427.0000
1822739.7794,206653.0000
1822346.4101,27.0000
8369568.2764,520.0000
-324691.6440,8481.0000
1822739.7794,58952.0000
1999205.9446,30077.0000
1809576.4344,306066.0000
1822739.7794,51617.0000
2382363.1407,623353.0000
1881698.2978,9308.0000
900336.8050,142504.0000
1868051.0594,4320.0000
1777428.4993,754.0000
1474629.5877,6660.0000
-1867284.3741,55038.0000
-80575.6640,8.0000
2609734.6266,673430.0000
1822739.7794,63497.0000
1817100.3403,349391.0000
1814095.7908,14083.0000
1822739.7794,41437.0000
2031376.5114,206437.0000
1809619.8178,1190.0000
11455348.8785,231155.0000
2940437.2382,2397.0000
10603157.1289,15524814.0000
1822739.7794,89.0000
1484019.3288,810.0000
1875213.2664,29704.0000
1873540.9635,1384271.0000
3495105.1304,875865.0000
1832356.4436,2284834.0000
1740795.5517,37180.0000
1240108.0163,38913.0000
1822739.7794,718.0000
1581413.2525,65295.0000
1825424.8879,777.0000
1381414.1539,725571.0000
1822739.7794,78.0000
1919284.8424,3713354.0000
1822739.7794,82960.0000
1249150.6620,48.0000
9086799.0210,237088.0000
1943066.3097,63286.0000
1822739.7794,2803.0000
1822739.7794,31.0000
1853630.9354,92923.0000
1822739.7794,80665.0000
1708463.1395,588172.0000
4412905.4444,413078.0000
2251876.2817,506.0000
-352721.6395,601995.0000
1945260.3417,772070.0000
1986771.3437,634.0000
1822739.7794,452541.0000
3567807.1871,794.0000
7456964.9602,4905.0000
894149.0416,418343.0000
1822739.7794,199078.0000
1822739.7794,512690.0000
1823133.1486,18519.0000
3774932.5717,1850759.0000
1703578.7074,78.0000
1813844.8061,390895.0000
1822739.7794,16256.0000
4858429.9729,137001.0000
7925641.6332,168528.0000
971561.4473,6334.0000
1301718.6378,2898574.0000
697334.8270,8.0000
1927407.4248,55216.0000
2478737.8580,559855.0000
1887524.0206,33261703.0000
1885516.2436,43965.0000
533874.4476,873084.0000
1607202.2096,101370.0000
1642079.8781,88.0000
1809619.8178,131597.0000
-1433598.2420,2490079.0000
1947150.3170,19698612.0000
1800232.3235,34146.0000
404222.2933,1209595.0000
1749147.9225,10653981.0000
1820054.6709,32106.0000
1822739.7794,8345.0000
1726928.6562,237238.0000
-2173189.5785,2042271.0000
1886628.9844,439220.0000
1657815.8274,280.0000
1835903.1244,5.0000
1710395.4720,3513.0000
1827950.3207,235.0000
1822739.7794,59.0000
1061928.2064,336193.0000
-3115519.9945,833175.0000
2898202.3078,998.0000
4716805.5028,637100.0000
1863957.6196,48867.0000
1572435.6391,4828.0000
1286597.5908,475.0000
3944650.5362,8251856.0000
2616517.6707,314.0000
1489407.8998,179260.0000
896269.8070,245888.0000
159106.5889,2744562.0000
1790836.0648,8355.0000
4932621.4147,892.0000
1862099.6641,5.0000
1822739.7794,39.0000
1834113.0520,64525.0000
1445768.6665,576.0000
1725103.7933,38995.0000
1822739.7794,3701.0000
721371.7969,604958.0000
300907.4058,277932.0000
1189225.3345,3885770.0000
1835903.1244,1740344.0000
3815318.8371,5056.0000
1629840.6994,360497.0000
1899748.9460,4120433.0000
1822739.7794,11890.0000
1807314.3082,585.0000
1654600.5264,238209.0000
1827950.3207,428050.0000
1770266.2923,14357.0000
1346616.0892,7082.0000
927615.9294,112070.0000
1796459.0701,32868.0000
1588054.3906,13545271.0000
1687878.1372,1360377.0000
1809576.4344,780779.0000
1894293.1112,207.0000
1704869.8538,30655962.0000
1822739.7794,520.0000
7096386.4254,3111237.0000
851514.7704,159719.0000
1685458.9618,1452237.0000
2647312.7131,504671.0000
-622371.3762,152724.0000
1849853.2078,152553.0000
6348868.8072,18.0000
1472151.0409,10762.0000
1213310.0942,29264.0000
1809576.4344,16390175.0000
2380591.6935,24827.0000
1286641.7811,10706455.0000
2141055.3708,409687.0000
1809183.0652,125913.0000
3927874.0966,1267114.0000
1822739.7794,6645335.0000
1667431.5065,2055502.0000
1861157.9901,4851.0000
1822739.7794,370.0000
934001.5115,3931706.0000
6288788.0977,1722.0000
4258941.9090,110405.0000
2064200.4322,5.0000
2509511.3610,10669.0000
1331619.0425,475.0000
1744835.5766,73771.0000
1869634.6516,29244.0000
4793397.3587,5797511.0000
1842079.9308,57075.0000
1636070.3688,269.0000
-7854662.4813,2245829.0000
1822739.7794,53983.0000
5364713.9254,8123053.0000
1763569.0032,1673.0000
1827950.3207,25779.0000
4019327.7297,469741.0000
1827950.3207,126438.0000
2102101.2678,1743149.0000
1814090.9091,7587476.0000
1661669.9732,642.0000
1790750.0030,87580.0000
1870763.3813,768353.0000
1743476.9121,1395.0000
202520.0176,2358965.0000
1822739.7794,499134.0000
1822739.7794,113227.0000
1822739.7794,1418675.0000
1674909.8488,52.0000
1840959.2272,439608.0000
1067590.7796,788429.0000
2615991.7371,30.0000
1401368.9266,7.0000
5983431.4668,380369.0000
1829523.7977,2152980.0000
4791653.7985,3019900.0000
1822739.7794,777.0000
2175756.9878,154007.0000
2150493.6811,1265245.0000
1822346.4101,1358935.0000
1937727.4793,12886411.0000
2357518.1564,4.0000
-1251471.2927,6484.0000
1809576.4344,10968596.0000
1916924.8906,10818.0000
276756.5671,134461.0000
1978320.3578,299653.0000
-1212479.6346,362194.0000
1822739.7794,572053.0000
-4841637.0262,742450.0000
963746.8737,23348.0000
1822739.7794,20947.0000
1097266.1522,618070.0000
2458925.6872,1243294.0000
963949.5588,1817.0000
3853575.8054,7677307.0000
1822739.7794,394.0000
1717615.7248,2093.0000
1839310.4744,656.0000
2766990.3972,159095.0000
842318.7019,203188.0000
1262406.3606,369.0000
-7825101.7488,3151274.0000
2303661.5113,72747.0000
1822739.7794,399899.0000
799448.1067,4830946.0000
1785625.5235,598.0000
1796440.5359,793.0000
5342755.2818,9691711.0000
2993660.5598,19.0000
1822739.7794,676.0000
1913253.9073,579082.0000
1848979.7025,148326.0000
1899334.0956,5.0000
2002481.6616,3673514.0000
1823526.5179,177578.0000
1710923.0502,1237203.0000
1900568.4779,71715.0000
1961149.6284,230260.0000
1789184.6420,981.0000
1823133.1486,42212.0000
1809619.8178,250176.0000
1822739.7794,30834.0000
2160066.6645,8161888.0000
-364903.2626,35601.0000
-2247460.4469,55872.0000
1822739.7794,2828088.0000
1941604.4164,958277.0000
1193983.4618,2580.0000
-55809.7019,20316.0000
1866518.8817,473038.0000
1090433.2861,930990.0000
1691540.1637,3038.0000
1839188.6871,6399.0000
4356014.0876,974.0000
1737008.7615,35290.0000
1822739.7794,7449.0000
-6068623.6836,155727.0000
2658455.8981,2418.0000
228135.2755,2629.0000
2628349.1391,3117116.0000
1823526.5179,496632.0000
2250097.9789,4448.0000
1803794.0950,4381.0000
6956852.1897,74659.0000
1436638.4046,227516.0000
1897772.7565,2023.0000
2637649.1634,293793.0000
3286082.9334,751768.0000
74312911.7035,71888987.0000
1052497.5669,60400702.0000
1957339.5517,1719706.0000
2700756.5475,509805.0000
1914494.3337,4482.0000
1232072.9983,21839.0000
1875213.2664,254827.0000
681213.2153,11045.0000
1595261.9334,4631369.0000
1870021.1916,1461.0000
2206785.3960,978.0000
1472793.2311,770621.0000
1822739.7794,3602478.0000
1049993.8206,17866793.0000
3155782.3950,148502.0000
6056244.9743,11258922.0000
150105.8157,172111396.0000
7728366.4341,2720642.0000
1835859.7410,1665.0000
1830607.1642,3129641.0000
-1819177.7874,521.0000
9159746.8059,13640341.0000
3610744.4009,441631.0000
1822739.7794,109210.0000
1822739.7794,1903.0000
1904717.7068,2149530.0000
-3373019.1699,13926.0000
1789884.2338,470409.0000
1362981.9889,70818.0000
1822739.7794,99215.0000
1555607.8303,653574.0000
1822739.7794,85761569.0000
17091805.4924,20113460.0000
1731583.4488,605880.0000
3292845.6295,61942.0000
1802275.3239,42804.0000
1827950.3207,523899.0000
1822739.7794,410168.0000
1988248.0536,34579.0000
10842976.5233,344998.0000
1005546.4403,24026407.0000
1771773.2132,205744.0000
120690121.6881,163323916.0000
2462549.3993,85955.0000
1280111.0697,4363.0000
929273.0886,334003.0000
1769893.1495,34202.0000
1645418.7236,11348.0000
2451689.0406,7122.0000
495161.3542,51554421.0000
1822739.7794,6826.0000
1961950.6970,5460293.0000
1822739.7794,3935.0000
586536.8840,3578.0000
486596.1599,1203.0000
1823526.5179,378082.0000
1867838.1464,4.0000
3685824.6717,281035.0000
2311196.5702,68796.0000
1712019.9689,64199.0000
22509729.0245,262841.0000
1681017.7942,20.0000
1032797.8799,17791782.0000
13191449.3389,86571.0000
572540.0343,6977.0000
