Issue,Importance
results_PMD_Code Style_OnlyOneReturn,0.02361756
results_PMD_Design_LawOfDemeter,0.00793209
results_PMD_Code Style_ConfusingTernary,0.00038728
results_PMD_Design_CyclomaticComplexity,-0.00047955
results_PMD_Documentation_CommentSize,0.00583455
results_PMD_Error Prone_EmptyCatchBlock,-0.00042881
results_PMD_Code Style_LongVariable,0.00053281
results_PMD_Documentation_CommentRequired,0.02070530
results_PMD_Code Style_ShortVariable,0.01092813
results_PMD_Code Style_LocalVariableCouldBeFinal,0.01362576
results_PMD_Error Prone_BeanMembersShouldSerialize,0.00055011
results_PMD_Multithreading_UseConcurrentHashMap,0.00063182
results_PMD_Design_CognitiveComplexity,0.00517102
results_PMD_Code Style_MethodArgumentCouldBeFinal,0.02652290
results_PMD_Error Prone_NullAssignment,-0.00045224
results_PMD_Error Prone_CloseResource,-0.00041524
results_PMD_Design_NPathComplexity,0.00002597
results_PMD_Code Style_FieldNamingConventions,-0.00036811
results_PMD_Code Style_UseUnderscoresInNumericLiterals,0.00075117
results_PMD_Design_GodClass,-0.00004591
results_PMD_Best Practices_UnusedAssignment,-0.00025278
results_PMD_Design_NcssCount,0.00153310
results_PMD_Performance_AvoidInstantiatingObjectsInLoops,0.01971983
results_PMD_Best Practices_GuardLogStatement,-0.00019145
results_PMD_Performance_AddEmptyString,-0.00049688
results_PMD_Design_AvoidCatchingGenericException,-0.00050640
results_PMD_Error Prone_ProperLogger,-0.00002160
results_PMD_Design_ExcessiveMethodLength,0.00098855
results_PMD_Code Style_CallSuperInConstructor,-0.00033163
results_PMD_Performance_OptimizableToArrayCall,0.00484470
results_PMD_Documentation_UncommentedEmptyConstructor,-0.00025596
results_PMD_Error Prone_AvoidCatchingThrowable,-0.00010932
results_PMD_Code Style_CommentDefaultAccessModifier,0.00315949
results_PMD_Design_CouplingBetweenObjects,0.00115195
results_PMD_Error Prone_ReturnEmptyCollectionRatherThanNull,0.00020688
results_PMD_Design_TooManyMethods,-0.00023641
results_PMD_Design_ExcessiveImports,0.00163994
results_PMD_Design_MutableStaticState,-0.00073845
results_PMD_Best Practices_DoubleBraceInitialization,0.00017863
results_PMD_Code Style_UseShortArrayInitializer,-0.00019525
results_PMD_Error Prone_AvoidDuplicateLiterals,0.00069188
results_PMD_Error Prone_EmptyIfStmt,0.00008150
results_PMD_Code Style_LinguisticNaming,-0.00001024
results_PMD_Best Practices_UseVarargs,-0.00047375
results_PMD_Code Style_UnnecessaryFullyQualifiedName,-0.00243671
results_PMD_Best Practices_JUnitTestContainsTooManyAsserts,0.00010669
results_PMD_Design_ImmutableField,0.00268438
results_PMD_Best Practices_JUnitTestsShouldIncludeAssert,-0.00020768
results_PMD_Best Practices_JUnitAssertionsShouldIncludeMessage,0.00128797
results_PMD_Best Practices_MethodReturnsInternalArray,-0.00001222
results_PMD_Code Style_UseDiamondOperator,0.00088438
results_PMD_Design_SignatureDeclareThrowsException,-0.00108419
results_PMD_Code Style_UnnecessaryImport,0.00119381
results_PMD_Code Style_AtLeastOneConstructor,-0.00063846
results_PMD_Best Practices_JUnit5TestShouldBePackagePrivate,-0.00004731
results_PMD_Error Prone_AssignmentInOperand,0.00027208
results_PMD_Performance_InsufficientStringBufferDeclaration,-0.00011731
results_PMD_Design_CollapsibleIfStatements,-0.00047658
results_PMD_Design_UseUtilityClass,0.00027698
results_PMD_Performance_AvoidFileStream,0.00013953
results_PMD_Best Practices_AvoidPrintStackTrace,0.00002066
results_PMD_Code Style_NoPackage,-0.00000970
results_PMD_Best Practices_UseTryWithResources,0.00053579
results_PMD_Best Practices_SystemPrintln,-0.00083203
results_PMD_Performance_RedundantFieldInitializer,0.00062743
results_PMD_Best Practices_AvoidReassigningParameters,0.00022253
results_PMD_Design_TooManyFields,-0.00035624
results_PMD_Error Prone_AvoidFieldNameMatchingMethodName,0.00028069
results_PMD_Design_ExcessivePublicCount,0.00116274
results_PMD_Best Practices_UnusedPrivateField,-0.00125219
results_PMD_Code Style_LocalVariableNamingConventions,0.00022795
results_PMD_Design_SingularField,-0.00060981
results_PMD_Code Style_TooManyStaticImports,0.00017116
results_PMD_Code Style_MethodNamingConventions,0.00056583
results_PMD_Error Prone_EqualsNull,0.00000000
results_PMD_Error Prone_AvoidLiteralsInIfCondition,0.00133509
results_PMD_Code Style_PrematureDeclaration,0.00030318
results_PMD_Code Style_UselessParentheses,0.00083770
results_PMD_Design_ExcessiveClassLength,-0.00008014
