Issue,Importance
results_PMD_Code Style_OnlyOneReturn,0.00000000
results_PMD_Design_LawOfDemeter,-0.01120877
results_PMD_Code Style_ConfusingTernary,0.00000000
results_PMD_Design_CyclomaticComplexity,0.00000000
results_PMD_Documentation_CommentSize,0.00012571
results_PMD_Error Prone_EmptyCatchBlock,0.00000000
results_PMD_Code Style_LongVariable,0.00000000
results_PMD_Documentation_CommentRequired,-0.00348536
results_PMD_Code Style_ShortVariable,0.00000000
results_PMD_Code Style_LocalVariableCouldBeFinal,-0.00039051
results_PMD_Error Prone_BeanMembersShouldSerialize,0.00662891
results_PMD_Multithreading_UseConcurrentHashMap,0.00000000
results_PMD_Design_CognitiveComplexity,0.00000000
results_PMD_Code Style_MethodArgumentCouldBeFinal,-0.00086610
results_PMD_Error Prone_NullAssignment,0.00000000
results_PMD_Error Prone_CloseResource,0.00000000
results_PMD_Design_NPathComplexity,0.00000000
results_PMD_Code Style_FieldNamingConventions,0.00000000
results_PMD_Code Style_UseUnderscoresInNumericLiterals,0.00000000
results_PMD_Design_GodClass,0.00000000
results_PMD_Best Practices_UnusedAssignment,0.00000000
results_PMD_Design_NcssCount,0.00000000
results_PMD_Performance_AvoidInstantiatingObjectsInLoops,-0.00624232
results_PMD_Best Practices_GuardLogStatement,0.00000000
results_PMD_Performance_AddEmptyString,0.00000000
results_PMD_Design_AvoidCatchingGenericException,0.00000000
results_PMD_Error Prone_ProperLogger,0.00000000
results_PMD_Design_ExcessiveMethodLength,0.00000000
results_PMD_Code Style_CallSuperInConstructor,0.00000000
results_PMD_Performance_OptimizableToArrayCall,-0.00043298
results_PMD_Documentation_UncommentedEmptyConstructor,0.00000000
results_PMD_Error Prone_AvoidCatchingThrowable,0.00000000
results_PMD_Code Style_CommentDefaultAccessModifier,0.00000000
results_PMD_Design_CouplingBetweenObjects,0.00000000
results_PMD_Error Prone_ReturnEmptyCollectionRatherThanNull,0.00000000
results_PMD_Design_TooManyMethods,0.00000000
results_PMD_Design_ExcessiveImports,0.00000000
results_PMD_Design_MutableStaticState,0.00000000
results_PMD_Best Practices_DoubleBraceInitialization,0.00000000
results_PMD_Code Style_UseShortArrayInitializer,0.00000000
results_PMD_Error Prone_AvoidDuplicateLiterals,0.00000000
results_PMD_Error Prone_EmptyIfStmt,0.00000000
results_PMD_Code Style_LinguisticNaming,0.00000000
results_PMD_Best Practices_UseVarargs,0.00000000
results_PMD_Code Style_UnnecessaryFullyQualifiedName,-0.00955268
results_PMD_Best Practices_JUnitTestContainsTooManyAsserts,0.00000000
results_PMD_Design_ImmutableField,0.00000000
results_PMD_Best Practices_JUnitTestsShouldIncludeAssert,0.00000000
results_PMD_Best Practices_JUnitAssertionsShouldIncludeMessage,0.00000000
results_PMD_Best Practices_MethodReturnsInternalArray,0.00000000
results_PMD_Code Style_UseDiamondOperator,0.00000000
results_PMD_Design_SignatureDeclareThrowsException,0.00000000
results_PMD_Code Style_UnnecessaryImport,0.00000000
results_PMD_Code Style_AtLeastOneConstructor,-0.00606424
results_PMD_Best Practices_JUnit5TestShouldBePackagePrivate,0.00000000
results_PMD_Error Prone_AssignmentInOperand,0.00000000
results_PMD_Performance_InsufficientStringBufferDeclaration,0.00000000
results_PMD_Design_CollapsibleIfStatements,0.00000000
results_PMD_Design_UseUtilityClass,0.00000000
results_PMD_Performance_AvoidFileStream,0.00000000
results_PMD_Best Practices_AvoidPrintStackTrace,-0.00087343
results_PMD_Code Style_NoPackage,0.00000000
results_PMD_Best Practices_UseTryWithResources,0.00000000
results_PMD_Best Practices_SystemPrintln,0.00000000
results_PMD_Performance_RedundantFieldInitializer,0.00000000
results_PMD_Best Practices_AvoidReassigningParameters,0.00000000
results_PMD_Design_TooManyFields,0.00000000
results_PMD_Error Prone_AvoidFieldNameMatchingMethodName,0.00000000
results_PMD_Design_ExcessivePublicCount,0.00000000
results_PMD_Best Practices_UnusedPrivateField,0.00000000
results_PMD_Code Style_LocalVariableNamingConventions,0.00000000
results_PMD_Design_SingularField,0.00000000
results_PMD_Code Style_TooManyStaticImports,0.00000000
results_PMD_Code Style_MethodNamingConventions,0.00000000
results_PMD_Error Prone_EqualsNull,0.00000000
results_PMD_Error Prone_AvoidLiteralsInIfCondition,0.00000000
results_PMD_Code Style_PrematureDeclaration,-0.00309553
results_PMD_Code Style_UselessParentheses,0.00000000
results_PMD_Design_ExcessiveClassLength,0.00000000
results_PMD_Code Style_GenericsNaming,0.00000000
results_PMD_Design_ClassWithOnlyPrivateConstructorsShouldBeFinal,0.00000000
results_PMD_Error Prone_UseLocaleWithCaseConversions,0.00000000
results_PMD_Error Prone_EmptyInitializer,0.00000000
results_PMD_Performance_ConsecutiveLiteralAppends,0.00000000
results_PMD_Multithreading_AvoidSynchronizedAtMethodLevel,-0.00241624
