Predicted,Actual
5954687.3476,246011.0000
5954687.3476,2005115.0000
1807988.3110,21208.0000
5954687.3476,13478.0000
5954687.3476,518412.0000
5954687.3476,21.0000
5954687.3476,513924.0000
5954687.3476,94105.0000
5954687.3476,7.0000
5954687.3476,19947359.0000
1807988.3110,265606.0000
5954687.3476,621.0000
5954687.3476,425301.0000
1807988.3110,172085.0000
1807988.3110,4356722.0000
5954687.3476,427.0000
5954687.3476,206653.0000
5954687.3476,27.0000
1807988.3110,520.0000
5954687.3476,8481.0000
5954687.3476,58952.0000
5954687.3476,30077.0000
1807988.3110,306066.0000
5954687.3476,51617.0000
5954687.3476,623353.0000
5954687.3476,9308.0000
1807988.3110,142504.0000
5954687.3476,4320.0000
5954687.3476,754.0000
5954687.3476,6660.0000
5954687.3476,55038.0000
15650731.7189,8.0000
5954687.3476,673430.0000
5954687.3476,63497.0000
5954687.3476,349391.0000
5954687.3476,14083.0000
5954687.3476,41437.0000
5954687.3476,206437.0000
5954687.3476,1190.0000
15650731.7189,231155.0000
5954687.3476,2397.0000
8540959.0261,15524814.0000
5954687.3476,89.0000
5954687.3476,810.0000
5954687.3476,29704.0000
5954687.3476,1384271.0000
5954687.3476,875865.0000
5954687.3476,2284834.0000
5954687.3476,37180.0000
1807988.3110,38913.0000
5954687.3476,718.0000
5954687.3476,65295.0000
5954687.3476,777.0000
5954687.3476,725571.0000
5954687.3476,78.0000
5954687.3476,3713354.0000
5954687.3476,82960.0000
1807988.3110,48.0000
8540959.0261,237088.0000
5954687.3476,63286.0000
5954687.3476,2803.0000
5954687.3476,31.0000
5954687.3476,92923.0000
5954687.3476,80665.0000
5954687.3476,588172.0000
5954687.3476,413078.0000
16434305.8767,506.0000
5954687.3476,601995.0000
5954687.3476,772070.0000
1807988.3110,634.0000
5954687.3476,452541.0000
1807988.3110,794.0000
1807988.3110,4905.0000
1807988.3110,418343.0000
5954687.3476,199078.0000
5954687.3476,512690.0000
5954687.3476,18519.0000
5954687.3476,1850759.0000
5954687.3476,78.0000
5954687.3476,390895.0000
5954687.3476,16256.0000
1807988.3110,137001.0000
1807988.3110,168528.0000
5954687.3476,6334.0000
5954687.3476,2898574.0000
5954687.3476,8.0000
5954687.3476,55216.0000
5954687.3476,559855.0000
5954687.3476,33261703.0000
5954687.3476,43965.0000
5954687.3476,873084.0000
1807988.3110,101370.0000
5954687.3476,88.0000
5954687.3476,131597.0000
1807988.3110,2490079.0000
5954687.3476,19698612.0000
5954687.3476,34146.0000
1807988.3110,1209595.0000
5954687.3476,10653981.0000
5954687.3476,32106.0000
5954687.3476,8345.0000
5954687.3476,237238.0000
1807988.3110,2042271.0000
5954687.3476,439220.0000
