Issue,Importance
results_PMD_Code Style_OnlyOneReturn,-0.19954891
results_PMD_Design_LawOfDemeter,-0.49374586
results_PMD_Code Style_ConfusingTernary,0.14456163
results_PMD_Design_CyclomaticComplexity,-0.05324421
results_PMD_Documentation_CommentSize,0.17750548
results_PMD_Error Prone_EmptyCatchBlock,0.10283558
results_PMD_Code Style_LongVariable,-0.02317686
results_PMD_Documentation_CommentRequired,0.80916844
results_PMD_Code Style_ShortVariable,-0.49373505
results_PMD_Code Style_LocalVariableCouldBeFinal,2.53002543
results_PMD_Error Prone_BeanMembersShouldSerialize,-0.50406763
results_PMD_Multithreading_UseConcurrentHashMap,-0.02770309
results_PMD_Design_CognitiveComplexity,0.20960667
results_PMD_Code Style_MethodArgumentCouldBeFinal,1.03958452
results_PMD_Error Prone_NullAssignment,0.11686652
results_PMD_Error Prone_CloseResource,-0.00220075
results_PMD_Design_NPathComplexity,-0.02701576
results_PMD_Code Style_FieldNamingConventions,0.00315877
results_PMD_Code Style_UseUnderscoresInNumericLiterals,-0.01814551
results_PMD_Design_GodClass,0.02070021
results_PMD_Best Practices_UnusedAssignment,0.00157568
results_PMD_Design_NcssCount,0.02596630
results_PMD_Performance_AvoidInstantiatingObjectsInLoops,4.97858605
results_PMD_Best Practices_GuardLogStatement,-0.00052861
results_PMD_Performance_AddEmptyString,-0.04390210
results_PMD_Design_AvoidCatchingGenericException,0.02972970
results_PMD_Error Prone_ProperLogger,-0.00000033
results_PMD_Design_ExcessiveMethodLength,0.01842476
results_PMD_Code Style_CallSuperInConstructor,0.30257733
results_PMD_Performance_OptimizableToArrayCall,-0.00001682
results_PMD_Documentation_UncommentedEmptyConstructor,-0.00390902
results_PMD_Error Prone_AvoidCatchingThrowable,-0.31140959
results_PMD_Code Style_CommentDefaultAccessModifier,1.24654042
results_PMD_Design_CouplingBetweenObjects,-0.00036022
results_PMD_Error Prone_ReturnEmptyCollectionRatherThanNull,0.04103931
results_PMD_Design_TooManyMethods,-0.02006061
results_PMD_Design_ExcessiveImports,-0.00080549
results_PMD_Design_MutableStaticState,0.02588400
results_PMD_Best Practices_DoubleBraceInitialization,0.00017108
results_PMD_Code Style_UseShortArrayInitializer,0.00028669
results_PMD_Error Prone_AvoidDuplicateLiterals,-0.15271674
results_PMD_Error Prone_EmptyIfStmt,0.00026717
results_PMD_Code Style_LinguisticNaming,0.09519589
results_PMD_Best Practices_UseVarargs,-0.00055111
results_PMD_Code Style_UnnecessaryFullyQualifiedName,-0.02225618
results_PMD_Best Practices_JUnitTestContainsTooManyAsserts,-0.34392403
results_PMD_Design_ImmutableField,0.00778252
results_PMD_Best Practices_JUnitTestsShouldIncludeAssert,1.70339677
results_PMD_Best Practices_JUnitAssertionsShouldIncludeMessage,0.10673508
results_PMD_Best Practices_MethodReturnsInternalArray,0.00023170
results_PMD_Code Style_UseDiamondOperator,1.03566124
results_PMD_Design_SignatureDeclareThrowsException,-0.22359284
results_PMD_Code Style_UnnecessaryImport,-0.25901666
results_PMD_Code Style_AtLeastOneConstructor,0.34498065
results_PMD_Best Practices_JUnit5TestShouldBePackagePrivate,-0.04385917
results_PMD_Error Prone_AssignmentInOperand,0.01212200
results_PMD_Performance_InsufficientStringBufferDeclaration,-0.00091686
results_PMD_Design_CollapsibleIfStatements,0.00551243
results_PMD_Design_UseUtilityClass,0.00879898
results_PMD_Performance_AvoidFileStream,0.02152774
results_PMD_Best Practices_AvoidPrintStackTrace,-0.01119854
results_PMD_Code Style_NoPackage,0.00001939
results_PMD_Best Practices_UseTryWithResources,0.01193651
results_PMD_Best Practices_SystemPrintln,0.01688653
results_PMD_Performance_RedundantFieldInitializer,0.00468346
results_PMD_Best Practices_AvoidReassigningParameters,0.04695023
results_PMD_Design_TooManyFields,-0.00200682
results_PMD_Error Prone_AvoidFieldNameMatchingMethodName,-0.07770376
results_PMD_Design_ExcessivePublicCount,-0.01490538
results_PMD_Best Practices_UnusedPrivateField,-0.00054240
results_PMD_Code Style_LocalVariableNamingConventions,0.00007699
results_PMD_Design_SingularField,0.00134035
results_PMD_Code Style_TooManyStaticImports,-0.00022197
results_PMD_Code Style_MethodNamingConventions,-0.00063887
results_PMD_Error Prone_EqualsNull,-0.00000016
results_PMD_Error Prone_AvoidLiteralsInIfCondition,0.16033346
results_PMD_Code Style_PrematureDeclaration,-0.01651322
results_PMD_Code Style_UselessParentheses,-0.00012618
results_PMD_Design_ExcessiveClassLength,0.00519000
results_PMD_Code Style_GenericsNaming,0.00005783
results_PMD_Design_ClassWithOnlyPrivateConstructorsShouldBeFinal,-0.00013569
results_PMD_Error Prone_UseLocaleWithCaseConversions,0.00765482
results_PMD_Error Prone_EmptyInitializer,0.00000045
results_PMD_Performance_ConsecutiveLiteralAppends,-0.00036044
results_PMD_Multithreading_AvoidSynchronizedAtMethodLevel,0.00521525
results_PMD_Design_AvoidThrowingRawExceptionTypes,0.33806672
results_PMD_Performance_ConsecutiveAppendsShouldReuse,0.00028922
results_PMD_Best Practices_PreserveStackTrace,-0.00039412
results_PMD_Multithreading_DoNotUseThreads,0.06937236
results_PMD_Best Practices_ForLoopCanBeForeach,0.00061406
results_PMD_Documentation_UncommentedEmptyMethodBody,0.11305163
results_PMD_Code Style_UnnecessaryConstructor,-0.00025233
results_PMD_Best Practices_LooseCoupling,0.00466229
results_PMD_Performance_InefficientEmptyStringCheck,0.00007661
results_PMD_Performance_AppendCharacterWithChar,-0.01223557
results_PMD_Error Prone_UseProperClassLoader,-0.00007535
results_PMD_Error Prone_CompareObjectsWithEquals,-0.00067018
results_PMD_Code Style_ControlStatementBraces,0.01638100
results_PMD_Error Prone_EmptyWhileStmt,0.00646874
results_PMD_Design_ExceptionAsFlowControl,0.00048311
results_PMD_Error Prone_UseCorrectExceptionLogging,0.00000013
results_PMD_Design_AvoidRethrowingException,-0.00008638
results_PMD_Error Prone_AvoidAccessibilityAlteration,0.00011071
results_PMD_Documentation_CommentContent,0.00000000
results_PMD_Code Style_FieldDeclarationsShouldBeAtStartOfClass,-0.01634659
results_PMD_Best Practices_ForLoopVariableCount,-0.00015586
results_PMD_Design_AvoidDeeplyNestedIfStmts,-0.19938914
results_PMD_Code Style_ShortClassName,0.00069612
results_PMD_Error Prone_MissingSerialVersionUID,-0.00015290
results_PMD_Best Practices_LiteralsFirstInComparisons,-0.01590827
results_PMD_Error Prone_AvoidInstanceofChecksInCatchClause,-0.00006144
results_PMD_Best Practices_SimplifiableTestAssertion,0.00531327
results_PMD_Best Practices_AvoidStringBufferField,0.00089674
results_PMD_Best Practices_ArrayIsStoredDirectly,-0.00652328
results_PMD_Error Prone_ConstructorCallsOverridableMethod,0.00120416
results_PMD_Design_DataClass,0.00032156
results_PMD_Design_UseObjectForClearerAPI,0.00000255
results_PMD_Best Practices_JUnit4TestShouldUseBeforeAnnotation,0.00001197
results_PMD_Design_ExcessiveParameterList,0.00047930
results_PMD_Best Practices_AbstractClassWithoutAbstractMethod,0.00077094
results_PMD_Code Style_ShortMethodName,-0.00124506
results_PMD_Best Practices_UseCollectionIsEmpty,0.00148592
results_PMD_Performance_InefficientStringBuffering,-0.00213012
results_PMD_Error Prone_SimpleDateFormatNeedsLocale,0.00000292
results_PMD_Error Prone_DetachedTestCase,0.00037613
results_PMD_Best Practices_UnusedLocalVariable,-0.00000547
results_PMD_Design_FinalFieldCouldBeStatic,-0.00000722
results_PMD_Error Prone_EmptyFinallyBlock,0.00000002
results_PMD_Error Prone_ImplicitSwitchFallThrough,-0.00029733
results_PMD_Error Prone_AvoidFieldNameMatchingTypeName,0.00028959
results_PMD_Design_AvoidUncheckedExceptionsInSignatures,-0.00582479
results_PMD_Code Style_UnnecessaryModifier,0.00003508
results_PMD_Code Style_UnnecessaryLocalBeforeReturn,-0.00021785
results_PMD_Best Practices_OneDeclarationPerLine,-0.00017812
results_PMD_Best Practices_JUnitUseExpected,0.04778004
results_PMD_Code Style_BooleanGetMethodName,0.00000049
results_PMD_Best Practices_UnusedFormalParameter,0.00231277
results_PMD_Best Practices_ReplaceHashtableWithMap,0.00000002
results_PMD_Best Practices_JUnit4TestShouldUseTestAnnotation,0.00010320
results_PMD_Code Style_UnnecessaryAnnotationValueElement,0.00109024
results_PMD_Code Style_FinalParameterInAbstractMethod,0.00016383
results_PMD_Performance_AvoidCalendarDateCreation,-0.00000005
results_PMD_Performance_BigIntegerInstantiation,-0.00000012
results_PMD_Code Style_UnnecessaryCast,0.00000000
results_PMD_Design_SimplifyConditional,0.00000229
results_PMD_Performance_UselessStringValueOf,0.00012536
results_PMD_Design_SimplifyBooleanReturns,0.00002670
results_PMD_Multithreading_AvoidUsingVolatile,0.01588572
results_PMD_Design_AvoidThrowingNullPointerException,0.00036548
results_PMD_Performance_AvoidArrayLoops,0.00009795
results_PMD_Error Prone_MissingStaticMethodInNonInstantiatableClass,0.00001030
results_PMD_Code Style_IdenticalCatchBranches,-0.00024444
results_PMD_Error Prone_SuspiciousEqualsMethodName,0.00001946
results_PMD_Code Style_FormalParameterNamingConventions,0.00209592
results_PMD_Best Practices_ReplaceVectorWithList,0.00000402
results_PMD_Performance_StringInstantiation,0.00000078
results_PMD_Error Prone_DoNotCallGarbageCollectionExplicitly,0.01959069
results_PMD_Design_AbstractClassWithoutAnyMethod,0.00003580
results_PMD_Best Practices_PrimitiveWrapperInstantiation,-0.00003780
results_PMD_Code Style_PackageCase,-0.00069279
results_PMD_Best Practices_JUnit4TestShouldUseAfterAnnotation,-0.00000245
results_PMD_Performance_UseStringBufferForStringAppends,0.17373029
results_PMD_Best Practices_CheckResultSet,0.00000000
results_PMD_Best Practices_UseStandardCharsets,-0.00008060
results_PMD_Design_SimplifyBooleanExpressions,0.00002666
