Issue,Importance
results_PMD_Code Style_OnlyOneReturn,0.32328156
results_PMD_Design_LawOfDemeter,-0.22785503
results_PMD_Code Style_ConfusingTernary,0.08607498
results_PMD_Design_CyclomaticComplexity,0.02383706
results_PMD_Documentation_CommentSize,0.28331860
results_PMD_Error Prone_EmptyCatchBlock,-0.21315076
results_PMD_Code Style_LongVariable,0.03786399
results_PMD_Documentation_CommentRequired,1.69187494
results_PMD_Code Style_ShortVariable,1.36755396
results_PMD_Code Style_LocalVariableCouldBeFinal,2.77030289
results_PMD_Error Prone_BeanMembersShouldSerialize,0.80937196
results_PMD_Multithreading_UseConcurrentHashMap,0.03337745
results_PMD_Design_CognitiveComplexity,0.46766007
results_PMD_Code Style_MethodArgumentCouldBeFinal,0.25838790
results_PMD_Error Prone_NullAssignment,0.11560842
results_PMD_Error Prone_CloseResource,0.00349175
results_PMD_Design_NPathComplexity,0.31469114
results_PMD_Code Style_FieldNamingConventions,0.02546368
results_PMD_Code Style_UseUnderscoresInNumericLiterals,-0.01400157
results_PMD_Design_GodClass,-0.00112276
results_PMD_Best Practices_UnusedAssignment,0.00005076
results_PMD_Design_NcssCount,-0.02297064
results_PMD_Performance_AvoidInstantiatingObjectsInLoops,1.23459511
results_PMD_Best Practices_GuardLogStatement,-0.00000023
results_PMD_Performance_AddEmptyString,-0.01678764
results_PMD_Design_AvoidCatchingGenericException,-0.02571227
results_PMD_Error Prone_ProperLogger,0.00090589
results_PMD_Design_ExcessiveMethodLength,0.01376620
results_PMD_Code Style_CallSuperInConstructor,-0.03255667
results_PMD_Performance_OptimizableToArrayCall,0.00601239
results_PMD_Documentation_UncommentedEmptyConstructor,-0.07400198
results_PMD_Error Prone_AvoidCatchingThrowable,-0.07033453
results_PMD_Code Style_CommentDefaultAccessModifier,-0.16032797
results_PMD_Design_CouplingBetweenObjects,-0.01012296
results_PMD_Error Prone_ReturnEmptyCollectionRatherThanNull,0.21930446
results_PMD_Design_TooManyMethods,0.05601521
results_PMD_Design_ExcessiveImports,-0.01044871
results_PMD_Design_MutableStaticState,0.08551779
results_PMD_Best Practices_DoubleBraceInitialization,0.00032712
results_PMD_Code Style_UseShortArrayInitializer,0.00299482
results_PMD_Error Prone_AvoidDuplicateLiterals,0.04456415
results_PMD_Error Prone_EmptyIfStmt,-0.00056654
results_PMD_Code Style_LinguisticNaming,0.22064307
results_PMD_Best Practices_UseVarargs,0.02646278
results_PMD_Code Style_UnnecessaryFullyQualifiedName,0.08587475
results_PMD_Best Practices_JUnitTestContainsTooManyAsserts,-0.26653695
results_PMD_Design_ImmutableField,-0.00027775
results_PMD_Best Practices_JUnitTestsShouldIncludeAssert,-0.02839133
results_PMD_Best Practices_JUnitAssertionsShouldIncludeMessage,0.08143768
results_PMD_Best Practices_MethodReturnsInternalArray,0.00260804
results_PMD_Code Style_UseDiamondOperator,0.30241656
results_PMD_Design_SignatureDeclareThrowsException,-0.03042572
results_PMD_Code Style_UnnecessaryImport,-0.21879252
results_PMD_Code Style_AtLeastOneConstructor,0.20537766
results_PMD_Best Practices_JUnit5TestShouldBePackagePrivate,-0.01859350
results_PMD_Error Prone_AssignmentInOperand,-0.06924770
results_PMD_Performance_InsufficientStringBufferDeclaration,-0.00161037
results_PMD_Design_CollapsibleIfStatements,-0.08611660
results_PMD_Design_UseUtilityClass,0.01284135
results_PMD_Performance_AvoidFileStream,0.01807859
results_PMD_Best Practices_AvoidPrintStackTrace,0.02532790
results_PMD_Code Style_NoPackage,0.00004570
results_PMD_Best Practices_UseTryWithResources,0.00093223
results_PMD_Best Practices_SystemPrintln,0.00940341
results_PMD_Performance_RedundantFieldInitializer,0.02078551
results_PMD_Best Practices_AvoidReassigningParameters,0.07021577
results_PMD_Design_TooManyFields,-0.00123952
results_PMD_Error Prone_AvoidFieldNameMatchingMethodName,-0.02363625
results_PMD_Design_ExcessivePublicCount,0.47386287
results_PMD_Best Practices_UnusedPrivateField,-0.00312055
results_PMD_Code Style_LocalVariableNamingConventions,-0.00609678
results_PMD_Design_SingularField,0.01263877
results_PMD_Code Style_TooManyStaticImports,-0.00364442
results_PMD_Code Style_MethodNamingConventions,0.00040788
results_PMD_Error Prone_EqualsNull,-0.00391712
results_PMD_Error Prone_AvoidLiteralsInIfCondition,0.11872243
results_PMD_Code Style_PrematureDeclaration,-0.04662467
results_PMD_Code Style_UselessParentheses,0.03573915
results_PMD_Design_ExcessiveClassLength,-0.01385790
results_PMD_Code Style_GenericsNaming,0.00309110
results_PMD_Design_ClassWithOnlyPrivateConstructorsShouldBeFinal,-0.00612229
results_PMD_Error Prone_UseLocaleWithCaseConversions,0.00479348
results_PMD_Error Prone_EmptyInitializer,0.00012416
results_PMD_Performance_ConsecutiveLiteralAppends,0.00130042
results_PMD_Multithreading_AvoidSynchronizedAtMethodLevel,0.00269633
results_PMD_Design_AvoidThrowingRawExceptionTypes,0.19820739
results_PMD_Performance_ConsecutiveAppendsShouldReuse,0.00086917
results_PMD_Best Practices_PreserveStackTrace,-0.03112000
results_PMD_Multithreading_DoNotUseThreads,0.02823165
results_PMD_Best Practices_ForLoopCanBeForeach,0.00004596
results_PMD_Documentation_UncommentedEmptyMethodBody,0.18378392
results_PMD_Code Style_UnnecessaryConstructor,-0.01551705
results_PMD_Best Practices_LooseCoupling,0.00815061
results_PMD_Performance_InefficientEmptyStringCheck,0.00359310
results_PMD_Performance_AppendCharacterWithChar,0.03148339
results_PMD_Error Prone_UseProperClassLoader,-0.00007116
results_PMD_Error Prone_CompareObjectsWithEquals,0.13764027
results_PMD_Code Style_ControlStatementBraces,-0.00034297
results_PMD_Error Prone_EmptyWhileStmt,0.11858015
results_PMD_Design_ExceptionAsFlowControl,0.00821192
results_PMD_Error Prone_UseCorrectExceptionLogging,0.00040266
results_PMD_Design_AvoidRethrowingException,-0.00071130
results_PMD_Error Prone_AvoidAccessibilityAlteration,-0.00032811
results_PMD_Documentation_CommentContent,0.00000000
results_PMD_Code Style_FieldDeclarationsShouldBeAtStartOfClass,0.02032614
results_PMD_Best Practices_ForLoopVariableCount,-0.00800513
results_PMD_Design_AvoidDeeplyNestedIfStmts,-0.26736072
results_PMD_Code Style_ShortClassName,0.01277099
results_PMD_Error Prone_MissingSerialVersionUID,0.15929646
results_PMD_Best Practices_LiteralsFirstInComparisons,0.00430029
results_PMD_Error Prone_AvoidInstanceofChecksInCatchClause,0.00356989
results_PMD_Best Practices_SimplifiableTestAssertion,0.01433953
results_PMD_Best Practices_AvoidStringBufferField,0.02200043
results_PMD_Best Practices_ArrayIsStoredDirectly,0.04933474
results_PMD_Error Prone_ConstructorCallsOverridableMethod,0.06429673
results_PMD_Design_DataClass,-0.00011694
results_PMD_Design_UseObjectForClearerAPI,-0.00006801
results_PMD_Best Practices_JUnit4TestShouldUseBeforeAnnotation,-0.00008371
results_PMD_Design_ExcessiveParameterList,-0.00005907
results_PMD_Best Practices_AbstractClassWithoutAbstractMethod,0.00412985
results_PMD_Code Style_ShortMethodName,0.01051227
results_PMD_Best Practices_UseCollectionIsEmpty,0.03021567
results_PMD_Performance_InefficientStringBuffering,-0.00301419
results_PMD_Error Prone_SimpleDateFormatNeedsLocale,-0.00004549
results_PMD_Error Prone_DetachedTestCase,0.05167863
results_PMD_Best Practices_UnusedLocalVariable,-0.00003348
results_PMD_Design_FinalFieldCouldBeStatic,0.00052669
results_PMD_Error Prone_EmptyFinallyBlock,-0.00000089
results_PMD_Error Prone_ImplicitSwitchFallThrough,-0.01334506
results_PMD_Error Prone_AvoidFieldNameMatchingTypeName,0.02419445
results_PMD_Design_AvoidUncheckedExceptionsInSignatures,-0.00529477
results_PMD_Code Style_UnnecessaryModifier,0.00085126
results_PMD_Code Style_UnnecessaryLocalBeforeReturn,0.01417612
results_PMD_Best Practices_OneDeclarationPerLine,-0.00162840
results_PMD_Best Practices_JUnitUseExpected,0.41438115
results_PMD_Code Style_BooleanGetMethodName,-0.00038037
results_PMD_Best Practices_UnusedFormalParameter,0.01296550
results_PMD_Best Practices_ReplaceHashtableWithMap,-0.00000020
results_PMD_Best Practices_JUnit4TestShouldUseTestAnnotation,-0.00004103
results_PMD_Code Style_UnnecessaryAnnotationValueElement,-0.04753753
results_PMD_Code Style_FinalParameterInAbstractMethod,0.00032791
results_PMD_Performance_AvoidCalendarDateCreation,0.00010481
results_PMD_Performance_BigIntegerInstantiation,0.00012477
results_PMD_Code Style_UnnecessaryCast,0.00000000
results_PMD_Design_SimplifyConditional,-0.00009773
results_PMD_Performance_UselessStringValueOf,-0.00221739
results_PMD_Design_SimplifyBooleanReturns,0.00359724
results_PMD_Multithreading_AvoidUsingVolatile,-0.08744917
results_PMD_Design_AvoidThrowingNullPointerException,0.00012140
results_PMD_Performance_AvoidArrayLoops,0.01387873
results_PMD_Error Prone_MissingStaticMethodInNonInstantiatableClass,-0.00330458
results_PMD_Code Style_IdenticalCatchBranches,-0.01282918
results_PMD_Error Prone_SuspiciousEqualsMethodName,0.05460384
results_PMD_Code Style_FormalParameterNamingConventions,0.04219699
results_PMD_Best Practices_ReplaceVectorWithList,0.00013328
results_PMD_Performance_StringInstantiation,0.00172213
results_PMD_Error Prone_DoNotCallGarbageCollectionExplicitly,-0.16361141
results_PMD_Design_AbstractClassWithoutAnyMethod,-0.00144257
results_PMD_Best Practices_PrimitiveWrapperInstantiation,0.00001874
results_PMD_Code Style_PackageCase,0.00063449
results_PMD_Best Practices_JUnit4TestShouldUseAfterAnnotation,-0.00002563
results_PMD_Performance_UseStringBufferForStringAppends,0.31328204
results_PMD_Best Practices_CheckResultSet,0.00000000
results_PMD_Best Practices_UseStandardCharsets,-0.01597237
results_PMD_Design_SimplifyBooleanExpressions,0.00000699
results_PMD_Error Prone_SingleMethodSingleton,-0.00163443
