Issue,Importance
results_PMD_Code Style_OnlyOneReturn,0.00620396
results_PMD_Design_LawOfDemeter,0.00102324
results_PMD_Code Style_ConfusingTernary,0.00018985
results_PMD_Design_CyclomaticComplexity,0.00145613
results_PMD_Documentation_CommentSize,0.00527007
results_PMD_Error Prone_EmptyCatchBlock,-0.00138520
results_PMD_Code Style_LongVariable,0.00417752
results_PMD_Documentation_CommentRequired,0.03402794
results_PMD_Code Style_ShortVariable,0.00171871
results_PMD_Code Style_LocalVariableCouldBeFinal,0.01346763
results_PMD_Error Prone_BeanMembersShouldSerialize,0.00027900
results_PMD_Multithreading_UseConcurrentHashMap,0.00017631
results_PMD_Design_CognitiveComplexity,0.00535933
results_PMD_Code Style_MethodArgumentCouldBeFinal,0.00598112
results_PMD_Error Prone_NullAssignment,0.00041059
results_PMD_Error Prone_CloseResource,0.00292774
results_PMD_Design_NPathComplexity,0.00054352
results_PMD_Code Style_FieldNamingConventions,-0.00002738
results_PMD_Code Style_UseUnderscoresInNumericLiterals,0.00092967
results_PMD_Design_GodClass,0.00666097
results_PMD_Best Practices_UnusedAssignment,0.00045793
results_PMD_Design_NcssCount,-0.00000639
results_PMD_Performance_AvoidInstantiatingObjectsInLoops,0.00079299
results_PMD_Best Practices_GuardLogStatement,-0.00010409
results_PMD_Performance_AddEmptyString,-0.00253810
results_PMD_Design_AvoidCatchingGenericException,0.00004787
results_PMD_Error Prone_ProperLogger,0.00002300
results_PMD_Design_ExcessiveMethodLength,0.00037651
results_PMD_Code Style_CallSuperInConstructor,0.00737368
results_PMD_Performance_OptimizableToArrayCall,-0.00219402
results_PMD_Documentation_UncommentedEmptyConstructor,0.00011707
results_PMD_Error Prone_AvoidCatchingThrowable,-0.00006695
results_PMD_Code Style_CommentDefaultAccessModifier,0.00178200
results_PMD_Design_CouplingBetweenObjects,0.00363265
results_PMD_Error Prone_ReturnEmptyCollectionRatherThanNull,0.00033244
results_PMD_Design_TooManyMethods,0.00044257
results_PMD_Design_ExcessiveImports,-0.00021981
results_PMD_Design_MutableStaticState,-0.00006656
results_PMD_Best Practices_DoubleBraceInitialization,0.00001879
results_PMD_Code Style_UseShortArrayInitializer,0.00551880
results_PMD_Error Prone_AvoidDuplicateLiterals,0.00118167
results_PMD_Error Prone_EmptyIfStmt,0.00083813
results_PMD_Code Style_LinguisticNaming,0.00019622
results_PMD_Best Practices_UseVarargs,-0.00034557
results_PMD_Code Style_UnnecessaryFullyQualifiedName,-0.00601719
results_PMD_Best Practices_JUnitTestContainsTooManyAsserts,0.00006086
results_PMD_Design_ImmutableField,0.02419564
results_PMD_Best Practices_JUnitTestsShouldIncludeAssert,0.00065566
results_PMD_Best Practices_JUnitAssertionsShouldIncludeMessage,0.00198510
results_PMD_Best Practices_MethodReturnsInternalArray,-0.00004989
results_PMD_Code Style_UseDiamondOperator,0.00187928
results_PMD_Design_SignatureDeclareThrowsException,0.00002756
results_PMD_Code Style_UnnecessaryImport,0.00244758
results_PMD_Code Style_AtLeastOneConstructor,-0.00056336
results_PMD_Best Practices_JUnit5TestShouldBePackagePrivate,-0.00001518
results_PMD_Error Prone_AssignmentInOperand,0.00053799
results_PMD_Performance_InsufficientStringBufferDeclaration,0.00005751
results_PMD_Design_CollapsibleIfStatements,0.00067703
results_PMD_Design_UseUtilityClass,0.01705515
results_PMD_Performance_AvoidFileStream,0.00019042
results_PMD_Best Practices_AvoidPrintStackTrace,0.00052174
results_PMD_Code Style_NoPackage,-0.00000336
results_PMD_Best Practices_UseTryWithResources,0.00273197
results_PMD_Best Practices_SystemPrintln,0.00098754
results_PMD_Performance_RedundantFieldInitializer,0.00097864
results_PMD_Best Practices_AvoidReassigningParameters,0.00047515
results_PMD_Design_TooManyFields,-0.00011550
results_PMD_Error Prone_AvoidFieldNameMatchingMethodName,0.00262371
results_PMD_Design_ExcessivePublicCount,0.00009937
results_PMD_Best Practices_UnusedPrivateField,0.00011019
results_PMD_Code Style_LocalVariableNamingConventions,0.00036315
results_PMD_Design_SingularField,0.00089021
results_PMD_Code Style_TooManyStaticImports,0.00021977
results_PMD_Code Style_MethodNamingConventions,0.00020072
results_PMD_Error Prone_EqualsNull,0.00000000
results_PMD_Error Prone_AvoidLiteralsInIfCondition,0.00353755
results_PMD_Code Style_PrematureDeclaration,0.02137352
results_PMD_Code Style_UselessParentheses,0.00058422
results_PMD_Design_ExcessiveClassLength,-0.00001187
results_PMD_Code Style_GenericsNaming,0.00005178
results_PMD_Design_ClassWithOnlyPrivateConstructorsShouldBeFinal,0.00004651
results_PMD_Error Prone_UseLocaleWithCaseConversions,0.00049955
results_PMD_Error Prone_EmptyInitializer,-0.00000001
results_PMD_Performance_ConsecutiveLiteralAppends,0.00002853
results_PMD_Multithreading_AvoidSynchronizedAtMethodLevel,-0.00050188
results_PMD_Design_AvoidThrowingRawExceptionTypes,0.00201897
results_PMD_Performance_ConsecutiveAppendsShouldReuse,0.00009964
results_PMD_Best Practices_PreserveStackTrace,0.00016577
results_PMD_Multithreading_DoNotUseThreads,0.00342395
results_PMD_Best Practices_ForLoopCanBeForeach,-0.00023471
results_PMD_Documentation_UncommentedEmptyMethodBody,0.00059654
results_PMD_Code Style_UnnecessaryConstructor,-0.00005657
results_PMD_Best Practices_LooseCoupling,0.00038891
results_PMD_Performance_InefficientEmptyStringCheck,-0.00000576
results_PMD_Performance_AppendCharacterWithChar,0.00001021
results_PMD_Error Prone_UseProperClassLoader,0.00000055
results_PMD_Error Prone_CompareObjectsWithEquals,0.00096649
results_PMD_Code Style_ControlStatementBraces,0.00343008
results_PMD_Error Prone_EmptyWhileStmt,-0.00001241
results_PMD_Design_ExceptionAsFlowControl,-0.00030731
results_PMD_Error Prone_UseCorrectExceptionLogging,0.00000001
results_PMD_Design_AvoidRethrowingException,-0.00009143
results_PMD_Error Prone_AvoidAccessibilityAlteration,0.00019306
results_PMD_Documentation_CommentContent,0.00000000
results_PMD_Code Style_FieldDeclarationsShouldBeAtStartOfClass,0.00036111
results_PMD_Best Practices_ForLoopVariableCount,-0.00002049
results_PMD_Design_AvoidDeeplyNestedIfStmts,-0.00512268
results_PMD_Code Style_ShortClassName,0.00053975
results_PMD_Error Prone_MissingSerialVersionUID,0.02932782
results_PMD_Best Practices_LiteralsFirstInComparisons,0.00031271
results_PMD_Error Prone_AvoidInstanceofChecksInCatchClause,0.00004301
results_PMD_Best Practices_SimplifiableTestAssertion,0.00015548
results_PMD_Best Practices_AvoidStringBufferField,-0.00052907
results_PMD_Best Practices_ArrayIsStoredDirectly,-0.00012413
results_PMD_Error Prone_ConstructorCallsOverridableMethod,-0.00302637
results_PMD_Design_DataClass,0.00030292
results_PMD_Design_UseObjectForClearerAPI,-0.00000114
results_PMD_Best Practices_JUnit4TestShouldUseBeforeAnnotation,0.00000749
results_PMD_Design_ExcessiveParameterList,0.00002449
results_PMD_Best Practices_AbstractClassWithoutAbstractMethod,0.00021692
results_PMD_Code Style_ShortMethodName,0.00002002
results_PMD_Best Practices_UseCollectionIsEmpty,-0.00124308
results_PMD_Performance_InefficientStringBuffering,-0.00005243
results_PMD_Error Prone_SimpleDateFormatNeedsLocale,-0.00000416
results_PMD_Error Prone_DetachedTestCase,0.00002862
results_PMD_Best Practices_UnusedLocalVariable,0.00042050
results_PMD_Design_FinalFieldCouldBeStatic,-0.00064362
results_PMD_Error Prone_EmptyFinallyBlock,0.00000000
results_PMD_Error Prone_ImplicitSwitchFallThrough,-0.00001196
results_PMD_Error Prone_AvoidFieldNameMatchingTypeName,-0.00191230
results_PMD_Design_AvoidUncheckedExceptionsInSignatures,-0.00003419
results_PMD_Code Style_UnnecessaryModifier,0.00011877
results_PMD_Code Style_UnnecessaryLocalBeforeReturn,0.00033931
results_PMD_Best Practices_OneDeclarationPerLine,0.00007922
results_PMD_Best Practices_JUnitUseExpected,-0.00000470
results_PMD_Code Style_BooleanGetMethodName,-0.00001548
results_PMD_Best Practices_UnusedFormalParameter,0.00227383
results_PMD_Best Practices_ReplaceHashtableWithMap,0.00000000
results_PMD_Best Practices_JUnit4TestShouldUseTestAnnotation,-0.00007618
results_PMD_Code Style_UnnecessaryAnnotationValueElement,0.00010194
results_PMD_Code Style_FinalParameterInAbstractMethod,0.00014089
results_PMD_Performance_AvoidCalendarDateCreation,0.00000003
results_PMD_Performance_BigIntegerInstantiation,0.00000001
results_PMD_Code Style_UnnecessaryCast,0.00000000
results_PMD_Design_SimplifyConditional,0.00006607
results_PMD_Performance_UselessStringValueOf,-0.00001926
results_PMD_Design_SimplifyBooleanReturns,0.00735282
results_PMD_Multithreading_AvoidUsingVolatile,-0.00004729
results_PMD_Design_AvoidThrowingNullPointerException,0.00016943
results_PMD_Performance_AvoidArrayLoops,0.00001940
results_PMD_Error Prone_MissingStaticMethodInNonInstantiatableClass,0.00000002
results_PMD_Code Style_IdenticalCatchBranches,-0.00001445
results_PMD_Error Prone_SuspiciousEqualsMethodName,-0.00000015
results_PMD_Code Style_FormalParameterNamingConventions,0.00376597
results_PMD_Best Practices_ReplaceVectorWithList,0.00000000
results_PMD_Performance_StringInstantiation,0.00204804
results_PMD_Error Prone_DoNotCallGarbageCollectionExplicitly,-0.00000006
results_PMD_Design_AbstractClassWithoutAnyMethod,-0.00000004
results_PMD_Best Practices_PrimitiveWrapperInstantiation,0.00003755
results_PMD_Code Style_PackageCase,0.00032418
results_PMD_Best Practices_JUnit4TestShouldUseAfterAnnotation,0.00000034
results_PMD_Performance_UseStringBufferForStringAppends,0.36642749
results_PMD_Best Practices_CheckResultSet,0.00000000
results_PMD_Best Practices_UseStandardCharsets,0.00005002
results_PMD_Design_SimplifyBooleanExpressions,0.00005979
results_PMD_Error Prone_SingleMethodSingleton,0.00000000
results_PMD_Performance_UseIndexOfChar,-0.00049495
results_PMD_Error Prone_SingletonClassReturningNewInstance,0.00000000
results_PMD_Best Practices_UnusedPrivateMethod,0.00000822
results_PMD_Best Practices_AvoidReassigningLoopVariables,-0.00004805
results_PMD_Error Prone_CloneMethodReturnTypeMustMatchClassName,0.00002921
results_PMD_Error Prone_ProperCloneImplementation,-0.00000113
results_PMD_Error Prone_AvoidLosingExceptionInformation,0.00000000
results_PMD_Error Prone_BrokenNullCheck,0.00000120
results_PMD_Design_UselessOverridingMethod,0.00001338
results_PMD_Error Prone_EmptyStatementNotInLoop,-0.00016425
results_PMD_Design_LogicInversion,-0.00000007
results_PMD_Error Prone_UnnecessaryBooleanAssertion,0.00000000
results_PMD_Code Style_UnnecessaryReturn,-0.00000074
results_PMD_Code Style_ClassNamingConventions,0.00000697
results_PMD_Design_SwitchDensity,0.00011643
results_PMD_Error Prone_TestClassWithoutTestCases,-0.00000003
results_PMD_Error Prone_UseEqualsToCompareStrings,-0.00006818
results_PMD_Best Practices_WhileLoopWithLiteralBoolean,-0.00000004
results_PMD_Error Prone_DoNotTerminateVM,-0.00075346
results_PMD_Best Practices_SwitchStmtsShouldHaveDefault,0.00030077
results_PMD_Error Prone_NonStaticInitializer,-0.00000001
results_PMD_Performance_TooFewBranchesForASwitchStatement,0.00070546
results_PMD_Error Prone_AssignmentToNonFinalStatic,-0.00018006
results_PMD_Error Prone_MethodWithSameNameAsEnclosingClass,0.00000000
results_PMD_Error Prone_DoNotExtendJavaLangThrowable,0.00000001
results_PMD_Code Style_AvoidProtectedMethodInFinalClassNotExtending,-0.00000008
results_PMD_Design_SimplifiedTernary,0.00000919
results_PMD_Error Prone_DoNotThrowExceptionInFinally,-0.00033775
results_PMD_Error Prone_UnconditionalIfStatement,0.00000000
results_PMD_Best Practices_AvoidReassigningCatchVariables,0.00000674
results_PMD_Best Practices_ConstantsInInterface,-0.00000753
results_PMD_Code Style_UselessQualifiedThis,0.00160381
results_PMD_Performance_UseArraysAsList,-0.00000006
results_PMD_Error Prone_DontUseFloatTypeForLoopIndices,0.00000000
results_PMD_Best Practices_DefaultLabelNotLastInSwitchStmt,-0.00000401
results_PMD_Code Style_EmptyMethodInAbstractClassShouldBeAbstract,-0.00012952
results_PMD_Multithreading_NonThreadSafeSingleton,0.00004486
results_PMD_Error Prone_ComparisonWithNaN,0.00000051
results_PMD_Error Prone_AvoidCatchingNPE,-0.00000701
results_PMD_Best Practices_MissingOverride,-0.00000404
results_PMD_Performance_StringToString,-0.00028267
results_PMD_Error Prone_OverrideBothEqualsAndHashcode,0.00496021
results_PMD_Error Prone_AvoidBranchingStatementAsLastInLoop,0.00002045
results_PMD_Error Prone_NonCaseLabelInSwitchStatement,0.00000000
results_PMD_Error Prone_CallSuperFirst,0.00000001
results_PMD_Code Style_AvoidDollarSigns,-0.00000013
results_PMD_Error Prone_UnnecessaryCaseChange,-0.00067145
results_PMD_Code Style_AvoidUsingNativeCode,-0.00000416
results_PMD_Performance_UseArrayListInsteadOfVector,0.00000000
results_PMD_Code Style_AvoidProtectedFieldInFinalClass,0.00006963
results_PMD_Error Prone_AvoidDecimalLiteralsInBigDecimalConstructor,0.00000000
