Issue,Importance
results_PMD_Code Style_OnlyOneReturn,0.00269647
results_PMD_Design_LawOfDemeter,0.00016869
results_PMD_Code Style_ConfusingTernary,0.00205288
results_PMD_Design_CyclomaticComplexity,0.06001515
results_PMD_Documentation_CommentSize,0.00229925
results_PMD_Error Prone_EmptyCatchBlock,0.01353988
results_PMD_Code Style_LongVariable,0.00059585
results_PMD_Documentation_CommentRequired,0.21586636
results_PMD_Code Style_ShortVariable,0.02762501
results_PMD_Code Style_LocalVariableCouldBeFinal,0.01124029
results_PMD_Error Prone_BeanMembersShouldSerialize,1.91675073
results_PMD_Multithreading_UseConcurrentHashMap,0.00005604
results_PMD_Design_CognitiveComplexity,0.01194868
results_PMD_Code Style_MethodArgumentCouldBeFinal,0.50743509
results_PMD_Error Prone_NullAssignment,0.01874499
results_PMD_Error Prone_CloseResource,0.03007495
results_PMD_Design_NPathComplexity,0.05255216
results_PMD_Code Style_FieldNamingConventions,-0.00022389
results_PMD_Code Style_UseUnderscoresInNumericLiterals,0.00143600
results_PMD_Design_GodClass,0.00029160
results_PMD_Best Practices_UnusedAssignment,0.00114190
results_PMD_Design_NcssCount,0.00285715
results_PMD_Performance_AvoidInstantiatingObjectsInLoops,0.00002454
results_PMD_Best Practices_GuardLogStatement,-0.00003861
results_PMD_Performance_AddEmptyString,-0.00000011
results_PMD_Design_AvoidCatchingGenericException,0.03137592
results_PMD_Error Prone_ProperLogger,-0.00001688
results_PMD_Design_ExcessiveMethodLength,0.00321503
results_PMD_Code Style_CallSuperInConstructor,0.00554750
results_PMD_Performance_OptimizableToArrayCall,-0.00001358
results_PMD_Documentation_UncommentedEmptyConstructor,0.00044557
results_PMD_Error Prone_AvoidCatchingThrowable,0.00665502
results_PMD_Code Style_CommentDefaultAccessModifier,0.26737529
results_PMD_Design_CouplingBetweenObjects,0.00000515
results_PMD_Error Prone_ReturnEmptyCollectionRatherThanNull,-0.00025234
results_PMD_Design_TooManyMethods,0.00001819
results_PMD_Design_ExcessiveImports,-0.00003490
results_PMD_Design_MutableStaticState,0.00631247
results_PMD_Best Practices_DoubleBraceInitialization,0.00000178
results_PMD_Code Style_UseShortArrayInitializer,-0.00093158
results_PMD_Error Prone_AvoidDuplicateLiterals,0.00052245
results_PMD_Error Prone_EmptyIfStmt,-0.00000568
results_PMD_Code Style_LinguisticNaming,-0.00076482
results_PMD_Best Practices_UseVarargs,0.31887220
results_PMD_Code Style_UnnecessaryFullyQualifiedName,0.00046824
results_PMD_Best Practices_JUnitTestContainsTooManyAsserts,0.00153129
results_PMD_Design_ImmutableField,0.00158256
results_PMD_Best Practices_JUnitTestsShouldIncludeAssert,-0.00001865
results_PMD_Best Practices_JUnitAssertionsShouldIncludeMessage,0.00178070
results_PMD_Best Practices_MethodReturnsInternalArray,-0.00009257
results_PMD_Code Style_UseDiamondOperator,0.00120441
results_PMD_Design_SignatureDeclareThrowsException,0.00005521
results_PMD_Code Style_UnnecessaryImport,0.00222047
results_PMD_Code Style_AtLeastOneConstructor,0.00003634
results_PMD_Best Practices_JUnit5TestShouldBePackagePrivate,0.00021427
results_PMD_Error Prone_AssignmentInOperand,0.00295472
results_PMD_Performance_InsufficientStringBufferDeclaration,0.00000849
results_PMD_Design_CollapsibleIfStatements,0.02549221
results_PMD_Design_UseUtilityClass,0.00000538
results_PMD_Performance_AvoidFileStream,0.02111640
results_PMD_Best Practices_AvoidPrintStackTrace,-0.00006156
results_PMD_Code Style_NoPackage,0.00000438
results_PMD_Best Practices_UseTryWithResources,-0.00007038
results_PMD_Best Practices_SystemPrintln,0.00415369
results_PMD_Performance_RedundantFieldInitializer,0.00449565
results_PMD_Best Practices_AvoidReassigningParameters,0.33359602
results_PMD_Design_TooManyFields,0.00034988
