Predicted,Actual
2147263.8173,246011.0000
1353054.1261,2005115.0000
1999520.8951,21208.0000
1986881.6241,13478.0000
-7096303.3455,518412.0000
-1187315.7379,21.0000
2321787.2507,513924.0000
1956450.0601,94105.0000
1999520.8951,7.0000
1999520.8951,19947359.0000
1510288.3086,265606.0000
2023314.2089,621.0000
1811914.0440,425301.0000
1999520.8951,172085.0000
2121401.2781,4356722.0000
1706531.3236,427.0000
1999520.8951,206653.0000
1999520.8951,27.0000
959386.5827,520.0000
1999520.8951,8481.0000
1999520.8951,58952.0000
1782007.2124,30077.0000
1999520.8951,306066.0000
1999520.8951,51617.0000
2380642.9616,623353.0000
2130446.7879,9308.0000
215979.9777,142504.0000
2077208.8169,4320.0000
1999520.8951,754.0000
483470.0624,6660.0000
-541003.3064,55038.0000
1955322.0039,8.0000
1826531.4524,673430.0000
1999520.8951,63497.0000
1949741.0030,349391.0000
2002687.4500,14083.0000
1999520.8951,41437.0000
2129004.0615,206437.0000
1980761.5224,1190.0000
4462991.2480,231155.0000
1537724.6215,2397.0000
6551135.6210,15524814.0000
1999520.8951,89.0000
1675674.2576,810.0000
2033398.7721,29704.0000
2034201.1111,1384271.0000
-281402.2862,875865.0000
1795899.3247,2284834.0000
1962649.0730,37180.0000
1988840.6831,38913.0000
1999520.8951,718.0000
3200086.5042,65295.0000
1999520.8951,777.0000
2338490.3555,725571.0000
1999520.8951,78.0000
1870411.8718,3713354.0000
1999520.8951,82960.0000
1875679.9586,48.0000
1999520.8951,237088.0000
2075420.5115,63286.0000
1999520.8951,2803.0000
1999520.8951,31.0000
1999520.8951,92923.0000
1999520.8951,80665.0000
1726391.8510,588172.0000
1620035.6437,413078.0000
1999520.8951,506.0000
1999520.8951,601995.0000
1408129.3129,772070.0000
1999520.8951,634.0000
1999520.8951,452541.0000
1823516.0227,794.0000
459688.9890,4905.0000
1817040.7198,418343.0000
1999520.8951,199078.0000
1999520.8951,512690.0000
1998626.7424,18519.0000
3148117.1419,1850759.0000
2003645.3249,78.0000
1999520.8951,390895.0000
1999520.8951,16256.0000
2693834.4899,137001.0000
4246390.3744,168528.0000
1924345.4863,6334.0000
858728.6915,2898574.0000
2496767.7137,8.0000
2131356.3884,55216.0000
1999520.8951,559855.0000
2111687.4152,33261703.0000
243326.4198,43965.0000
981413.3673,873084.0000
2493276.9804,101370.0000
1562855.1548,88.0000
1980761.5224,131597.0000
1381460.3100,2490079.0000
1831961.2065,19698612.0000
1973346.3833,34146.0000
1999520.8951,1209595.0000
1959737.6918,10653981.0000
1956450.0601,32106.0000
1999520.8951,8345.0000
1997270.0221,237238.0000
2669124.9746,2042271.0000
2097330.4702,439220.0000
1993261.8260,280.0000
2006375.2704,5.0000
1971543.5183,3513.0000
1995833.0747,235.0000
1999520.8951,59.0000
2022740.3892,336193.0000
1032835.8098,833175.0000
2681735.2864,998.0000
2104977.5399,637100.0000
1966829.1194,48867.0000
1871325.5403,4828.0000
1964827.8214,475.0000
3131583.9833,8251856.0000
1999520.8951,314.0000
1660597.6112,179260.0000
1669247.4755,245888.0000
989135.4679,2744562.0000
1983193.8037,8355.0000
1724641.2391,892.0000
1999520.8951,5.0000
1999520.8951,39.0000
1977661.3804,64525.0000
1864568.6538,576.0000
1985915.8627,38995.0000
1999520.8951,3701.0000
2309726.0536,604958.0000
2254119.4185,277932.0000
2498979.8064,3885770.0000
2006375.2704,1740344.0000
1999520.8951,5056.0000
1937803.6140,360497.0000
2116089.8430,4120433.0000
1999520.8951,11890.0000
1953732.3562,585.0000
2536891.9899,238209.0000
1995833.0747,428050.0000
1999520.8951,14357.0000
878410.8326,7082.0000
2225500.7104,112070.0000
4200891.1373,32868.0000
1752792.6671,13545271.0000
1993523.5038,1360377.0000
1999520.8951,780779.0000
1915311.1801,207.0000
2350381.7374,30655962.0000
1999520.8951,520.0000
1672301.0802,3111237.0000
1999520.8951,159719.0000
1704336.3236,1452237.0000
1627567.5938,504671.0000
3007205.0353,152724.0000
2011441.3402,152553.0000
1745142.2293,18.0000
1644362.1950,10762.0000
1999520.8951,29264.0000
1999520.8951,16390175.0000
1821677.6639,24827.0000
1763427.0226,10706455.0000
-845708.6277,409687.0000
1999520.8951,125913.0000
6368500.1640,1267114.0000
1999520.8951,6645335.0000
1774273.0868,2055502.0000
1920915.9745,4851.0000
1999520.8951,370.0000
1297033.2328,3931706.0000
4146637.9269,1722.0000
3636618.2160,110405.0000
1770907.9515,5.0000
2064544.2676,10669.0000
3891107.4631,475.0000
1999520.8951,73771.0000
1966330.5117,29244.0000
1999520.8951,5797511.0000
2063450.5429,57075.0000
2205474.3162,269.0000
5780509.5052,2245829.0000
1999520.8951,53983.0000
2000444.0645,8123053.0000
1970478.8935,1673.0000
1995833.0747,25779.0000
1208588.4444,469741.0000
1995833.0747,126438.0000
-8544564.5108,1743149.0000
2008012.6373,7587476.0000
1387709.4576,642.0000
1917481.0713,87580.0000
1889963.8136,768353.0000
1118852.9105,1395.0000
1607887.3444,2358965.0000
1999520.8951,499134.0000
1999520.8951,113227.0000
1999520.8951,1418675.0000
2032749.8074,52.0000
1935592.8269,439608.0000
2538730.7121,788429.0000
1857886.2438,30.0000
2076268.2083,7.0000
2861330.6056,380369.0000
1992256.4638,2152980.0000
1999520.8951,3019900.0000
1999520.8951,777.0000
1244425.3938,154007.0000
2032388.4486,1265245.0000
1999520.8951,1358935.0000
2912755.3342,12886411.0000
1999520.8951,4.0000
17992.6929,6484.0000
1999520.8951,10968596.0000
1872991.6187,10818.0000
2489209.7940,134461.0000
1950221.9770,299653.0000
1152414.5699,362194.0000
1999520.8951,572053.0000
1484595.2329,742450.0000
1483206.4222,23348.0000
1999520.8951,20947.0000
1457772.4626,618070.0000
2404012.8711,1243294.0000
1914413.8905,1817.0000
2997311.4836,7677307.0000
1999520.8951,394.0000
2083032.6705,2093.0000
2008154.0277,656.0000
1989685.2151,159095.0000
1499737.4925,203188.0000
1487429.2252,369.0000
-5392801.9014,3151274.0000
1999520.8951,72747.0000
1999520.8951,399899.0000
1857245.5426,4830946.0000
1986881.6241,598.0000
1950573.8042,793.0000
1818051.1276,9691711.0000
1688520.9569,19.0000
1999520.8951,676.0000
1798779.5906,579082.0000
