Predicted,Actual
853317.3700,246011.0000
1273526.8017,2005115.0000
1197366.5079,21208.0000
2707614.4415,13478.0000
6594692.8000,518412.0000
2720628.1800,21.0000
475522.7015,513924.0000
8629195.4160,94105.0000
1197366.5079,7.0000
1197366.5079,19947359.0000
767432.3501,265606.0000
68593.5701,621.0000
346887.5439,425301.0000
1197366.5079,172085.0000
2860410.3094,4356722.0000
694246.1800,427.0000
1197366.5079,206653.0000
1197366.5079,27.0000
1363190.4108,520.0000
1197366.5079,8481.0000
1197366.5079,58952.0000
193156.4104,30077.0000
1197366.5079,306066.0000
1197366.5079,51617.0000
335828.3950,623353.0000
309398.5941,9308.0000
9251080.1100,142504.0000
275589.3595,4320.0000
1197366.5079,754.0000
16960586.5583,6660.0000
1724754.3700,55038.0000
1147191.7432,8.0000
673799.2200,673430.0000
1197366.5079,63497.0000
535269.7908,349391.0000
506611.9279,14083.0000
1197366.5079,41437.0000
420739.8633,206437.0000
941292.7659,1190.0000
8000164.7433,231155.0000
1928759.6967,2397.0000
22067300.2982,15524814.0000
1197366.5079,89.0000
726776.9733,810.0000
266693.2117,29704.0000
304525.1200,1384271.0000
3564959.0500,875865.0000
1658929.1472,2284834.0000
277891.4800,37180.0000
501208.7693,38913.0000
1197366.5079,718.0000
9456090.1700,65295.0000
1197366.5079,777.0000
1906604.4770,725571.0000
1197366.5079,78.0000
202872.4900,3713354.0000
1197366.5079,82960.0000
40224.5438,48.0000
1197366.5079,237088.0000
804198.6459,63286.0000
1197366.5079,2803.0000
1197366.5079,31.0000
1197366.5079,92923.0000
1197366.5079,80665.0000
460849.8600,588172.0000
4010691.9733,413078.0000
1197366.5079,506.0000
1197366.5079,601995.0000
9175691.6717,772070.0000
1197366.5079,634.0000
1197366.5079,452541.0000
4408371.6473,794.0000
2253115.4800,4905.0000
3493602.8940,418343.0000
1197366.5079,199078.0000
1197366.5079,512690.0000
297130.4006,18519.0000
3724959.5700,1850759.0000
1081519.2929,78.0000
1197366.5079,390895.0000
1197366.5079,16256.0000
1538172.1257,137001.0000
5486557.6975,168528.0000
420907.7614,6334.0000
3268964.5900,2898574.0000
611038.7100,8.0000
449261.1690,55216.0000
1197366.5079,559855.0000
15314.4409,33261703.0000
915253.3045,43965.0000
366383.2300,873084.0000
2101766.1804,101370.0000
599728.3167,88.0000
941292.7659,131597.0000
815272.3008,2490079.0000
1456477.5100,19698612.0000
285401.1776,34146.0000
1197366.5079,1209595.0000
3738489.5379,10653981.0000
8629195.4160,32106.0000
1197366.5079,8345.0000
1180985.3611,237238.0000
9371026.6833,2042271.0000
405780.4767,439220.0000
341003.6964,280.0000
630018.5954,5.0000
7591056.6500,3513.0000
490525.3366,235.0000
1197366.5079,59.0000
2182104.6500,336193.0000
5248634.0500,833175.0000
1967051.9600,998.0000
4748621.1267,637100.0000
618774.3060,48867.0000
4886022.7906,4828.0000
2224114.6919,475.0000
3236342.0225,8251856.0000
1197366.5079,314.0000
897861.6937,179260.0000
650100.0819,245888.0000
1710196.7250,2744562.0000
525412.8203,8355.0000
2278889.3400,892.0000
1197366.5079,5.0000
1197366.5079,39.0000
947329.8541,64525.0000
1093267.7550,576.0000
3281585.9457,38995.0000
1197366.5079,3701.0000
688283.6240,604958.0000
14412593.7900,277932.0000
653659.7690,3885770.0000
630018.5954,1740344.0000
1197366.5079,5056.0000
412450.7608,360497.0000
339998.4139,4120433.0000
1197366.5079,11890.0000
67115.0341,585.0000
1289735.3700,238209.0000
490525.3366,428050.0000
1197366.5079,14357.0000
817509.8733,7082.0000
597199.9550,112070.0000
5368205.9167,32868.0000
1363739.5770,13545271.0000
670858.7610,1360377.0000
1197366.5079,780779.0000
803007.8096,207.0000
3405231.5000,30655962.0000
1197366.5079,520.0000
1445149.0200,3111237.0000
1197366.5079,159719.0000
156623.4035,1452237.0000
1319349.1047,504671.0000
10823689.8497,152724.0000
384143.1705,152553.0000
4216916.4000,18.0000
518219.4200,10762.0000
1197366.5079,29264.0000
1197366.5079,16390175.0000
3541188.4525,24827.0000
2863920.9800,10706455.0000
5549796.6050,409687.0000
1197366.5079,125913.0000
12216477.6500,1267114.0000
1197366.5079,6645335.0000
244688.5284,2055502.0000
183765.0367,4851.0000
1197366.5079,370.0000
1871113.0000,3931706.0000
3171449.0700,1722.0000
2346495.2771,110405.0000
134728.3567,5.0000
1325989.5509,10669.0000
505478.8700,475.0000
1197366.5079,73771.0000
86835.1202,29244.0000
1197366.5079,5797511.0000
320032.0150,57075.0000
1704519.0567,269.0000
2104365.3670,2245829.0000
1197366.5079,53983.0000
481991.4077,8123053.0000
4571434.4726,1673.0000
490525.3366,25779.0000
1363144.8500,469741.0000
490525.3366,126438.0000
4686890.9700,1743149.0000
6303935.6958,7587476.0000
435664.0597,642.0000
1008149.9350,87580.0000
797485.6950,768353.0000
1171153.2400,1395.0000
2782589.9367,2358965.0000
1197366.5079,499134.0000
1197366.5079,113227.0000
1197366.5079,1418675.0000
877382.1616,52.0000
105203.4529,439608.0000
1021876.7355,788429.0000
425564.4915,30.0000
2435037.0700,7.0000
2926556.3657,380369.0000
589556.5412,2152980.0000
1197366.5079,3019900.0000
1197366.5079,777.0000
3675402.7080,154007.0000
83807.6763,1265245.0000
1197366.5079,1358935.0000
1649549.6200,12886411.0000
1197366.5079,4.0000
1785161.4300,6484.0000
1197366.5079,10968596.0000
1047656.8262,10818.0000
1823462.9638,134461.0000
622349.3453,299653.0000
2231725.9175,362194.0000
1197366.5079,572053.0000
2602190.1200,742450.0000
759426.7033,23348.0000
1197366.5079,20947.0000
483319.4060,618070.0000
1514118.9025,1243294.0000
1510621.5000,1817.0000
2951721.0650,7677307.0000
1197366.5079,394.0000
943170.8000,2093.0000
294290.2929,656.0000
200174.3250,159095.0000
1990919.7809,203188.0000
465733.6419,369.0000
2870330.0700,3151274.0000
1197366.5079,72747.0000
1197366.5079,399899.0000
281356.7802,4830946.0000
2707614.4415,598.0000
2212177.1240,793.0000
1446727.1180,9691711.0000
4281044.1595,19.0000
1197366.5079,676.0000
940022.3775,579082.0000
1197366.5079,148326.0000
423242.6400,5.0000
1995392.6385,3673514.0000
867539.1461,177578.0000
407009.5208,1237203.0000
2649854.3350,71715.0000
1197366.5079,230260.0000
326763.1100,981.0000
297130.4006,42212.0000
941292.7659,250176.0000
1197366.5079,30834.0000
3990464.9151,8161888.0000
2928518.5322,35601.0000
270947.6717,55872.0000
1197366.5079,2828088.0000
326455.8300,958277.0000
2213621.5500,2580.0000
3327482.4000,20316.0000
1797281.0280,473038.0000
616927.5463,930990.0000
264315.8191,3038.0000
1526375.1023,6399.0000
924612.4300,974.0000
4012838.8760,35290.0000
1197366.5079,7449.0000
3484568.6424,155727.0000
291291.2214,2418.0000
497874.3400,2629.0000
484992.8249,3117116.0000
867539.1461,496632.0000
1055166.6600,4448.0000
1197366.5079,4381.0000
1687622.9600,74659.0000
1464831.0329,227516.0000
2985229.9625,2023.0000
1998100.7000,293793.0000
6921027.8037,751768.0000
83693726.0046,71888987.0000
14872413.9300,60400702.0000
454731.5327,1719706.0000
4389240.4967,509805.0000
1197366.5079,4482.0000
1197366.5079,21839.0000
266693.2117,254827.0000
2841701.1300,11045.0000
857662.9518,4631369.0000
579242.7200,1461.0000
2022755.6087,978.0000
325885.7942,770621.0000
1197366.5079,3602478.0000
15483258.9875,17866793.0000
2608101.4761,148502.0000
5347698.7025,11258922.0000
3770510.2600,172111396.0000
378876.9496,2720642.0000
1197366.5079,1665.0000
2810811.6133,3129641.0000
2485788.1600,521.0000
22067300.2982,13640341.0000
4514680.0267,441631.0000
1197366.5079,109210.0000
1197366.5079,1903.0000
1906637.5300,2149530.0000
2851367.1233,13926.0000
2737659.8046,470409.0000
1165089.7125,70818.0000
1197366.5079,99215.0000
557170.3700,653574.0000
1197366.5079,85761569.0000
22067300.2982,20113460.0000
342419.7600,605880.0000
5082355.5871,61942.0000
369377.2386,42804.0000
490525.3366,523899.0000
1197366.5079,410168.0000
4028859.6650,34579.0000
4925529.0675,344998.0000
926980.7823,24026407.0000
1188048.7580,205744.0000
100802283.5577,163323916.0000
1685075.4801,85955.0000
3295135.0821,4363.0000
88843.9947,334003.0000
244155.7520,34202.0000
153988.8555,11348.0000
903118.7673,7122.0000
110188.8406,51554421.0000
1197366.5079,6826.0000
1254399.0033,5460293.0000
1197366.5079,3935.0000
634280.0400,3578.0000
1197366.5079,1203.0000
867539.1461,378082.0000
861973.0267,4.0000
5474189.1000,281035.0000
1462609.5900,68796.0000
1115653.0600,64199.0000
4540694.6175,262841.0000
1312379.5183,20.0000
2771418.3531,17791782.0000
3966906.8200,86571.0000
1329565.6950,6977.0000
18355923.9700,4.0000
1932112.4100,48950.0000
1896630.6465,4621063.0000
1021931.6493,140843.0000
1635362.8280,170391.0000
1197366.5079,2165.0000
3295311.0060,18.0000
1197366.5079,1396.0000
5053272.9533,17247113.0000
1197366.5079,34321.0000
2063701.5376,10525.0000
207549.4491,40410.0000
633279.7933,595282.0000
1488761.3290,310.0000
5752329.8093,242366.0000
3582663.4000,8993079.0000
216044.5459,81505.0000
1197366.5079,265372.0000
4442477.4050,965970.0000
6001360.6100,33155.0000
9124177.9843,29137284.0000
254598.2791,198.0000
747837.6800,1024.0000
684732.2650,3473487.0000
1976016.6700,115937.0000
2806508.1150,103.0000
1775587.4750,56740268.0000
297130.4006,1984082.0000
216470.7029,1769.0000
3278186.1100,156.0000
1197366.5079,71752.0000
1197366.5079,154128.0000
3456010.7948,966879.0000
5478613.1200,2923957.0000
1197366.5079,38439.0000
1197366.5079,596.0000
1197366.5079,2542039.0000
1043650.2367,124354.0000
803258.3425,175918.0000
4307642.5300,65846.0000
392735.5217,11233263.0000
179712.9210,3268293.0000
1197366.5079,112096.0000
216470.7029,22545.0000
1197366.5079,689.0000
1102456.9802,149.0000
297130.4006,2523.0000
1197366.5079,668660.0000
22067300.2982,28419956.0000
1173329.1633,54066.0000
6348187.4761,2629424.0000
1571109.5517,738622.0000
698736.9629,830.0000
14664058.1801,778165.0000
1197366.5079,6.0000
417756.7572,3611.0000
551139.7344,537.0000
1193040.9950,750846.0000
1068525.5170,1914183.0000
1596941.3400,5614.0000
191208753.1717,162759530.0000
1197366.5079,161362.0000
2301305.0700,362897.0000
1197366.5079,551668.0000
736518.1884,2599737.0000
3309427.4375,72604.0000
1524863.6400,4421.0000
4242981.5800,1528321.0000
1374113.1639,62743.0000
586166.2006,30425.0000
1197366.5079,552522.0000
484458.9303,2207.0000
1197366.5079,200746.0000
509273.7625,311156.0000
153436.0329,232705.0000
85687640.3045,65450735.0000
1800391.3040,855.0000
198629.6854,2652799.0000
1197366.5079,199.0000
1197366.5079,41925.0000
2707614.4415,16611.0000
877105.7740,64883.0000
19303404.7867,76980.0000
1197366.5079,74016.0000
466321.0700,290.0000
1161534.3300,137953.0000
16136909.9930,1314655.0000
2707614.4415,20793847.0000
870184.6450,164470.0000
316439.8250,41929.0000
1606572.3077,6.0000
700983.8095,131810.0000
1197366.5079,9388.0000
276461.8096,1348.0000
1371918.8747,3968.0000
1197366.5079,288958.0000
8331579.1032,155.0000
1197366.5079,5822.0000
19508364.8000,617813.0000
710309.4107,95.0000
152879925.8772,259179926.0000
1197366.5079,449.0000
490525.3366,54780.0000
1197366.5079,1266684.0000
1305388.4706,455408.0000
1197366.5079,75368.0000
1292934.3124,28705.0000
661327.7200,374564.0000
1197366.5079,500260.0000
1197366.5079,5278.0000
490525.3366,6146.0000
25737570.3114,16747925.0000
1396024.8700,1221312.0000
1188002.4531,985.0000
1202532.2700,8425130.0000
7178566.2900,90674.0000
1197366.5079,70.0000
694106.3940,167.0000
1068306.0200,2021.0000
2189659.7988,431955.0000
275589.3595,408530.0000
2068079.0330,10376613.0000
3182378.1167,20130.0000
61693.1343,21649.0000
1147191.7432,16.0000
1197366.5079,434580.0000
867539.1461,1091683.0000
1197366.5079,26277.0000
1160330.5900,170241.0000
1656714.2500,926.0000
1197366.5079,4022.0000
1666302.3667,322682.0000
47263.9743,178673.0000
401306.6308,99764.0000
1463798.7420,565293.0000
1197366.5079,6610.0000
684531.6638,1935419.0000
1698375.3976,78699.0000
1789085.4861,66250.0000
6591070.8200,209348.0000
6230988.5367,285211.0000
251637.2054,59477.0000
424667.7625,1925157.0000
1197366.5079,30566.0000
5783512.8750,130376.0000
839625.0595,17866.0000
2828980.8833,3252184.0000
639854.5800,1753.0000
1197366.5079,7967361.0000
2774648.0600,2076.0000
3847191.1008,9.0000
756730.7167,71469.0000
1195434.9700,350700.0000
2322296.6400,22327.0000
3982389.6300,278807.0000
4027999.8933,4165.0000
872589.4880,5099534.0000
513804.9633,310625.0000
1197366.5079,181506.0000
1197366.5079,125254.0000
1197366.5079,1316150.0000
1197366.5079,433876.0000
1632897.4350,588545.0000
1197366.5079,108308.0000
1876279.4225,515737.0000
1018289.6061,37923861.0000
1851645.9800,134238.0000
1197366.5079,1818633.0000
4329263.7500,691574.0000
1197366.5079,2370135.0000
4078535.4261,841.0000
1197366.5079,189.0000
965572.1800,7377.0000
273436.2300,956204.0000
1012714.2782,45286.0000
19950293.2900,207002.0000
1149391.6200,1557570.0000
1197366.5079,1037.0000
316702.6308,319275.0000
1458693.3533,242885.0000
1197366.5079,398563.0000
11135733.9383,16309862.0000
150124.7055,849.0000
770036.4675,81255.0000
2183162.4651,288516.0000
1197366.5079,112266.0000
1266005.3726,2475.0000
1178575.2175,942955.0000
1064941.2692,369.0000
581560.2231,10256.0000
2603942.4128,101222.0000
2549301.5200,304.0000
290491.4347,730.0000
1447139.0900,66740.0000
1656714.2500,426.0000
191420.9883,21669.0000
2034143.4976,7476.0000
1197366.5079,188233.0000
440495.0693,150544.0000
5367730.9942,266.0000
1197366.5079,84872.0000
2696291.8758,1278.0000
519016.3652,89918.0000
1197366.5079,3608411.0000
27841255.5545,40.0000
1197366.5079,1022.0000
11278633.4600,693.0000
953699.8200,135.0000
2820584.5405,342.0000
459710.7039,70.0000
1592758.7078,63588987.0000
1197366.5079,894419.0000
1197366.5079,2266140.0000
659242.8250,693982.0000
1197366.5079,7.0000
1743487.8764,83456.0000
1712322.3100,457480.0000
153650.6421,74985.0000
3021649.7864,5950077.0000
712798.5763,8.0000
1425246.2580,7035515.0000
1473341.7450,48715.0000
492579.4467,90772.0000
844488.1100,6.0000
1823166.4067,41136778.0000
239193.9900,4505.0000
404873.2020,2499.0000
7725764.5400,2163061.0000
7289789.5133,3172152.0000
7830895.3680,983593.0000
4812400.2533,66466.0000
3139661.4162,1984564.0000
697432.5040,1423674.0000
1197366.5079,295.0000
9097845.5567,11118.0000
381836.2524,700.0000
