Variables;Importance
results_ktlint_None_indent;-0.0396
results_ktlint_None_no-consecutive-blank-lines;-0.0174
results_ktlint_None_keyword-spacing;-0.0149
results_ktlint_None_curly-spacing;-0.0121
results_ktlint_None_paren-spacing;-0.0104
results_ktlint_None_no-unused-imports;-0.0098
results_ktlint_None_parameter-list-wrapping;-0.0087
results_ktlint_None_final-newline;-0.0068
results_ktlint_None_;-0.0043
results_ktlint_None_chain-wrapping;-0.0014
results_ktlint_None_no-semi;-0.0012
results_ktlint_None_no-blank-line-before-rbrace;-0.0003
results_ktlint_None_no-line-break-after-else;-0.0000
results_ktlint_None_no-line-break-before-assignment;0.0000
results_ktlint_None_no-wildcard-imports;0.0012
results_ktlint_None_dot-spacing;0.0016
results_ktlint_None_range-spacing;0.0026
results_ktlint_None_op-spacing;0.0026
results_ktlint_None_modifier-order;0.0049
results_ktlint_None_no-trailing-spaces;0.0069
results_ktlint_None_string-template;0.0077
results_ktlint_None_import-ordering;0.0081
results_ktlint_None_no-multi-spaces;0.0098
results_ktlint_None_colon-spacing;0.0106
results_ktlint_None_comment-spacing;0.0157
results_ktlint_None_comma-spacing;0.0169
results_ktlint_None_no-unit-return;0.0220
results_ktlint_None_no-empty-class-body;0.0245
