Variables;Importance
results_ktlint_None_no-consecutive-blank-lines;-0.0378
results_ktlint_None_keyword-spacing;-0.0252
results_ktlint_None_string-template;-0.0237
results_ktlint_None_no-line-break-before-assignment;-0.0066
results_ktlint_None_range-spacing;0.0000
results_ktlint_None_no-line-break-after-else;0.0000
results_ktlint_None_final-newline;0.0035
results_ktlint_None_comma-spacing;0.0080
results_ktlint_None_import-ordering;0.0097
results_ktlint_None_modifier-order;0.0112
results_ktlint_None_chain-wrapping;0.0117
results_ktlint_None_;0.0117
results_ktlint_None_no-trailing-spaces;0.0161
results_ktlint_None_paren-spacing;0.0228
results_ktlint_None_no-blank-line-before-rbrace;0.0234
results_ktlint_None_no-empty-class-body;0.0238
results_ktlint_None_colon-spacing;0.0249
results_ktlint_None_parameter-list-wrapping;0.0250
results_ktlint_None_no-semi;0.0256
results_ktlint_None_comment-spacing;0.0259
results_ktlint_None_no-unit-return;0.0331
results_ktlint_None_no-wildcard-imports;0.0377
results_ktlint_None_no-unused-imports;0.0403
results_ktlint_None_op-spacing;0.0425
results_ktlint_None_no-multi-spaces;0.0477
results_ktlint_None_indent;0.0585
results_ktlint_None_curly-spacing;0.0606
results_ktlint_None_dot-spacing;0.1085
