Variables,Importance
results_ktlint_None_no-consecutive-blank-lines,-0.0424
results_ktlint_None_colon-spacing,-0.0235
results_ktlint_None_no-semi,-0.0214
results_ktlint_None_curly-spacing,-0.0127
results_ktlint_None_comment-spacing,-0.0101
results_ktlint_None_paren-spacing,-0.0081
results_ktlint_None_no-empty-class-body,-0.0069
results_ktlint_None_modifier-order,-0.0023
results_ktlint_None_no-multi-spaces,-0.0018
results_ktlint_None_final-newline,-0.0010
results_ktlint_None_string-template,-0.0006
results_ktlint_None_range-spacing,-0.0002
results_ktlint_None_dot-spacing,0.0000
results_ktlint_None_no-line-break-after-else,0.0000
results_ktlint_None_no-line-break-before-assignment,0.0004
results_ktlint_None_no-unit-return,0.0023
results_ktlint_None_comma-spacing,0.0045
results_ktlint_None_parameter-list-wrapping,0.0055
results_ktlint_None_no-trailing-spaces,0.0056
results_ktlint_None_chain-wrapping,0.0058
results_ktlint_None_no-blank-line-before-rbrace,0.0082
results_ktlint_None_op-spacing,0.0083
results_ktlint_None_no-wildcard-imports,0.0109
results_ktlint_None_import-ordering,0.0132
results_ktlint_None_no-unused-imports,0.0247
results_ktlint_None_keyword-spacing,0.0280
results_ktlint_None_,0.0286
results_ktlint_None_indent,0.1052
