Variables,Importance
results_ktlint_None_string-template,-0.0232
results_ktlint_None_no-consecutive-blank-lines,-0.0096
results_ktlint_None_paren-spacing,-0.0057
results_ktlint_None_no-blank-line-before-rbrace,-0.0031
results_ktlint_None_comma-spacing,-0.0017
results_ktlint_None_range-spacing,-0.0003
results_ktlint_None_no-line-break-after-else,0.0000
results_ktlint_None_op-spacing,0.0002
results_ktlint_None_keyword-spacing,0.0003
results_ktlint_None_no-line-break-before-assignment,0.0016
results_ktlint_None_no-empty-class-body,0.0019
results_ktlint_None_no-semi,0.0024
results_ktlint_None_chain-wrapping,0.0054
results_ktlint_None_no-multi-spaces,0.0066
results_ktlint_None_no-unit-return,0.0076
results_ktlint_None_dot-spacing,0.0101
results_ktlint_None_modifier-order,0.0108
results_ktlint_None_comment-spacing,0.0124
results_ktlint_None_colon-spacing,0.0179
results_ktlint_None_parameter-list-wrapping,0.0182
results_ktlint_None_no-unused-imports,0.0204
results_ktlint_None_final-newline,0.0220
results_ktlint_None_no-trailing-spaces,0.0337
results_ktlint_None_curly-spacing,0.0341
results_ktlint_None_import-ordering,0.0502
results_ktlint_None_no-wildcard-imports,0.0801
results_ktlint_None_indent,0.0896
results_ktlint_None_,0.1300
