Variables,Importance
results_ktlint_None_,-0.0333
results_ktlint_None_final-newline,-0.0244
results_ktlint_None_modifier-order,-0.0204
results_ktlint_None_import-ordering,-0.0194
results_ktlint_None_paren-spacing,-0.0151
results_ktlint_None_no-consecutive-blank-lines,-0.0132
results_ktlint_None_curly-spacing,-0.0084
results_ktlint_None_no-multi-spaces,-0.0058
results_ktlint_None_chain-wrapping,-0.0056
results_ktlint_None_no-line-break-before-assignment,-0.0024
results_ktlint_None_indent,-0.0022
results_ktlint_None_no-line-break-after-else,0.0000
results_ktlint_None_parameter-list-wrapping,0.0013
results_ktlint_None_dot-spacing,0.0041
results_ktlint_None_range-spacing,0.0049
results_ktlint_None_op-spacing,0.0055
results_ktlint_None_no-trailing-spaces,0.0066
results_ktlint_None_comment-spacing,0.0081
results_ktlint_None_no-semi,0.0089
results_ktlint_None_no-wildcard-imports,0.0094
results_ktlint_None_no-empty-class-body,0.0099
results_ktlint_None_no-unit-return,0.0108
results_ktlint_None_no-blank-line-before-rbrace,0.0115
results_ktlint_None_string-template,0.0118
results_ktlint_None_colon-spacing,0.0139
results_ktlint_None_no-unused-imports,0.0159
results_ktlint_None_keyword-spacing,0.0175
results_ktlint_None_comma-spacing,0.0223
