Variables,Importance
results_ktlint_None_no-line-break-before-assignment,-0.0162
results_ktlint_None_parameter-list-wrapping,-0.0084
results_ktlint_None_comment-spacing,-0.0077
results_ktlint_None_no-semi,-0.0058
results_ktlint_None_no-empty-class-body,-0.0046
results_ktlint_None_comma-spacing,-0.0014
results_ktlint_None_no-line-break-after-else,0.0000
results_ktlint_None_dot-spacing,0.0000
results_ktlint_None_range-spacing,0.0000
results_ktlint_None_string-template,0.0009
results_ktlint_None_chain-wrapping,0.0011
results_ktlint_None_op-spacing,0.0012
results_ktlint_None_no-unit-return,0.0013
results_ktlint_None_no-consecutive-blank-lines,0.0054
results_ktlint_None_modifier-order,0.0080
results_ktlint_None_no-multi-spaces,0.0145
results_ktlint_None_no-trailing-spaces,0.0174
results_ktlint_None_paren-spacing,0.0185
results_ktlint_None_no-unused-imports,0.0205
results_ktlint_None_colon-spacing,0.0209
results_ktlint_None_no-blank-line-before-rbrace,0.0275
results_ktlint_None_curly-spacing,0.0299
results_ktlint_None_keyword-spacing,0.0339
results_ktlint_None_no-wildcard-imports,0.0528
results_ktlint_None_final-newline,0.0788
results_ktlint_None_import-ordering,0.0869
results_ktlint_None_indent,0.1282
results_ktlint_None_,0.1707
