Variables,Importance
results_ktlint_None_indent,-0.0037
results_ktlint_None_modifier-order,-0.0033
results_ktlint_None_range-spacing,-0.0007
results_ktlint_None_no-unit-return,-0.0004
results_ktlint_None_no-semi,0.0014
results_ktlint_None_curly-spacing,0.0017
results_ktlint_None_no-unused-imports,0.0026
results_ktlint_None_no-empty-class-body,0.0028
results_ktlint_None_parameter-list-wrapping,0.0033
results_ktlint_None_chain-wrapping,0.0036
results_ktlint_None_comment-spacing,0.0045
results_ktlint_None_no-line-break-after-else,0.0046
results_ktlint_None_colon-spacing,0.0048
results_ktlint_None_op-spacing,0.0053
results_ktlint_None_dot-spacing,0.0066
results_ktlint_None_paren-spacing,0.0068
results_ktlint_None_comma-spacing,0.0072
results_ktlint_None_no-trailing-spaces,0.0086
results_ktlint_None_import-ordering,0.0093
results_ktlint_None_no-blank-line-before-rbrace,0.0096
results_ktlint_None_string-template,0.0101
results_ktlint_None_no-line-break-before-assignment,0.0102
results_ktlint_None_final-newline,0.0109
results_ktlint_None_,0.0113
results_ktlint_None_keyword-spacing,0.0122
results_ktlint_None_no-consecutive-blank-lines,0.0135
results_ktlint_None_no-wildcard-imports,0.0155
results_ktlint_None_no-multi-spaces,0.0160
