Variables;Importance
results_ktlint_None_final-newline;-0.0319
results_ktlint_None_keyword-spacing;-0.0289
results_ktlint_None_parameter-list-wrapping;-0.0274
results_ktlint_None_no-line-break-before-assignment;-0.0163
results_ktlint_None_no-multi-spaces;-0.0121
results_ktlint_None_no-empty-class-body;-0.0036
results_ktlint_None_modifier-order;-0.0011
results_ktlint_None_no-line-break-after-else;0.0000
results_ktlint_None_paren-spacing;0.0005
results_ktlint_None_comma-spacing;0.0082
results_ktlint_None_range-spacing;0.0084
results_ktlint_None_no-unused-imports;0.0084
results_ktlint_None_no-unit-return;0.0141
results_ktlint_None_comment-spacing;0.0143
results_ktlint_None_no-blank-line-before-rbrace;0.0145
results_ktlint_None_no-semi;0.0148
results_ktlint_None_no-consecutive-blank-lines;0.0149
results_ktlint_None_op-spacing;0.0190
results_ktlint_None_chain-wrapping;0.0225
results_ktlint_None_no-trailing-spaces;0.0262
results_ktlint_None_no-wildcard-imports;0.0276
results_ktlint_None_curly-spacing;0.0279
results_ktlint_None_;0.0393
results_ktlint_None_string-template;0.0450
results_ktlint_None_import-ordering;0.0553
results_ktlint_None_dot-spacing;0.0665
results_ktlint_None_colon-spacing;0.0691
results_ktlint_None_indent;0.0941
