Variables;Importance
results_ktlint_None_indent;-0.0185
results_ktlint_None_modifier-order;-0.0163
results_ktlint_None_range-spacing;-0.0037
results_ktlint_None_no-unit-return;-0.0018
results_ktlint_None_no-semi;0.0072
results_ktlint_None_curly-spacing;0.0086
results_ktlint_None_no-unused-imports;0.0130
results_ktlint_None_no-empty-class-body;0.0138
results_ktlint_None_parameter-list-wrapping;0.0167
results_ktlint_None_chain-wrapping;0.0179
results_ktlint_None_comment-spacing;0.0227
results_ktlint_None_no-line-break-after-else;0.0229
results_ktlint_None_colon-spacing;0.0242
results_ktlint_None_op-spacing;0.0263
results_ktlint_None_dot-spacing;0.0329
results_ktlint_None_paren-spacing;0.0341
results_ktlint_None_comma-spacing;0.0359
results_ktlint_None_no-trailing-spaces;0.0431
results_ktlint_None_import-ordering;0.0463
results_ktlint_None_no-blank-line-before-rbrace;0.0482
results_ktlint_None_string-template;0.0503
results_ktlint_None_no-line-break-before-assignment;0.0512
results_ktlint_None_final-newline;0.0547
results_ktlint_None_;0.0563
results_ktlint_None_keyword-spacing;0.0608
results_ktlint_None_no-consecutive-blank-lines;0.0674
results_ktlint_None_no-wildcard-imports;0.0777
results_ktlint_None_no-multi-spaces;0.0801
