Variables;Importance
results_ktlint_None_no-unused-imports;-0.0462
results_ktlint_None_no-consecutive-blank-lines;-0.0321
results_ktlint_None_colon-spacing;-0.0241
results_ktlint_None_range-spacing;-0.0173
results_ktlint_None_no-line-break-before-assignment;-0.0166
results_ktlint_None_no-multi-spaces;-0.0139
results_ktlint_None_parameter-list-wrapping;-0.0135
results_ktlint_None_no-wildcard-imports;-0.0135
results_ktlint_None_no-empty-class-body;-0.0133
results_ktlint_None_comment-spacing;-0.0132
results_ktlint_None_op-spacing;-0.0105
results_ktlint_None_no-trailing-spaces;-0.0102
results_ktlint_None_modifier-order;-0.0058
results_ktlint_None_keyword-spacing;-0.0047
results_ktlint_None_no-unit-return;-0.0020
results_ktlint_None_paren-spacing;-0.0010
results_ktlint_None_dot-spacing;0.0000
results_ktlint_None_no-line-break-after-else;0.0000
results_ktlint_None_string-template;0.0023
results_ktlint_None_no-semi;0.0026
results_ktlint_None_import-ordering;0.0085
results_ktlint_None_curly-spacing;0.0090
results_ktlint_None_no-blank-line-before-rbrace;0.0149
results_ktlint_None_comma-spacing;0.0162
results_ktlint_None_final-newline;0.0168
results_ktlint_None_;0.0329
results_ktlint_None_chain-wrapping;0.0515
results_ktlint_None_indent;0.0612
