Variables,Importance
results_ktlint_None_no-consecutive-blank-lines,-0.0267
results_ktlint_None_no-unused-imports,-0.0188
results_ktlint_None_parameter-list-wrapping,-0.0096
results_ktlint_None_op-spacing,-0.0083
results_ktlint_None_no-multi-spaces,-0.0064
results_ktlint_None_range-spacing,-0.0032
results_ktlint_None_no-semi,-0.0028
results_ktlint_None_no-empty-class-body,-0.0014
results_ktlint_None_no-blank-line-before-rbrace,-0.0014
results_ktlint_None_no-unit-return,-0.0003
results_ktlint_None_no-line-break-after-else,0.0000
results_ktlint_None_chain-wrapping,0.0001
results_ktlint_None_dot-spacing,0.0004
results_ktlint_None_comma-spacing,0.0010
results_ktlint_None_final-newline,0.0014
results_ktlint_None_no-line-break-before-assignment,0.0038
results_ktlint_None_keyword-spacing,0.0073
results_ktlint_None_colon-spacing,0.0084
results_ktlint_None_comment-spacing,0.0094
results_ktlint_None_no-trailing-spaces,0.0100
results_ktlint_None_string-template,0.0101
results_ktlint_None_modifier-order,0.0106
results_ktlint_None_paren-spacing,0.0141
results_ktlint_None_curly-spacing,0.0282
results_ktlint_None_no-wildcard-imports,0.0364
results_ktlint_None_import-ordering,0.0499
results_ktlint_None_indent,0.0529
results_ktlint_None_,0.0950
