Variables,Importance
results_ktlint_None_import-ordering,-0.0119
results_ktlint_None_comment-spacing,-0.0093
results_ktlint_None_final-newline,-0.0083
results_ktlint_None_colon-spacing,-0.0055
results_ktlint_None_string-template,-0.0043
results_ktlint_None_no-wildcard-imports,-0.0040
results_ktlint_None_op-spacing,-0.0025
results_ktlint_None_no-consecutive-blank-lines,-0.0021
results_ktlint_None_no-semi,-0.0019
results_ktlint_None_indent,-0.0009
results_ktlint_None_no-line-break-before-assignment,-0.0005
results_ktlint_None_no-unit-return,-0.0004
results_ktlint_None_curly-spacing,-0.0003
results_ktlint_None_comma-spacing,-0.0003
results_ktlint_None_dot-spacing,0.0000
results_ktlint_None_no-line-break-after-else,0.0000
results_ktlint_None_chain-wrapping,0.0002
results_ktlint_None_modifier-order,0.0005
results_ktlint_None_range-spacing,0.0010
results_ktlint_None_,0.0014
results_ktlint_None_parameter-list-wrapping,0.0015
results_ktlint_None_no-unused-imports,0.0018
results_ktlint_None_paren-spacing,0.0031
results_ktlint_None_no-blank-line-before-rbrace,0.0056
results_ktlint_None_no-multi-spaces,0.0096
results_ktlint_None_no-empty-class-body,0.0113
results_ktlint_None_no-trailing-spaces,0.0116
results_ktlint_None_keyword-spacing,0.0139
