Variables;Importance
results_ktlint_None_chain-wrapping;-0.0524
results_ktlint_None_;-0.0498
results_ktlint_None_no-multi-spaces;-0.0378
results_ktlint_None_no-semi;-0.0331
results_ktlint_None_import-ordering;-0.0305
results_ktlint_None_curly-spacing;-0.0297
results_ktlint_None_no-empty-class-body;-0.0280
results_ktlint_None_comma-spacing;-0.0268
results_ktlint_None_no-line-break-before-assignment;-0.0252
results_ktlint_None_paren-spacing;-0.0182
results_ktlint_None_no-consecutive-blank-lines;-0.0152
results_ktlint_None_no-trailing-spaces;-0.0150
results_ktlint_None_no-blank-line-before-rbrace;-0.0135
results_ktlint_None_keyword-spacing;-0.0114
results_ktlint_None_indent;-0.0110
results_ktlint_None_no-unused-imports;-0.0056
results_ktlint_None_string-template;-0.0037
results_ktlint_None_colon-spacing;-0.0026
results_ktlint_None_modifier-order;-0.0002
results_ktlint_None_comment-spacing;0.0006
results_ktlint_None_no-line-break-after-else;0.0008
results_ktlint_None_dot-spacing;0.0086
results_ktlint_None_range-spacing;0.0091
results_ktlint_None_no-unit-return;0.0160
results_ktlint_None_op-spacing;0.0177
results_ktlint_None_final-newline;0.0252
results_ktlint_None_parameter-list-wrapping;0.0258
results_ktlint_None_no-wildcard-imports;0.0409
