Variables;Importance
results_ktlint_None_no-wildcard-imports;-0.0230
results_ktlint_None_colon-spacing;-0.0198
results_ktlint_None_final-newline;-0.0091
results_ktlint_None_modifier-order;-0.0061
results_ktlint_None_chain-wrapping;-0.0042
results_ktlint_None_no-line-break-after-else;-0.0028
results_ktlint_None_range-spacing;-0.0026
results_ktlint_None_no-consecutive-blank-lines;0.0010
results_ktlint_None_comment-spacing;0.0012
results_ktlint_None_op-spacing;0.0017
results_ktlint_None_no-blank-line-before-rbrace;0.0021
results_ktlint_None_parameter-list-wrapping;0.0027
results_ktlint_None_keyword-spacing;0.0034
results_ktlint_None_paren-spacing;0.0043
results_ktlint_None_no-trailing-spaces;0.0070
results_ktlint_None_no-unused-imports;0.0082
results_ktlint_None_dot-spacing;0.0082
results_ktlint_None_string-template;0.0100
results_ktlint_None_import-ordering;0.0103
results_ktlint_None_comma-spacing;0.0107
results_ktlint_None_no-empty-class-body;0.0130
results_ktlint_None_no-semi;0.0132
results_ktlint_None_no-unit-return;0.0180
results_ktlint_None_no-multi-spaces;0.0199
results_ktlint_None_no-line-break-before-assignment;0.0236
results_ktlint_None_curly-spacing;0.0363
results_ktlint_None_indent;0.0550
results_ktlint_None_;0.0600
