Variables,Importance
results_ktlint_None_keyword-spacing,-0.0303
results_ktlint_None_no-trailing-spaces,-0.0184
results_ktlint_None_no-semi,-0.0176
results_ktlint_None_no-wildcard-imports,-0.0174
results_ktlint_None_no-consecutive-blank-lines,-0.0107
results_ktlint_None_comma-spacing,-0.0104
results_ktlint_None_no-unit-return,-0.0092
results_ktlint_None_string-template,-0.0074
results_ktlint_None_import-ordering,-0.0061
results_ktlint_None_chain-wrapping,-0.0054
results_ktlint_None_modifier-order,-0.0040
results_ktlint_None_comment-spacing,-0.0021
results_ktlint_None_no-empty-class-body,-0.0017
results_ktlint_None_no-line-break-before-assignment,-0.0016
results_ktlint_None_dot-spacing,-0.0004
results_ktlint_None_no-line-break-after-else,0.0000
results_ktlint_None_paren-spacing,0.0001
results_ktlint_None_range-spacing,0.0039
results_ktlint_None_no-multi-spaces,0.0060
results_ktlint_None_parameter-list-wrapping,0.0066
results_ktlint_None_no-blank-line-before-rbrace,0.0083
results_ktlint_None_colon-spacing,0.0110
results_ktlint_None_final-newline,0.0135
results_ktlint_None_curly-spacing,0.0185
results_ktlint_None_op-spacing,0.0281
results_ktlint_None_no-unused-imports,0.0327
results_ktlint_None_,0.0477
results_ktlint_None_indent,0.0658
