Variables,Importance
results_ktlint_None_no-consecutive-blank-lines,-0.0160
results_ktlint_None_colon-spacing,-0.0126
results_ktlint_None_final-newline,-0.0067
results_ktlint_None_import-ordering,-0.0055
results_ktlint_None_parameter-list-wrapping,-0.0052
results_ktlint_None_string-template,-0.0036
results_ktlint_None_modifier-order,-0.0012
results_ktlint_None_paren-spacing,-0.0011
results_ktlint_None_no-semi,-0.0007
results_ktlint_None_keyword-spacing,-0.0002
results_ktlint_None_op-spacing,-0.0001
results_ktlint_None_range-spacing,-0.0000
results_ktlint_None_no-line-break-after-else,0.0000
results_ktlint_None_no-blank-line-before-rbrace,0.0012
results_ktlint_None_comma-spacing,0.0023
results_ktlint_None_dot-spacing,0.0028
results_ktlint_None_no-empty-class-body,0.0044
results_ktlint_None_no-line-break-before-assignment,0.0048
results_ktlint_None_comment-spacing,0.0057
results_ktlint_None_curly-spacing,0.0063
results_ktlint_None_no-unit-return,0.0076
results_ktlint_None_chain-wrapping,0.0083
results_ktlint_None_no-trailing-spaces,0.0088
results_ktlint_None_indent,0.0091
results_ktlint_None_no-wildcard-imports,0.0111
results_ktlint_None_no-multi-spaces,0.0149
results_ktlint_None_no-unused-imports,0.0200
results_ktlint_None_,0.0211
