Predicted,Actual
1585683.7959,4709.0000
1585683.7959,71375.0000
1585683.7959,741.0000
1585683.7959,13482.0000
1585683.7959,5439011.0000
1585683.7959,248434.0000
1585683.7959,788007.0000
1585683.7959,1933.0000
1585683.7959,5497769.0000
1585683.7959,10022.0000
1585683.7959,17270.0000
1585683.7959,24468.0000
1585683.7959,5164452.0000
1585683.7959,368093.0000
1585683.7959,117229.0000
1585683.7959,808372.0000
1585683.7959,406037.0000
1585683.7959,250048.0000
1585683.7959,695621.0000
1585683.7959,701937.0000
1585683.7959,2043.0000
1585683.7959,63545.0000
1585683.7959,641.0000
18413339.0870,56580262.0000
1585683.7959,38700.0000
1585683.7959,360837.0000
1585683.7959,14134.0000
1585683.7959,513.0000
1585683.7959,245713.0000
1585683.7959,795018.0000
1585683.7959,1926.0000
1585683.7959,5946.0000
1585683.7959,18383.0000
1585683.7959,1170022.0000
1585683.7959,8532.0000
1585683.7959,27235.0000
1585683.7959,17149.0000
1585683.7959,25749.0000
1585683.7959,1656.0000
1585683.7959,3929.0000
1585683.7959,10095.0000
1585683.7959,54172.0000
1585683.7959,78655.0000
1585683.7959,172379.0000
1585683.7959,88867.0000
1585683.7959,115154.0000
1585683.7959,76061.0000
1585683.7959,1209581.0000
1585683.7959,33309.0000
1585683.7959,161536.0000
1585683.7959,856237.0000
1585683.7959,3204.0000
1585683.7959,62648.0000
1585683.7959,1817821.0000
1585683.7959,3741.0000
1585683.7959,301989.0000
1585683.7959,71567.0000
1585683.7959,9749042.0000
1585683.7959,267371.0000
1585683.7959,53860.0000
1585683.7959,94531.0000
1585683.7959,1040113.0000
1585683.7959,158641.0000
1585683.7959,895.0000
1585683.7959,66301.0000
1585683.7959,819545.0000
1585683.7959,261.0000
1585683.7959,224100.0000
1585683.7959,2558581.0000
1585683.7959,10929.0000
1585683.7959,24573.0000
1585683.7959,2444.0000
1585683.7959,588454.0000
1585683.7959,432791.0000
1585683.7959,29409.0000
1585683.7959,527203.0000
1585683.7959,8235.0000
18413339.0870,47108953.0000
1585683.7959,2423.0000
1585683.7959,4333113.0000
1585683.7959,410024.0000
1585683.7959,1286.0000
1585683.7959,268820.0000
1585683.7959,6190.0000
1585683.7959,12284.0000
1585683.7959,13685.0000
18413339.0870,511383.0000
1585683.7959,182586.0000
1585683.7959,87548.0000
1585683.7959,434550.0000
1585683.7959,373013.0000
1585683.7959,127638.0000
1585683.7959,6983.0000
1585683.7959,242940.0000
1585683.7959,1538.0000
1585683.7959,27497.0000
1585683.7959,93055.0000
1585683.7959,1263.0000
1585683.7959,274599.0000
1585683.7959,1566715.0000
1585683.7959,16985173.0000
1585683.7959,2897226.0000
1585683.7959,236461.0000
1585683.7959,275544.0000
1585683.7959,71.0000
1585683.7959,3950785.0000
1585683.7959,431217.0000
1585683.7959,498.0000
1585683.7959,80498.0000
1585683.7959,349565.0000
1585683.7959,1505479.0000
1585683.7959,18420973.0000
1585683.7959,10952.0000
1585683.7959,159585.0000
1585683.7959,8537713.0000
1585683.7959,433299.0000
1585683.7959,106561.0000
1585683.7959,83283.0000
1585683.7959,1675325.0000
1585683.7959,792093.0000
1585683.7959,1039.0000
1585683.7959,88634.0000
1585683.7959,11979359.0000
1585683.7959,346676.0000
1585683.7959,23318.0000
1585683.7959,4905.0000
1585683.7959,188786.0000
1585683.7959,110636.0000
1585683.7959,16666.0000
1585683.7959,9840.0000
1585683.7959,5457.0000
1585683.7959,3101536.0000
1585683.7959,82868.0000
1585683.7959,6651671.0000
1585683.7959,386.0000
1585683.7959,5101542.0000
1585683.7959,269269.0000
1585683.7959,1785.0000
1585683.7959,4500019.0000
1585683.7959,64862.0000
1585683.7959,104.0000
1585683.7959,4026.0000
1585683.7959,4484050.0000
1585683.7959,6326.0000
1585683.7959,11198.0000
1585683.7959,1977854.0000
1585683.7959,13840.0000
1585683.7959,622098.0000
1585683.7959,846196.0000
1585683.7959,1884646.0000
1585683.7959,4123581.0000
1585683.7959,8429.0000
1585683.7959,69518.0000
1585683.7959,58817.0000
1585683.7959,80733.0000
1585683.7959,308179.0000
1585683.7959,36509.0000
1585683.7959,20735.0000
1585683.7959,2135.0000
1585683.7959,1127186.0000
1585683.7959,229401.0000
1585683.7959,286.0000
1585683.7959,7812360.0000
1585683.7959,617314.0000
1585683.7959,3737138.0000
1585683.7959,527245.0000
1585683.7959,193664.0000
1585683.7959,4315.0000
1585683.7959,1787281.0000
1585683.7959,174184.0000
1585683.7959,11643.0000
1585683.7959,6032.0000
1585683.7959,14359435.0000
1585683.7959,218878.0000
1585683.7959,98981.0000
1585683.7959,6478.0000
1585683.7959,1918.0000
1585683.7959,987.0000
1585683.7959,40972.0000
1585683.7959,104358.0000
1585683.7959,3417.0000
1585683.7959,1543.0000
1585683.7959,504.0000
1585683.7959,112049.0000
1585683.7959,696074.0000
1585683.7959,58.0000
1585683.7959,153991.0000
1585683.7959,5122.0000
1585683.7959,31408.0000
1585683.7959,1023798.0000
1585683.7959,37368768.0000
1585683.7959,985.0000
1585683.7959,119876.0000
1585683.7959,704.0000
1585683.7959,93179.0000
1585683.7959,5023.0000
1585683.7959,924.0000
1585683.7959,81002.0000
1585683.7959,565419.0000
1585683.7959,64636.0000
1585683.7959,52037.0000
1585683.7959,203876.0000
1585683.7959,12188.0000
1585683.7959,17.0000
1585683.7959,6938.0000
1585683.7959,6561.0000
1585683.7959,154804.0000
1585683.7959,1670604.0000
1585683.7959,78783.0000
1585683.7959,6439.0000
1585683.7959,30141.0000
1585683.7959,167563.0000
1585683.7959,185896.0000
1585683.7959,10411788.0000
1585683.7959,350702.0000
1585683.7959,1527.0000
1585683.7959,1582458.0000
1585683.7959,18946.0000
1585683.7959,1034.0000
1585683.7959,1288350.0000
1585683.7959,69378.0000
1585683.7959,409956.0000
1585683.7959,1405.0000
1585683.7959,16.0000
1585683.7959,498900.0000
1585683.7959,122501.0000
1585683.7959,431414.0000
1585683.7959,12786671.0000
1585683.7959,86150.0000
1585683.7959,1161470.0000
1585683.7959,58462.0000
1585683.7959,37412558.0000
1585683.7959,3057650.0000
1585683.7959,586784.0000
1585683.7959,153.0000
1585683.7959,2999842.0000
1585683.7959,1405329.0000
1585683.7959,1294.0000
1585683.7959,2055714.0000
1585683.7959,633246.0000
1585683.7959,1019577.0000
1585683.7959,19992.0000
1585683.7959,28546014.0000
1585683.7959,6644714.0000
1585683.7959,78617.0000
1585683.7959,330584.0000
1585683.7959,11515.0000
1585683.7959,1039183.0000
1585683.7959,2109.0000
1585683.7959,143627.0000
1585683.7959,612.0000
1585683.7959,70850.0000
1585683.7959,79700.0000
1585683.7959,66286.0000
1585683.7959,47613.0000
1585683.7959,1873462.0000
1585683.7959,39853.0000
1585683.7959,1503.0000
1585683.7959,3713731.0000
1585683.7959,1883144.0000
1585683.7959,132636.0000
1585683.7959,412904.0000
1585683.7959,5279.0000
1585683.7959,38.0000
1585683.7959,129239.0000
1585683.7959,20328.0000
1585683.7959,5.0000
1585683.7959,5100.0000
1585683.7959,24936217.0000
1585683.7959,705.0000
1585683.7959,412718.0000
1585683.7959,32983.0000
1585683.7959,3972824.0000
1585683.7959,111116.0000
1585683.7959,11732.0000
1585683.7959,3854.0000
1585683.7959,9737.0000
1585683.7959,212822.0000
1585683.7959,250145.0000
1585683.7959,1462194.0000
1585683.7959,132193.0000
1585683.7959,79394.0000
1585683.7959,59806.0000
1585683.7959,678.0000
1585683.7959,224328.0000
1585683.7959,77176.0000
1585683.7959,2587.0000
1585683.7959,32589.0000
1585683.7959,641.0000
1585683.7959,514860.0000
1585683.7959,99240.0000
1585683.7959,1641.0000
1585683.7959,28584.0000
1585683.7959,139457.0000
1585683.7959,1254228.0000
1585683.7959,1042803.0000
1585683.7959,405085.0000
1585683.7959,37841.0000
1585683.7959,18871.0000
1585683.7959,68812.0000
1585683.7959,251456.0000
1585683.7959,27189.0000
96300676.0000,111766538.0000
1585683.7959,2108.0000
1585683.7959,6642996.0000
1585683.7959,228934.0000
1585683.7959,1091122.0000
1585683.7959,2158.0000
1585683.7959,2946907.0000
1585683.7959,13979.0000
1585683.7959,1281565.0000
1585683.7959,66584.0000
1585683.7959,533051.0000
1585683.7959,30993262.0000
18413339.0870,57795267.0000
1585683.7959,17685.0000
1585683.7959,1423.0000
1585683.7959,22382.0000
1585683.7959,123363.0000
1585683.7959,157777.0000
1585683.7959,500.0000
1585683.7959,27643.0000
1585683.7959,15580.0000
1585683.7959,194.0000
1585683.7959,161230.0000
1585683.7959,3186492.0000
18413339.0870,44.0000
1585683.7959,7957.0000
1585683.7959,144643.0000
1585683.7959,25292.0000
1585683.7959,21727.0000
1585683.7959,1048.0000
1585683.7959,3716.0000
1585683.7959,77329.0000
1585683.7959,2530.0000
1585683.7959,852362.0000
1585683.7959,95444.0000
1585683.7959,83785.0000
1585683.7959,2373971.0000
1585683.7959,16514.0000
1585683.7959,74996.0000
1585683.7959,416077.0000
1585683.7959,2755.0000
1585683.7959,620.0000
1585683.7959,38252.0000
1585683.7959,9121.0000
1585683.7959,490279.0000
1585683.7959,1420.0000
1585683.7959,403086.0000
1585683.7959,1248.0000
1585683.7959,187910.0000
1585683.7959,3163.0000
1585683.7959,1658324.0000
1585683.7959,683922.0000
1585683.7959,402.0000
1585683.7959,2076.0000
1585683.7959,15011.0000
1585683.7959,25859.0000
1585683.7959,347361.0000
1585683.7959,106135.0000
1585683.7959,2772.0000
1585683.7959,30401.0000
1585683.7959,3871.0000
1585683.7959,144716.0000
1585683.7959,83102.0000
1585683.7959,9104.0000
1585683.7959,56826.0000
1585683.7959,55790.0000
1585683.7959,477.0000
1585683.7959,41286.0000
1585683.7959,6215964.0000
1585683.7959,279.0000
1585683.7959,5389.0000
