Issue,Importance
results_ktlint_None_no-unused-imports,0.01301473
results_ktlint_None_indent,0.09533088
results_ktlint_None_final-newline,0.05749745
results_ktlint_None_no-multi-spaces,-0.00978845
results_ktlint_None_comma-spacing,0.00367428
results_ktlint_None_parameter-list-wrapping,0.02508264
results_ktlint_None_no-unit-return,0.00043183
results_ktlint_None_no-trailing-spaces,0.03344055
results_ktlint_None_curly-spacing,-0.00672411
results_ktlint_None_import-ordering,0.03146430
results_ktlint_None_no-wildcard-imports,0.08873771
results_ktlint_None_no-consecutive-blank-lines,0.01817729
results_ktlint_None_comment-spacing,0.06763869
results_ktlint_None_string-template,0.00572369
results_ktlint_None_keyword-spacing,-0.00227869
results_ktlint_None_colon-spacing,0.00012093
results_ktlint_None_chain-wrapping,0.00621448
results_ktlint_None_no-blank-line-before-rbrace,0.00884613
results_ktlint_None_op-spacing,0.00269148
results_ktlint_None_no-semi,0.01181788
results_ktlint_None_paren-spacing,0.01592133
results_ktlint_None_modifier-order,0.00084624
results_ktlint_None_no-empty-class-body,0.00157279
results_ktlint_None_no-line-break-before-assignment,-0.00019131
results_ktlint_None_,0.00059181
results_ktlint_None_dot-spacing,0.00000948
results_ktlint_None_range-spacing,0.00002968
results_ktlint_None_no-line-break-after-else,0.00000000
