Issue,Importance
results_ktlint_None_no-unused-imports,0.02154905
results_ktlint_None_indent,0.49831065
results_ktlint_None_final-newline,0.00735936
results_ktlint_None_no-multi-spaces,0.05008664
results_ktlint_None_comma-spacing,0.00131814
results_ktlint_None_parameter-list-wrapping,0.15560670
results_ktlint_None_no-unit-return,0.00038385
results_ktlint_None_no-trailing-spaces,0.01027383
results_ktlint_None_curly-spacing,0.03061377
results_ktlint_None_import-ordering,-0.05241783
results_ktlint_None_no-wildcard-imports,0.03103503
results_ktlint_None_no-consecutive-blank-lines,-0.03436593
results_ktlint_None_comment-spacing,0.00533700
results_ktlint_None_string-template,0.00420630
results_ktlint_None_keyword-spacing,-0.00102732
results_ktlint_None_colon-spacing,0.00129436
results_ktlint_None_chain-wrapping,-0.01328575
results_ktlint_None_no-blank-line-before-rbrace,0.03326288
results_ktlint_None_op-spacing,0.00359708
results_ktlint_None_no-semi,-0.00003119
results_ktlint_None_paren-spacing,0.00530800
results_ktlint_None_modifier-order,-0.00014046
results_ktlint_None_no-empty-class-body,0.00000130
results_ktlint_None_no-line-break-before-assignment,0.00000264
results_ktlint_None_,0.00106614
results_ktlint_None_dot-spacing,0.00004189
results_ktlint_None_range-spacing,0.00001581
results_ktlint_None_no-line-break-after-else,0.00000000
