Predicted,Actual
3394823.4144,4709.0000
1562187.9981,71375.0000
1615113.4176,741.0000
1604087.2886,13482.0000
1399284.7008,5439011.0000
1579687.5332,248434.0000
2730736.3448,788007.0000
1615113.4176,1933.0000
1065265.7926,5497769.0000
1615113.4176,10022.0000
1650539.3020,17270.0000
1608497.7402,24468.0000
-12272951.8178,5164452.0000
1615113.4176,368093.0000
1838913.7329,117229.0000
1578562.3068,808372.0000
1562187.9981,406037.0000
1988431.3298,250048.0000
1615113.4176,695621.0000
1005404.9524,701937.0000
1807544.9174,2043.0000
1615113.4176,63545.0000
1615113.4176,641.0000
20010351.6807,56580262.0000
1574181.2520,38700.0000
2162040.1911,360837.0000
1601882.0627,14134.0000
1615113.4176,513.0000
646493.9843,245713.0000
1623934.3209,795018.0000
1920294.1290,1926.0000
1615113.4176,5946.0000
1615113.4176,18383.0000
2079364.2766,1170022.0000
1615113.4176,8532.0000
1576906.2306,27235.0000
1299907.8326,17149.0000
1615113.4176,25749.0000
1526904.3850,1656.0000
1615113.4176,3929.0000
1914832.2835,10095.0000
1615113.4176,54172.0000
2265365.0109,78655.0000
1523435.1673,172379.0000
-833253.5734,88867.0000
1571008.9013,115154.0000
1619523.8693,76061.0000
1676718.0339,1209581.0000
1606292.5144,33309.0000
1601882.0627,161536.0000
2308222.8769,856237.0000
1744622.0410,3204.0000
1656045.5832,62648.0000
1615113.4176,1817821.0000
1521775.3731,3741.0000
1615113.4176,301989.0000
1615113.4176,71567.0000
1615113.4176,9749042.0000
1615113.4176,267371.0000
1608497.7402,53860.0000
1615113.4176,94531.0000
1440819.3785,1040113.0000
1615113.4176,158641.0000
1608497.7402,895.0000
1663323.7574,66301.0000
1467363.2880,819545.0000
1619523.8693,261.0000
1872414.2143,224100.0000
1595266.3853,2558581.0000
11359950.0304,10929.0000
1615113.4176,24573.0000
2888860.2198,2444.0000
1656045.5832,588454.0000
1274467.2395,432791.0000
1615113.4176,29409.0000
1615113.4176,527203.0000
1533522.5005,8235.0000
45407972.0182,47108953.0000
1615113.4176,2423.0000
1553508.8013,4333113.0000
1692072.4460,410024.0000
1612908.1918,1286.0000
1615113.4176,268820.0000
1564393.2239,6190.0000
1615113.4176,12284.0000
1615113.4176,13685.0000
3808877.7553,511383.0000
1612908.1918,182586.0000
1615113.4176,87548.0000
1615113.4176,434550.0000
1615113.4176,373013.0000
1113539.5957,127638.0000
1189504.8354,6983.0000
3125678.6525,242940.0000
1402558.1111,1538.0000
1637165.6758,27497.0000
1576386.4779,93055.0000
468200.0304,1263.0000
1575915.0071,274599.0000
628829.6114,1566715.0000
5329972.7163,16985173.0000
1615113.4176,2897226.0000
1615113.4176,236461.0000
1782265.8340,275544.0000
1533200.8619,71.0000
1760709.7599,3950785.0000
1047216.6755,431217.0000
1615113.4176,498.0000
1615113.4176,80498.0000
741256.0910,349565.0000
1615113.4176,1505479.0000
5300928.9385,18420973.0000
1612908.1918,10952.0000
1253401.3953,159585.0000
1660050.9857,8537713.0000
1615113.4176,433299.0000
1554982.0727,106561.0000
1615113.4176,83283.0000
1603203.1352,1675325.0000
1623438.6668,792093.0000
1508955.9564,1039.0000
1615113.4176,88634.0000
1615113.4176,11979359.0000
959519.2963,346676.0000
1555630.7750,23318.0000
1615113.4176,4905.0000
2132891.8617,188786.0000
1442068.3400,110636.0000
1612908.1918,16666.0000
1615113.4176,9840.0000
1615113.4176,5457.0000
1574181.2520,3101536.0000
1615113.4176,82868.0000
1576410.6612,6651671.0000
1615113.4176,386.0000
785453.1708,5101542.0000
1615113.4176,269269.0000
1096940.1981,1785.0000
7215772.5640,4500019.0000
1615113.4176,64862.0000
1698911.9986,104.0000
1615113.4176,4026.0000
-12590946.3025,4484050.0000
1648191.8048,6326.0000
1617318.6434,11198.0000
1865038.9272,1977854.0000
1626139.5467,13840.0000
1615113.4176,622098.0000
1615113.4176,846196.0000
1448116.8365,1884646.0000
1448048.2458,4123581.0000
1648191.8048,8429.0000
1595762.0394,69518.0000
1615113.4176,58817.0000
1369703.8178,80733.0000
1243694.4658,308179.0000
1595762.0394,36509.0000
2395531.5937,20735.0000
7281065.0745,2135.0000
1876705.6649,1127186.0000
1615113.4176,229401.0000
1597471.6111,286.0000
1625643.8926,7812360.0000
1228626.3773,617314.0000
1634464.7959,3737138.0000
1615113.4176,527245.0000
1542725.2441,193664.0000
1424744.8723,4315.0000
1575419.3530,1787281.0000
1688127.2993,174184.0000
1634960.4500,11643.0000
1573214.1271,6032.0000
980696.4695,14359435.0000
1615113.4176,218878.0000
1613750.9283,98981.0000
