Predicted,Actual
3309111.3430,4709.0000
1558095.5094,71375.0000
1609825.6003,741.0000
1599048.4980,13482.0000
1391367.8245,5439011.0000
1573831.9884,248434.0000
2647726.9316,788007.0000
1609825.6003,1933.0000
1040138.1016,5497769.0000
1609825.6003,10022.0000
1645819.2121,17270.0000
1603359.3389,24468.0000
-11109983.3206,5164452.0000
1609825.6003,368093.0000
1843570.2091,117229.0000
1739424.1306,808372.0000
1558095.5094,406037.0000
1636355.7158,250048.0000
1609825.6003,695621.0000
74113.2929,701937.0000
1812255.2359,2043.0000
1609825.6003,63545.0000
1609825.6003,641.0000
21062638.6779,56580262.0000
1575736.9343,38700.0000
2207960.2036,360837.0000
1596893.0776,14134.0000
1609825.6003,513.0000
610259.4677,245713.0000
1618447.2821,795018.0000
1889544.3241,1926.0000
1609825.6003,5946.0000
1609825.6003,18383.0000
2107318.4404,1170022.0000
1609825.6003,8532.0000
1585910.6328,27235.0000
1297987.1897,17149.0000
1609825.6003,25749.0000
1523608.7821,1656.0000
1609825.6003,3929.0000
1913191.7375,10095.0000
1609825.6003,54172.0000
2239757.5568,78655.0000
1558078.2074,172379.0000
-762118.6285,88867.0000
1566717.1912,115154.0000
1614136.4412,76061.0000
1673790.6586,1209581.0000
1601203.9185,33309.0000
1596893.0776,161536.0000
1998481.0192,856237.0000
1740450.4235,3204.0000
1643914.2663,62648.0000
1609825.6003,1817821.0000
1508003.1707,3741.0000
1609825.6003,301989.0000
1609825.6003,71567.0000
1609825.6003,9749042.0000
1609825.6003,267371.0000
1603359.3389,53860.0000
1609825.6003,94531.0000
1425778.4152,1040113.0000
1609825.6003,158641.0000
1603359.3389,895.0000
1484207.9474,66301.0000
1465412.4298,819545.0000
1614136.4412,261.0000
1888215.7910,224100.0000
1590426.8162,2558581.0000
11007116.0245,10929.0000
1609825.6003,24573.0000
2513514.1978,2444.0000
1643914.2663,588454.0000
1290531.5051,432791.0000
1609825.6003,29409.0000
1609825.6003,527203.0000
1538072.5804,8235.0000
45319948.0344,47108953.0000
1609825.6003,2423.0000
1545860.5420,4333113.0000
1693213.6819,410024.0000
1607670.1798,1286.0000
1609825.6003,268820.0000
1560250.9298,6190.0000
1609825.6003,12284.0000
1609825.6003,13685.0000
3441239.5218,511383.0000
1607670.1798,182586.0000
1609825.6003,87548.0000
1609825.6003,434550.0000
1609825.6003,373013.0000
1124021.7169,127638.0000
1193829.4525,6983.0000
3158369.4620,242940.0000
1393863.9292,1538.0000
1631379.8048,27497.0000
1577892.3547,93055.0000
435520.2802,1263.0000
1572167.1190,274599.0000
751886.7233,1566715.0000
5247615.5499,16985173.0000
1609825.6003,2897226.0000
1609825.6003,236461.0000
1631617.7198,275544.0000
1530701.9863,71.0000
1729420.0374,3950785.0000
1026066.4313,431217.0000
1609825.6003,498.0000
1609825.6003,80498.0000
728085.9945,349565.0000
1609825.6003,1505479.0000
5284266.6946,18420973.0000
1607670.1798,10952.0000
1282030.2621,159585.0000
1632090.8851,8537713.0000
1609825.6003,433299.0000
1415023.9793,106561.0000
1609825.6003,83283.0000
1608509.7726,1675325.0000
1617308.1952,792093.0000
1482578.6499,1039.0000
1609825.6003,88634.0000
1609825.6003,11979359.0000
979367.2230,346676.0000
1503044.5694,23318.0000
1609825.6003,4905.0000
2110745.8009,188786.0000
1443591.5878,110636.0000
1607670.1798,16666.0000
1609825.6003,9840.0000
1609825.6003,5457.0000
1575736.9343,3101536.0000
1609825.6003,82868.0000
1573306.2058,6651671.0000
1609825.6003,386.0000
788802.3034,5101542.0000
1609825.6003,269269.0000
846344.2215,1785.0000
7454358.9980,4500019.0000
1609825.6003,64862.0000
1691731.5776,104.0000
1609825.6003,4026.0000
-15211943.7955,4484050.0000
1642156.9071,6326.0000
1611981.0207,11198.0000
1853908.2100,1977854.0000
1620602.7026,13840.0000
1609825.6003,622098.0000
1609825.6003,846196.0000
1375376.2362,1884646.0000
1400752.1239,4123581.0000
1642156.9071,8429.0000
1591565.9030,69518.0000
1609825.6003,58817.0000
1352475.1658,80733.0000
1271496.3107,308179.0000
1591565.9030,36509.0000
2335201.7322,20735.0000
7076341.3534,2135.0000
1926127.9019,1127186.0000
1609825.6003,229401.0000
1592582.2366,286.0000
1619463.6157,7812360.0000
1020106.7423,617314.0000
1628085.2975,3737138.0000
1609825.6003,527245.0000
1551095.5655,193664.0000
1408044.5006,4315.0000
1571028.0321,1787281.0000
1683001.3588,174184.0000
1629224.3844,11643.0000
1568872.6116,6032.0000
961490.7776,14359435.0000
