Issue,Importance
results_ktlint_None_no-unused-imports,0.01058664
results_ktlint_None_indent,0.08640357
results_ktlint_None_final-newline,0.05311249
results_ktlint_None_no-multi-spaces,-0.00903169
results_ktlint_None_comma-spacing,0.00377842
results_ktlint_None_parameter-list-wrapping,0.02383013
results_ktlint_None_no-unit-return,-0.00041477
results_ktlint_None_no-trailing-spaces,0.03785115
results_ktlint_None_curly-spacing,-0.00162721
results_ktlint_None_import-ordering,0.04027590
results_ktlint_None_no-wildcard-imports,0.09064303
results_ktlint_None_no-consecutive-blank-lines,0.01957141
results_ktlint_None_comment-spacing,0.06841882
results_ktlint_None_string-template,0.00596750
results_ktlint_None_keyword-spacing,-0.00256770
results_ktlint_None_colon-spacing,0.00021566
results_ktlint_None_chain-wrapping,0.00603568
results_ktlint_None_no-blank-line-before-rbrace,0.01375313
results_ktlint_None_op-spacing,0.00468553
results_ktlint_None_no-semi,0.01079713
results_ktlint_None_paren-spacing,0.01974567
results_ktlint_None_modifier-order,0.00029399
results_ktlint_None_no-empty-class-body,0.00038384
results_ktlint_None_no-line-break-before-assignment,-0.00028794
results_ktlint_None_,0.00129492
results_ktlint_None_dot-spacing,0.00004666
results_ktlint_None_range-spacing,0.00002340
results_ktlint_None_no-line-break-after-else,0.00000000
