Predicted,Actual
1983692.3980,4709.0000
156310.9593,71375.0000
1106114.6320,741.0000
3973553.2921,13482.0000
1094557.4857,5439011.0000
168611.7269,248434.0000
911302.9425,788007.0000
1106114.6320,1933.0000
1509264.3583,5497769.0000
1106114.6320,10022.0000
3983090.5265,17270.0000
303493.6689,24468.0000
17172129.5892,5164452.0000
1106114.6320,368093.0000
743530.1567,117229.0000
3734752.3791,808372.0000
156310.9593,406037.0000
9951339.2500,250048.0000
1106114.6320,695621.0000
4206024.7433,701937.0000
7184.8800,2043.0000
1106114.6320,63545.0000
1106114.6320,641.0000
32112052.8900,56580262.0000
1691052.6424,38700.0000
368019.8644,360837.0000
688471.9589,14134.0000
1106114.6320,513.0000
4583378.8083,245713.0000
555857.4219,795018.0000
201385.3471,1926.0000
1106114.6320,5946.0000
1106114.6320,18383.0000
7257108.4561,1170022.0000
1106114.6320,8532.0000
584539.8753,27235.0000
3971127.3033,17149.0000
1106114.6320,25749.0000
458429.2477,1656.0000
1106114.6320,3929.0000
1885668.5583,10095.0000
1106114.6320,54172.0000
45364.3465,78655.0000
3757089.2100,172379.0000
100860.3600,88867.0000
53719.2285,115154.0000
191411.2609,76061.0000
568903.8120,1209581.0000
1289323.3821,33309.0000
688471.9589,161536.0000
4953091.2888,856237.0000
100109.0788,3204.0000
891391.9874,62648.0000
1106114.6320,1817821.0000
1320836.8701,3741.0000
1106114.6320,301989.0000
1106114.6320,71567.0000
1106114.6320,9749042.0000
1106114.6320,267371.0000
303493.6689,53860.0000
1106114.6320,94531.0000
3801173.7121,1040113.0000
1106114.6320,158641.0000
303493.6689,895.0000
2438047.6365,66301.0000
30722.8072,819545.0000
191411.2609,261.0000
712904.0400,224100.0000
264471.8948,2558581.0000
5134298.8167,10929.0000
1106114.6320,24573.0000
5469429.9250,2444.0000
891391.9874,588454.0000
8626190.4000,432791.0000
1106114.6320,29409.0000
1106114.6320,527203.0000
6702806.5369,8235.0000
35344916.8750,47108953.0000
1106114.6320,2423.0000
660501.7527,4333113.0000
4079853.8526,410024.0000
1496281.1805,1286.0000
1106114.6320,268820.0000
66122.3915,6190.0000
1106114.6320,12284.0000
1106114.6320,13685.0000
5020882.4400,511383.0000
1496281.1805,182586.0000
1106114.6320,87548.0000
1106114.6320,434550.0000
1106114.6320,373013.0000
3040226.1083,127638.0000
607796.8100,6983.0000
803345.5600,242940.0000
412731.9304,1538.0000
684230.4680,27497.0000
9222176.1165,93055.0000
60490.5800,1263.0000
966480.3717,274599.0000
5796229.4217,1566715.0000
1722828.8000,16985173.0000
1106114.6320,2897226.0000
1106114.6320,236461.0000
3368454.0343,275544.0000
227114.6683,71.0000
1707071.5024,3950785.0000
1821545.1533,431217.0000
1106114.6320,498.0000
1106114.6320,80498.0000
1729712.0300,349565.0000
1106114.6320,1505479.0000
637920.0300,18420973.0000
1496281.1805,10952.0000
1100555.1200,159585.0000
6314060.1592,8537713.0000
1106114.6320,433299.0000
1313591.0595,106561.0000
1106114.6320,83283.0000
272492.2284,1675325.0000
3644081.3669,792093.0000
1498765.1401,1039.0000
1106114.6320,88634.0000
1106114.6320,11979359.0000
1091197.9900,346676.0000
214768.0131,23318.0000
1106114.6320,4905.0000
148609.0583,188786.0000
3820553.6111,110636.0000
1496281.1805,16666.0000
1106114.6320,9840.0000
1106114.6320,5457.0000
1691052.6424,3101536.0000
1106114.6320,82868.0000
