Predicted,Actual
1590216.1430,4709.0000
1590216.1430,71375.0000
1590216.1430,741.0000
1590216.1430,13482.0000
1590216.1430,5439011.0000
1590216.1430,248434.0000
1590216.1430,788007.0000
1590216.1430,1933.0000
1590216.1430,5497769.0000
1590216.1430,10022.0000
1590216.1430,17270.0000
1590216.1430,24468.0000
1590216.1430,5164452.0000
1590216.1430,368093.0000
1590216.1430,117229.0000
1590216.1430,808372.0000
1590216.1430,406037.0000
1590216.1430,250048.0000
1590216.1430,695621.0000
1590216.1430,701937.0000
1590216.1430,2043.0000
1590216.1430,63545.0000
1590216.1430,641.0000
13136758.3125,56580262.0000
1590216.1430,38700.0000
1590216.1430,360837.0000
1590216.1430,14134.0000
1590216.1430,513.0000
1590216.1430,245713.0000
1590216.1430,795018.0000
1590216.1430,1926.0000
1590216.1430,5946.0000
1590216.1430,18383.0000
1590216.1430,1170022.0000
1590216.1430,8532.0000
1590216.1430,27235.0000
1590216.1430,17149.0000
1590216.1430,25749.0000
1590216.1430,1656.0000
1590216.1430,3929.0000
1590216.1430,10095.0000
1590216.1430,54172.0000
1590216.1430,78655.0000
1590216.1430,172379.0000
1590216.1430,88867.0000
1590216.1430,115154.0000
1590216.1430,76061.0000
1590216.1430,1209581.0000
1590216.1430,33309.0000
1590216.1430,161536.0000
1590216.1430,856237.0000
1590216.1430,3204.0000
1590216.1430,62648.0000
1590216.1430,1817821.0000
1590216.1430,3741.0000
1590216.1430,301989.0000
1590216.1430,71567.0000
1590216.1430,9749042.0000
1590216.1430,267371.0000
1590216.1430,53860.0000
1590216.1430,94531.0000
1590216.1430,1040113.0000
1590216.1430,158641.0000
1590216.1430,895.0000
1590216.1430,66301.0000
1590216.1430,819545.0000
1590216.1430,261.0000
1590216.1430,224100.0000
1590216.1430,2558581.0000
1590216.1430,10929.0000
1590216.1430,24573.0000
1590216.1430,2444.0000
1590216.1430,588454.0000
1590216.1430,432791.0000
1590216.1430,29409.0000
1590216.1430,527203.0000
1590216.1430,8235.0000
30474095.1429,47108953.0000
1590216.1430,2423.0000
1590216.1430,4333113.0000
1590216.1430,410024.0000
1590216.1430,1286.0000
1590216.1430,268820.0000
1590216.1430,6190.0000
1590216.1430,12284.0000
1590216.1430,13685.0000
13136758.3125,511383.0000
1590216.1430,182586.0000
1590216.1430,87548.0000
1590216.1430,434550.0000
1590216.1430,373013.0000
1590216.1430,127638.0000
1590216.1430,6983.0000
1590216.1430,242940.0000
1590216.1430,1538.0000
1590216.1430,27497.0000
1590216.1430,93055.0000
1590216.1430,1263.0000
1590216.1430,274599.0000
1590216.1430,1566715.0000
1590216.1430,16985173.0000
1590216.1430,2897226.0000
1590216.1430,236461.0000
1590216.1430,275544.0000
1590216.1430,71.0000
1590216.1430,3950785.0000
1590216.1430,431217.0000
1590216.1430,498.0000
1590216.1430,80498.0000
1590216.1430,349565.0000
1590216.1430,1505479.0000
1590216.1430,18420973.0000
1590216.1430,10952.0000
1590216.1430,159585.0000
1590216.1430,8537713.0000
1590216.1430,433299.0000
1590216.1430,106561.0000
1590216.1430,83283.0000
1590216.1430,1675325.0000
1590216.1430,792093.0000
1590216.1430,1039.0000
1590216.1430,88634.0000
1590216.1430,11979359.0000
1590216.1430,346676.0000
1590216.1430,23318.0000
1590216.1430,4905.0000
1590216.1430,188786.0000
1590216.1430,110636.0000
1590216.1430,16666.0000
1590216.1430,9840.0000
1590216.1430,5457.0000
1590216.1430,3101536.0000
1590216.1430,82868.0000
1590216.1430,6651671.0000
1590216.1430,386.0000
1590216.1430,5101542.0000
1590216.1430,269269.0000
1590216.1430,1785.0000
1590216.1430,4500019.0000
1590216.1430,64862.0000
1590216.1430,104.0000
1590216.1430,4026.0000
1590216.1430,4484050.0000
1590216.1430,6326.0000
1590216.1430,11198.0000
1590216.1430,1977854.0000
1590216.1430,13840.0000
1590216.1430,622098.0000
1590216.1430,846196.0000
1590216.1430,1884646.0000
1590216.1430,4123581.0000
1590216.1430,8429.0000
1590216.1430,69518.0000
1590216.1430,58817.0000
1590216.1430,80733.0000
1590216.1430,308179.0000
1590216.1430,36509.0000
1590216.1430,20735.0000
1590216.1430,2135.0000
1590216.1430,1127186.0000
1590216.1430,229401.0000
1590216.1430,286.0000
1590216.1430,7812360.0000
1590216.1430,617314.0000
1590216.1430,3737138.0000
1590216.1430,527245.0000
1590216.1430,193664.0000
1590216.1430,4315.0000
1590216.1430,1787281.0000
1590216.1430,174184.0000
1590216.1430,11643.0000
1590216.1430,6032.0000
1590216.1430,14359435.0000
1590216.1430,218878.0000
1590216.1430,98981.0000
1590216.1430,6478.0000
1590216.1430,1918.0000
1590216.1430,987.0000
1590216.1430,40972.0000
1590216.1430,104358.0000
1590216.1430,3417.0000
1590216.1430,1543.0000
1590216.1430,504.0000
1590216.1430,112049.0000
1590216.1430,696074.0000
1590216.1430,58.0000
1590216.1430,153991.0000
1590216.1430,5122.0000
1590216.1430,31408.0000
1590216.1430,1023798.0000
1590216.1430,37368768.0000
1590216.1430,985.0000
1590216.1430,119876.0000
1590216.1430,704.0000
1590216.1430,93179.0000
1590216.1430,5023.0000
1590216.1430,924.0000
1590216.1430,81002.0000
1590216.1430,565419.0000
1590216.1430,64636.0000
1590216.1430,52037.0000
1590216.1430,203876.0000
1590216.1430,12188.0000
1590216.1430,17.0000
1590216.1430,6938.0000
1590216.1430,6561.0000
1590216.1430,154804.0000
1590216.1430,1670604.0000
1590216.1430,78783.0000
1590216.1430,6439.0000
1590216.1430,30141.0000
1590216.1430,167563.0000
1590216.1430,185896.0000
1590216.1430,10411788.0000
1590216.1430,350702.0000
1590216.1430,1527.0000
1590216.1430,1582458.0000
1590216.1430,18946.0000
1590216.1430,1034.0000
1590216.1430,1288350.0000
1590216.1430,69378.0000
1590216.1430,409956.0000
1590216.1430,1405.0000
1590216.1430,16.0000
1590216.1430,498900.0000
1590216.1430,122501.0000
1590216.1430,431414.0000
1590216.1430,12786671.0000
1590216.1430,86150.0000
1590216.1430,1161470.0000
1590216.1430,58462.0000
35898010.3333,37412558.0000
1590216.1430,3057650.0000
1590216.1430,586784.0000
1590216.1430,153.0000
1590216.1430,2999842.0000
1590216.1430,1405329.0000
1590216.1430,1294.0000
1590216.1430,2055714.0000
1590216.1430,633246.0000
1590216.1430,1019577.0000
1590216.1430,19992.0000
1590216.1430,28546014.0000
1590216.1430,6644714.0000
1590216.1430,78617.0000
1590216.1430,330584.0000
1590216.1430,11515.0000
1590216.1430,1039183.0000
1590216.1430,2109.0000
1590216.1430,143627.0000
1590216.1430,612.0000
1590216.1430,70850.0000
1590216.1430,79700.0000
1590216.1430,66286.0000
1590216.1430,47613.0000
1590216.1430,1873462.0000
1590216.1430,39853.0000
1590216.1430,1503.0000
1590216.1430,3713731.0000
1590216.1430,1883144.0000
1590216.1430,132636.0000
1590216.1430,412904.0000
1590216.1430,5279.0000
1590216.1430,38.0000
1590216.1430,129239.0000
1590216.1430,20328.0000
1590216.1430,5.0000
1590216.1430,5100.0000
35898010.3333,24936217.0000
1590216.1430,705.0000
1590216.1430,412718.0000
1590216.1430,32983.0000
1590216.1430,3972824.0000
1590216.1430,111116.0000
1590216.1430,11732.0000
1590216.1430,3854.0000
1590216.1430,9737.0000
1590216.1430,212822.0000
1590216.1430,250145.0000
1590216.1430,1462194.0000
1590216.1430,132193.0000
1590216.1430,79394.0000
1590216.1430,59806.0000
1590216.1430,678.0000
1590216.1430,224328.0000
1590216.1430,77176.0000
1590216.1430,2587.0000
1590216.1430,32589.0000
1590216.1430,641.0000
1590216.1430,514860.0000
1590216.1430,99240.0000
1590216.1430,1641.0000
1590216.1430,28584.0000
1590216.1430,139457.0000
1590216.1430,1254228.0000
1590216.1430,1042803.0000
1590216.1430,405085.0000
1590216.1430,37841.0000
1590216.1430,18871.0000
1590216.1430,68812.0000
1590216.1430,251456.0000
1590216.1430,27189.0000
96300676.0000,111766538.0000
1590216.1430,2108.0000
1590216.1430,6642996.0000
1590216.1430,228934.0000
1590216.1430,1091122.0000
1590216.1430,2158.0000
1590216.1430,2946907.0000
1590216.1430,13979.0000
1590216.1430,1281565.0000
1590216.1430,66584.0000
1590216.1430,533051.0000
1590216.1430,30993262.0000
13136758.3125,57795267.0000
1590216.1430,17685.0000
1590216.1430,1423.0000
1590216.1430,22382.0000
1590216.1430,123363.0000
1590216.1430,157777.0000
1590216.1430,500.0000
1590216.1430,27643.0000
1590216.1430,15580.0000
1590216.1430,194.0000
1590216.1430,161230.0000
1590216.1430,3186492.0000
13136758.3125,44.0000
1590216.1430,7957.0000
1590216.1430,144643.0000
1590216.1430,25292.0000
1590216.1430,21727.0000
1590216.1430,1048.0000
1590216.1430,3716.0000
1590216.1430,77329.0000
1590216.1430,2530.0000
1590216.1430,852362.0000
1590216.1430,95444.0000
1590216.1430,83785.0000
1590216.1430,2373971.0000
1590216.1430,16514.0000
1590216.1430,74996.0000
1590216.1430,416077.0000
1590216.1430,2755.0000
1590216.1430,620.0000
1590216.1430,38252.0000
1590216.1430,9121.0000
1590216.1430,490279.0000
1590216.1430,1420.0000
1590216.1430,403086.0000
1590216.1430,1248.0000
1590216.1430,187910.0000
1590216.1430,3163.0000
1590216.1430,1658324.0000
1590216.1430,683922.0000
1590216.1430,402.0000
1590216.1430,2076.0000
1590216.1430,15011.0000
1590216.1430,25859.0000
1590216.1430,347361.0000
1590216.1430,106135.0000
1590216.1430,2772.0000
1590216.1430,30401.0000
1590216.1430,3871.0000
1590216.1430,144716.0000
1590216.1430,83102.0000
1590216.1430,9104.0000
1590216.1430,56826.0000
1590216.1430,55790.0000
1590216.1430,477.0000
1590216.1430,41286.0000
1590216.1430,6215964.0000
1590216.1430,279.0000
1590216.1430,5389.0000
1590216.1430,19.0000
1590216.1430,43891.0000
1590216.1430,7839.0000
1590216.1430,9056.0000
1590216.1430,1505.0000
1590216.1430,19394.0000
1590216.1430,12324458.0000
1590216.1430,45263.0000
1590216.1430,1344709.0000
1590216.1430,16235.0000
1590216.1430,6487.0000
1590216.1430,771.0000
1590216.1430,1420342.0000
1590216.1430,143021.0000
1590216.1430,7255764.0000
1590216.1430,1444.0000
1590216.1430,6765.0000
1590216.1430,262859.0000
1590216.1430,229891.0000
1590216.1430,509701.0000
1590216.1430,324855.0000
1590216.1430,68459.0000
1590216.1430,323981.0000
1590216.1430,136884.0000
1590216.1430,8712.0000
1590216.1430,1644886.0000
1590216.1430,791786.0000
1590216.1430,245602.0000
1590216.1430,586089.0000
1590216.1430,745529.0000
1590216.1430,54106.0000
1590216.1430,1484515.0000
1590216.1430,28915546.0000
1590216.1430,1044499.0000
1590216.1430,43292.0000
1590216.1430,174635.0000
1590216.1430,18622326.0000
1590216.1430,5792098.0000
1590216.1430,47582.0000
1590216.1430,10166.0000
1590216.1430,175777.0000
1590216.1430,79370.0000
1590216.1430,442128.0000
1590216.1430,3715306.0000
1590216.1430,201486.0000
1590216.1430,284.0000
1590216.1430,167441.0000
1590216.1430,83329.0000
1590216.1430,31961.0000
1590216.1430,1532.0000
1590216.1430,599329.0000
1590216.1430,3169.0000
1590216.1430,376088.0000
1590216.1430,166443.0000
1590216.1430,65924.0000
1590216.1430,673397.0000
1590216.1430,142142.0000
1590216.1430,2961893.0000
1590216.1430,89760.0000
1590216.1430,930646.0000
1590216.1430,1234717.0000
1590216.1430,68293.0000
1590216.1430,3190.0000
1590216.1430,172.0000
1590216.1430,622444.0000
1590216.1430,178695.0000
1590216.1430,99325.0000
1590216.1430,2576.0000
1590216.1430,364022.0000
1590216.1430,2025.0000
1590216.1430,4484.0000
1590216.1430,2479.0000
1590216.1430,415.0000
1590216.1430,132660.0000
1590216.1430,4283791.0000
1590216.1430,520995.0000
1590216.1430,29923.0000
1590216.1430,3111481.0000
1590216.1430,350823.0000
1590216.1430,249897.0000
1590216.1430,274081.0000
1590216.1430,9320.0000
1590216.1430,232358.0000
1590216.1430,11475.0000
1590216.1430,1989331.0000
1590216.1430,1571.0000
1590216.1430,11.0000
1590216.1430,398542.0000
1590216.1430,283264.0000
1590216.1430,4151141.0000
1590216.1430,5.0000
1590216.1430,1195.0000
1590216.1430,72394.0000
1590216.1430,839164.0000
