Predicted,Actual
1476359.8895,4709.0000
1476359.8895,71375.0000
1476359.8895,741.0000
1476359.8895,13482.0000
1861252.5000,5439011.0000
1659039.6122,248434.0000
73018.0000,788007.0000
1476359.8895,1933.0000
1476359.8895,5497769.0000
1476359.8895,10022.0000
1476359.8895,17270.0000
1476359.8895,24468.0000
8914768.0000,5164452.0000
1476359.8895,368093.0000
1445.0000,117229.0000
3327987.3333,808372.0000
1476359.8895,406037.0000
1476359.8895,250048.0000
1476359.8895,695621.0000
1476359.8895,701937.0000
3644.0000,2043.0000
1476359.8895,63545.0000
1476359.8895,641.0000
44558852.0000,56580262.0000
1476359.8895,38700.0000
18320.0000,360837.0000
1476359.8895,14134.0000
1476359.8895,513.0000
3164585.8846,245713.0000
617685.7059,795018.0000
1476359.8895,1926.0000
1476359.8895,5946.0000
1476359.8895,18383.0000
8914768.0000,1170022.0000
1476359.8895,8532.0000
3884.0000,27235.0000
1603942.5410,17149.0000
1476359.8895,25749.0000
1476359.8895,1656.0000
1476359.8895,3929.0000
5.0000,10095.0000
1476359.8895,54172.0000
1476359.8895,78655.0000
1770138.0833,172379.0000
4869.0000,88867.0000
1476359.8895,115154.0000
547936.9000,76061.0000
1476359.8895,1209581.0000
1476359.8895,33309.0000
1476359.8895,161536.0000
1598860.0000,856237.0000
1476359.8895,3204.0000
1103990.0127,62648.0000
1476359.8895,1817821.0000
1476359.8895,3741.0000
1476359.8895,301989.0000
1476359.8895,71567.0000
1476359.8895,9749042.0000
1476359.8895,267371.0000
1476359.8895,53860.0000
1476359.8895,94531.0000
1476359.8895,1040113.0000
1476359.8895,158641.0000
1476359.8895,895.0000
1598860.0000,66301.0000
1476359.8895,819545.0000
547936.9000,261.0000
374020.0000,224100.0000
1476359.8895,2558581.0000
3164585.8846,10929.0000
1476359.8895,24573.0000
62433.0000,2444.0000
1103990.0127,588454.0000
1476359.8895,432791.0000
1476359.8895,29409.0000
1476359.8895,527203.0000
1476359.8895,8235.0000
67051908.0000,47108953.0000
1476359.8895,2423.0000
1603942.5410,4333113.0000
1476359.8895,410024.0000
1476359.8895,1286.0000
1476359.8895,268820.0000
1476359.8895,6190.0000
1476359.8895,12284.0000
1476359.8895,13685.0000
626380.0000,511383.0000
1476359.8895,182586.0000
1476359.8895,87548.0000
1476359.8895,434550.0000
1476359.8895,373013.0000
1861252.5000,127638.0000
1476359.8895,6983.0000
87738.0000,242940.0000
679.0000,1538.0000
1134550.5714,27497.0000
534151.1864,93055.0000
68548.0000,1263.0000
1476359.8895,274599.0000
1476359.8895,1566715.0000
112.0000,16985173.0000
1476359.8895,2897226.0000
1476359.8895,236461.0000
2359.0000,275544.0000
55505.0000,71.0000
1790363.0000,3950785.0000
1476359.8895,431217.0000
1476359.8895,498.0000
1476359.8895,80498.0000
553037.3333,349565.0000
1476359.8895,1505479.0000
16730.0000,18420973.0000
1476359.8895,10952.0000
1476359.8895,159585.0000
626714.0000,8537713.0000
1476359.8895,433299.0000
3164585.8846,106561.0000
1476359.8895,83283.0000
1476359.8895,1675325.0000
3164585.8846,792093.0000
1476359.8895,1039.0000
1476359.8895,88634.0000
1476359.8895,11979359.0000
1659039.6122,346676.0000
547936.9000,23318.0000
1476359.8895,4905.0000
1476359.8895,188786.0000
67137.5000,110636.0000
1476359.8895,16666.0000
1476359.8895,9840.0000
1476359.8895,5457.0000
1476359.8895,3101536.0000
1476359.8895,82868.0000
1476359.8895,6651671.0000
1476359.8895,386.0000
1476359.8895,5101542.0000
1476359.8895,269269.0000
3088.0000,1785.0000
1476359.8895,4500019.0000
1476359.8895,64862.0000
318.0000,104.0000
1476359.8895,4026.0000
679.0000,4484050.0000
23230.0000,6326.0000
534151.1864,11198.0000
1476359.8895,1977854.0000
124174.6000,13840.0000
1476359.8895,622098.0000
1476359.8895,846196.0000
4846442.0000,1884646.0000
557284.0000,4123581.0000
23230.0000,8429.0000
1476359.8895,69518.0000
1476359.8895,58817.0000
1476359.8895,80733.0000
1476359.8895,308179.0000
1476359.8895,36509.0000
1373932.0000,20735.0000
1476359.8895,2135.0000
5.0000,1127186.0000
1476359.8895,229401.0000
1476359.8895,286.0000
3164585.8846,7812360.0000
93766.0000,617314.0000
3164585.8846,3737138.0000
1476359.8895,527245.0000
1476359.8895,193664.0000
1659039.6122,4315.0000
1476359.8895,1787281.0000
1476359.8895,174184.0000
732990.5455,11643.0000
1476359.8895,6032.0000
1476359.8895,14359435.0000
1476359.8895,218878.0000
293975.3636,98981.0000
1476359.8895,6478.0000
1476359.8895,1918.0000
1476359.8895,987.0000
1476359.8895,40972.0000
1476359.8895,104358.0000
1476359.8895,3417.0000
1476359.8895,1543.0000
1476359.8895,504.0000
22532.0000,112049.0000
163801.0000,696074.0000
1476359.8895,58.0000
1103990.0127,153991.0000
1476359.8895,5122.0000
862013.0000,31408.0000
1476359.8895,1023798.0000
1476359.8895,37368768.0000
1476359.8895,985.0000
1476359.8895,119876.0000
8067.0000,704.0000
1476359.8895,93179.0000
1476359.8895,5023.0000
1476359.8895,924.0000
1476359.8895,81002.0000
196478.0000,565419.0000
1476359.8895,64636.0000
99160.5000,52037.0000
1476359.8895,203876.0000
1476359.8895,12188.0000
1476359.8895,17.0000
1476359.8895,6938.0000
547936.9000,6561.0000
1476359.8895,154804.0000
1476359.8895,1670604.0000
137561.0000,78783.0000
1476359.8895,6439.0000
1476359.8895,30141.0000
534151.1864,167563.0000
331331.0000,185896.0000
1476359.8895,10411788.0000
1476359.8895,350702.0000
1476359.8895,1527.0000
1476359.8895,1582458.0000
289151.7500,18946.0000
1476359.8895,1034.0000
1476359.8895,1288350.0000
1476359.8895,69378.0000
2034338.0000,409956.0000
