Issue,Importance
results_ktlint_None_no-unused-imports,0.01508251
results_ktlint_None_indent,0.05125742
results_ktlint_None_final-newline,0.11703382
results_ktlint_None_no-multi-spaces,0.00840905
results_ktlint_None_comma-spacing,0.00392728
results_ktlint_None_parameter-list-wrapping,-0.00005308
results_ktlint_None_no-unit-return,-0.00244305
results_ktlint_None_no-trailing-spaces,0.04183488
results_ktlint_None_curly-spacing,0.01724723
results_ktlint_None_import-ordering,0.05575060
results_ktlint_None_no-wildcard-imports,0.03943716
results_ktlint_None_no-consecutive-blank-lines,0.05119584
results_ktlint_None_comment-spacing,0.01112898
results_ktlint_None_string-template,0.00613626
results_ktlint_None_keyword-spacing,0.00510966
results_ktlint_None_colon-spacing,-0.00227068
results_ktlint_None_chain-wrapping,0.00286486
results_ktlint_None_no-blank-line-before-rbrace,0.02359583
results_ktlint_None_op-spacing,0.00090416
results_ktlint_None_no-semi,0.00667322
results_ktlint_None_paren-spacing,0.01562327
results_ktlint_None_modifier-order,-0.00010072
results_ktlint_None_no-empty-class-body,0.00145370
results_ktlint_None_no-line-break-before-assignment,0.00013127
results_ktlint_None_,0.00037330
results_ktlint_None_dot-spacing,0.00006570
results_ktlint_None_range-spacing,-0.00000382
results_ktlint_None_no-line-break-after-else,-0.00000000
