Predicted,Actual
3702513.8087,4709.0000
4283343.0923,71375.0000
4283343.0923,741.0000
4283343.0923,13482.0000
4283343.0923,5439011.0000
4283343.0923,248434.0000
4283343.0923,788007.0000
4283343.0923,1933.0000
2618169.7230,5497769.0000
4283343.0923,10022.0000
4283343.0923,17270.0000
4283343.0923,24468.0000
7347593.5059,5164452.0000
4283343.0923,368093.0000
2618169.7230,117229.0000
4283343.0923,808372.0000
4283343.0923,406037.0000
4283343.0923,250048.0000
4283343.0923,695621.0000
7347593.5059,701937.0000
4283343.0923,2043.0000
4283343.0923,63545.0000
4283343.0923,641.0000
4283343.0923,56580262.0000
4283343.0923,38700.0000
4283343.0923,360837.0000
4283343.0923,14134.0000
4283343.0923,513.0000
4283343.0923,245713.0000
4283343.0923,795018.0000
4283343.0923,1926.0000
4283343.0923,5946.0000
4283343.0923,18383.0000
4283343.0923,1170022.0000
4283343.0923,8532.0000
4283343.0923,27235.0000
4283343.0923,17149.0000
4283343.0923,25749.0000
4283343.0923,1656.0000
4283343.0923,3929.0000
4283343.0923,10095.0000
4283343.0923,54172.0000
4283343.0923,78655.0000
2618169.7230,172379.0000
4283343.0923,88867.0000
4283343.0923,115154.0000
4283343.0923,76061.0000
4283343.0923,1209581.0000
4283343.0923,33309.0000
4283343.0923,161536.0000
2618169.7230,856237.0000
4283343.0923,3204.0000
4283343.0923,62648.0000
4283343.0923,1817821.0000
4283343.0923,3741.0000
4283343.0923,301989.0000
4283343.0923,71567.0000
4283343.0923,9749042.0000
4283343.0923,267371.0000
4283343.0923,53860.0000
4283343.0923,94531.0000
2618169.7230,1040113.0000
4283343.0923,158641.0000
4283343.0923,895.0000
4283343.0923,66301.0000
4283343.0923,819545.0000
4283343.0923,261.0000
4283343.0923,224100.0000
4283343.0923,2558581.0000
4949034.4874,10929.0000
4283343.0923,24573.0000
4283343.0923,2444.0000
4283343.0923,588454.0000
4283343.0923,432791.0000
4283343.0923,29409.0000
4283343.0923,527203.0000
2618169.7230,8235.0000
38057325.3333,47108953.0000
4283343.0923,2423.0000
4283343.0923,4333113.0000
4283343.0923,410024.0000
4283343.0923,1286.0000
4283343.0923,268820.0000
4283343.0923,6190.0000
4283343.0923,12284.0000
4283343.0923,13685.0000
4283343.0923,511383.0000
4283343.0923,182586.0000
4283343.0923,87548.0000
4283343.0923,434550.0000
4283343.0923,373013.0000
4283343.0923,127638.0000
4283343.0923,6983.0000
2618169.7230,242940.0000
4283343.0923,1538.0000
4283343.0923,27497.0000
4283343.0923,93055.0000
4283343.0923,1263.0000
4283343.0923,274599.0000
2618169.7230,1566715.0000
4283343.0923,16985173.0000
4283343.0923,2897226.0000
4283343.0923,236461.0000
4283343.0923,275544.0000
4283343.0923,71.0000
4283343.0923,3950785.0000
4283343.0923,431217.0000
4283343.0923,498.0000
4283343.0923,80498.0000
4283343.0923,349565.0000
4283343.0923,1505479.0000
4283343.0923,18420973.0000
4283343.0923,10952.0000
4283343.0923,159585.0000
4283343.0923,8537713.0000
4283343.0923,433299.0000
4283343.0923,106561.0000
4283343.0923,83283.0000
4283343.0923,1675325.0000
4283343.0923,792093.0000
4283343.0923,1039.0000
4283343.0923,88634.0000
4283343.0923,11979359.0000
4283343.0923,346676.0000
4283343.0923,23318.0000
4283343.0923,4905.0000
4283343.0923,188786.0000
2618169.7230,110636.0000
4283343.0923,16666.0000
4283343.0923,9840.0000
4283343.0923,5457.0000
4283343.0923,3101536.0000
4283343.0923,82868.0000
2618169.7230,6651671.0000
4283343.0923,386.0000
2618169.7230,5101542.0000
4283343.0923,269269.0000
4283343.0923,1785.0000
4283343.0923,4500019.0000
4283343.0923,64862.0000
4283343.0923,104.0000
4283343.0923,4026.0000
3702513.8087,4484050.0000
4283343.0923,6326.0000
4283343.0923,11198.0000
4283343.0923,1977854.0000
4283343.0923,13840.0000
4283343.0923,622098.0000
4283343.0923,846196.0000
4283343.0923,1884646.0000
4283343.0923,4123581.0000
4283343.0923,8429.0000
2618169.7230,69518.0000
4283343.0923,58817.0000
2618169.7230,80733.0000
4283343.0923,308179.0000
2618169.7230,36509.0000
4283343.0923,20735.0000
38057325.3333,2135.0000
4283343.0923,1127186.0000
4283343.0923,229401.0000
4283343.0923,286.0000
4283343.0923,7812360.0000
4283343.0923,617314.0000
4283343.0923,3737138.0000
4283343.0923,527245.0000
4283343.0923,193664.0000
4283343.0923,4315.0000
4283343.0923,1787281.0000
4283343.0923,174184.0000
4283343.0923,11643.0000
4283343.0923,6032.0000
4283343.0923,14359435.0000
4283343.0923,218878.0000
4283343.0923,98981.0000
4283343.0923,6478.0000
4283343.0923,1918.0000
4283343.0923,987.0000
4283343.0923,40972.0000
4283343.0923,104358.0000
4283343.0923,3417.0000
4283343.0923,1543.0000
4283343.0923,504.0000
4283343.0923,112049.0000
4283343.0923,696074.0000
