Issue,Importance
results_ktlint_None_no-unused-imports,-0.00000745
results_ktlint_None_indent,0.00161598
results_ktlint_None_final-newline,0.00540285
results_ktlint_None_no-multi-spaces,-0.00002493
results_ktlint_None_comma-spacing,-0.00004563
results_ktlint_None_parameter-list-wrapping,0.09999440
results_ktlint_None_no-unit-return,0.00136502
results_ktlint_None_no-trailing-spaces,0.00049963
results_ktlint_None_curly-spacing,-0.00018720
results_ktlint_None_import-ordering,-0.00049570
results_ktlint_None_no-wildcard-imports,-0.00006166
results_ktlint_None_no-consecutive-blank-lines,-0.00282175
results_ktlint_None_comment-spacing,-0.00151950
results_ktlint_None_string-template,-0.00002423
results_ktlint_None_keyword-spacing,0.00113875
results_ktlint_None_colon-spacing,-0.00282916
results_ktlint_None_chain-wrapping,0.01316064
results_ktlint_None_no-blank-line-before-rbrace,0.00221707
results_ktlint_None_op-spacing,0.00383340
results_ktlint_None_no-semi,0.00059496
results_ktlint_None_paren-spacing,0.00004021
results_ktlint_None_modifier-order,-0.00007365
results_ktlint_None_no-empty-class-body,0.00009261
results_ktlint_None_no-line-break-before-assignment,-0.00008035
results_ktlint_None_,0.00282975
results_ktlint_None_dot-spacing,0.00005031
results_ktlint_None_range-spacing,0.00000292
results_ktlint_None_no-line-break-after-else,0.00000000
