Issue,Importance
results_ktlint_None_no-unused-imports,0.00104017
results_ktlint_None_indent,-0.00189951
results_ktlint_None_final-newline,0.00783703
results_ktlint_None_no-multi-spaces,0.00287047
results_ktlint_None_comma-spacing,-0.00038044
results_ktlint_None_parameter-list-wrapping,0.20257232
results_ktlint_None_no-unit-return,0.02395246
results_ktlint_None_no-trailing-spaces,0.00093096
results_ktlint_None_curly-spacing,0.00739338
results_ktlint_None_import-ordering,0.00684670
results_ktlint_None_no-wildcard-imports,0.01022121
results_ktlint_None_no-consecutive-blank-lines,0.00814977
results_ktlint_None_comment-spacing,0.00418495
results_ktlint_None_string-template,-0.00349186
results_ktlint_None_keyword-spacing,0.02542098
results_ktlint_None_colon-spacing,0.01299029
results_ktlint_None_chain-wrapping,0.02068789
results_ktlint_None_no-blank-line-before-rbrace,0.01352871
results_ktlint_None_op-spacing,0.01714368
results_ktlint_None_no-semi,0.05234720
results_ktlint_None_paren-spacing,0.00084827
results_ktlint_None_modifier-order,0.00000000
results_ktlint_None_no-empty-class-body,0.00000000
results_ktlint_None_no-line-break-before-assignment,-0.00088377
results_ktlint_None_,0.06325627
results_ktlint_None_dot-spacing,0.00000000
results_ktlint_None_range-spacing,0.00000000
results_ktlint_None_no-line-break-after-else,0.00000000
